Element 1: (2, (7, 5), ['G', '.', '.', '.'], [(5, 2), (6, 5), (11, 2)], [False, False, False, False], 98, False, [False, True, True, True], 1009, 'East', (8, 5))
Element 2: (2, (8, 5), ['', '.', '.', '.'], [(4, 2), (6, 4), (11, 3)], [False, False, False, False], 96, False, [False, True, True, True], 1038, 'East', (9, 5))
Element 3: (2, (9, 5), ['', '.', '.', '.'], [(4, 1), (7, 4), (12, 3)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (10, 5))
Element 4: (2, (10, 5), ['', '.', '.', '%'], [(3, 1), (8, 4), (13, 3)], [False, False, False, True], 92, False, [False, True, True, False], 1116, 'North', (10, 6))
Element 5: (2, (10, 6), ['.', '', '%', '.'], [(3, 2), (9, 4), (14, 3)], [False, False, True, False], 90, False, [True, False, False, True], 1155, 'East', (11, 6))
Element 6: (2, (11, 6), ['', '%', '.', 'F'], [(2, 2), (10, 4), (15, 3)], [False, True, False, False], 88, False, [False, False, True, False], 1194, 'East', (12, 6))
Element 7: (2, (12, 6), ['', '%', '.', '.'], [(2, 1), (11, 4), (16, 3)], [False, True, False, False], 86, False, [False, False, True, True], 2223, 'East', (13, 6))
Element 8: (2, (13, 6), ['', '.', '.', '.'], [(1, 1), (12, 4), (17, 3)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (14, 6))
Element 9: (2, (14, 6), ['', '.', '.', '.'], [(1, 2), (13, 4), (17, 4)], [False, False, False, False], 82, False, [False, True, True, True], 2301, 'East', (15, 6))
Element 10: (2, (15, 6), ['', '.', '.', '.'], [(1, 1), (14, 4), (18, 4)], [False, False, False, False], 80, False, [False, True, True, True], 2330, 'East', (16, 6))
Element 11: (2, (16, 6), ['', '.', '.', '.'], [(2, 1), (14, 5), (17, 4)], [False, False, False, False], 78, False, [False, True, True, True], 2349, 'East', (17, 6))
Element 12: (2, (17, 6), ['', 'G', '%', '.'], [(2, 2), (15, 5), (17, 5)], [False, False, True, False], 76, False, [False, False, False, True], 2378, 'East', (18, 6))
Element 13: (2, (18, 6), ['', '%', '%', '%'], [(1, 2), (15, 6), (16, 5)], [False, True, True, True], 74, False, [False, False, False, False], 2397, 'West', (17, 6))
Element 14: (2, (17, 6), ['', '', '%', ''], [(2, 2), (15, 7), (16, 4)], [False, False, True, False], 72, False, [False, False, False, False], 2416, 'West', (16, 6))
Element 15: (2, (16, 6), ['', 'G', 'G', ''], [(3, 2), (16, 7), (16, 5)], [False, False, False, False], 70, False, [False, False, False, False], 2425, 'West', (15, 6))
Element 16: (2, (15, 6), ['', '', 'G', 'G'], [(3, 1), (15, 7), (16, 6)], [False, False, False, False], 68, False, [False, False, False, False], 2424, 'West', (14, 6))
Element 17: (2, (14, 6), ['', '', 'G', ''], [(2, 1), (14, 7), (17, 6)], [False, False, False, False], 66, False, [False, False, False, False], 2433, 'South', (14, 5))
Element 18: (2, (14, 5), ['.', '', '', ''], [(3, 1), (13, 7), (18, 6)], [False, False, False, False], 64, False, [True, False, False, False], 2442, 'West', (13, 5))
Element 19: (2, (13, 5), ['%', '', '', ''], [(4, 1), (13, 8), (17, 6)], [True, False, False, False], 62, False, [False, False, False, False], 2461, 'South', (13, 4))
Element 20: (2, (13, 4), ['', '', '', ''], [(4, 2), (13, 9), (16, 6)], [False, False, False, False], 60, False, [False, False, False, False], 2470, 'East', (14, 4))
Element 21: (2, (14, 4), ['', '', '', '%'], [(3, 2), (14, 9), (16, 7)], [False, False, False, True], 58, False, [False, False, False, False], 2479, 'South', (14, 3))
Element 22: (2, (14, 3), ['', '%', '', ''], [(4, 2), (15, 9), (15, 7)], [False, True, False, False], 56, False, [False, False, False, False], 2488, 'East', (15, 3))
Element 23: (2, (15, 3), ['', '.', '%', ''], [(4, 2), (16, 9), (15, 6)], [False, False, True, False], 54, False, [False, True, False, False], 2497, 'South', (15, 2))
Element 24: (2, (15, 2), ['%', '.', '', '.'], [(5, 2), (17, 9), (15, 5)], [True, False, False, False], 52, False, [False, True, False, True], 2516, 'East', (16, 2))
Element 25: (2, (16, 2), ['', '.', '', '.'], [(4, 2), (18, 9), (14, 5)], [False, False, False, False], 50, False, [False, True, False, True], 2535, 'East', (17, 2))
Element 26: (2, (17, 2), ['', '.', '', '%'], [(4, 1), (18, 10), (14, 6)], [False, False, False, True], 48, False, [False, True, False, False], 2554, 'South', (17, 1))
Element 27: (2, (17, 1), ['.', '%', '', '.'], [(3, 1), (18, 11), (14, 7)], [False, True, False, False], 46, False, [True, False, False, True], 2573, 'East', (18, 1))
Element 28: (2, (18, 1), ['', '%', '%', '%'], [(3, 2), (18, 12), (13, 7)], [False, True, True, True], 44, False, [False, False, False, False], 2592, 'West', (17, 1))
Element 29: (2, (17, 1), ['.', '%', '', ''], [(2, 2), (18, 13), (12, 7)], [False, True, False, False], 42, False, [True, False, False, False], 2611, 'West', (16, 1))
Element 30: (2, (16, 1), ['.', '%', '', ''], [(2, 1), (17, 13), (12, 8)], [False, True, False, False], 40, False, [True, False, False, False], 2640, 'West', (15, 1))
Element 31: (2, (15, 1), ['.', '%', '', ''], [(1, 1), (17, 12), (12, 9)], [False, True, False, False], 38, False, [True, False, False, False], 2669, 'West', (14, 1))
Element 32: (2, (14, 1), ['.', '%', '%', ''], [(1, 2), (17, 11), (11, 9)], [False, True, True, False], 36, False, [True, False, False, False], 2698, 'West', (13, 1))
