Element 1: (2, (15, 12), ['.', '.', '%', '.'], [(17, 9), (15, 9), (17, 1)], [False, False, True, False], 98, False, [True, True, False, True], 19, 'East', (16, 12))
Element 2: (2, (16, 12), ['', '.', '.', '.'], [(18, 9), (15, 10), (18, 1)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (17, 12))
Element 3: (2, (17, 12), ['', '.', '.', '.'], [(18, 10), (16, 10), (17, 1)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (18, 12))
Element 4: (2, (18, 12), ['', 'G', '.', '%'], [(18, 11), (17, 10), (17, 2)], [False, False, False, True], 92, False, [False, False, True, False], 126, 'North', (18, 13))
Element 5: (2, (18, 13), ['.', '', '%', '%'], [(17, 11), (18, 10), (17, 3)], [False, False, True, True], 90, False, [True, False, False, False], 155, 'West', (17, 13))
Element 6: (2, (17, 13), ['.', '', '%', ''], [(16, 11), (18, 11), (17, 4)], [False, False, True, False], 88, False, [True, False, False, False], 184, 'West', (16, 13))
Element 7: (2, (16, 13), ['%', '', '%', ''], [(15, 11), (18, 12), (18, 4)], [True, False, True, False], 86, False, [False, False, False, False], 213, 'East', (17, 13))
Element 8: (2, (17, 13), ['', '', '%', 'G'], [(15, 12), (18, 13), (17, 4)], [False, False, True, False], 84, False, [False, False, False, False], 212, 'West', (16, 13))
Element 9: (2, (16, 13), ['%', '', '%', 'G'], [(14, 12), (17, 13), (17, 5)], [True, False, True, False], 82, False, [False, False, False, False], 231, 'South', (16, 12))
Element 10: (2, (16, 12), ['', '', '', 'G'], [(14, 13), (17, 12), (17, 6)], [False, False, False, False], 80, False, [False, False, False, False], 250, 'West', (15, 12))
Element 11: (2, (15, 12), ['', '', '%', ''], [(13, 13), (17, 11), (18, 6)], [False, False, True, False], 78, False, [False, False, False, False], 269, 'Stop', (15, 12))
Element 12: (2, (15, 12), ['', '', '%', ''], [(12, 13), (16, 11), (17, 6)], [False, False, True, False], 76, False, [False, False, False, False], 278, 'East', (16, 12))
Element 13: (2, (16, 12), ['', '', '', ''], [(11, 13), (15, 11), (16, 6)], [False, False, False, False], 74, False, [False, False, False, False], 297, 'South', (16, 11))
Element 14: (2, (16, 11), ['', '', '', ''], [(11, 12), (15, 12), (16, 7)], [False, False, False, False], 72, False, [False, False, False, False], 316, 'East', (17, 11))
Element 15: (2, (17, 11), ['', '', '', ''], [(11, 11), (16, 12), (15, 7)], [False, False, False, False], 70, False, [False, False, False, False], 335, 'East', (18, 11))
Element 16: (2, (18, 11), ['', '', '', '%'], [(12, 11), (16, 13), (15, 6)], [False, False, False, True], 68, False, [False, False, False, False], 354, 'South', (18, 10))
Element 17: (2, (18, 10), ['', '', '', '%'], [(13, 11), (16, 12), (15, 5)], [False, False, False, True], 66, False, [False, False, False, False], 373, 'South', (18, 9))
Element 18: (2, (18, 9), ['', '.', '', '%'], [(12, 11), (15, 12), (16, 5)], [False, False, False, True], 64, False, [False, True, False, False], 382, 'South', (18, 8))
Element 19: (2, (18, 8), ['.', '%', '', '%'], [(11, 11), (14, 12), (16, 4)], [False, True, False, True], 62, False, [True, False, False, False], 401, 'West', (17, 8))
Element 20: (2, (17, 8), ['%', '%', '', ''], [(10, 11), (14, 13), (16, 3)], [True, True, False, False], 60, False, [False, False, False, False], 430, 'North', (17, 9))
Element 21: (2, (17, 9), ['', '', '', ''], [(10, 12), (13, 13), (16, 2)], [False, False, False, False], 58, False, [False, False, False, False], 449, 'North', (17, 10))
Element 22: (2, (17, 10), ['', '', '', ''], [(9, 12), (12, 13), (16, 1)], [False, False, False, False], 56, False, [False, False, False, False], 468, 'West', (16, 10))
Element 23: (2, (16, 10), ['', '', '', ''], [(9, 13), (11, 13), (15, 1)], [False, False, False, False], 54, False, [False, False, False, False], 487, 'South', (16, 9))
Element 24: (2, (16, 9), ['', '%', '', ''], [(9, 12), (11, 12), (15, 2)], [False, True, False, False], 52, False, [False, False, False, False], 496, 'West', (15, 9))
Element 25: (2, (15, 9), ['', '%', '', ''], [(9, 11), (11, 11), (15, 3)], [False, True, False, False], 50, False, [False, False, False, False], 515, 'North', (15, 10))
Element 26: (2, (15, 10), ['%', '', '', ''], [(9, 10), (12, 11), (14, 3)], [True, False, False, False], 48, False, [False, False, False, False], 534, 'North', (15, 11))
Element 27: (2, (15, 11), ['%', '', '', ''], [(8, 10), (13, 11), (14, 4)], [True, False, False, False], 46, False, [False, False, False, False], 553, 'South', (15, 10))
Element 28: (2, (15, 10), ['%', '', '', ''], [(7, 10), (12, 11), (14, 5)], [True, False, False, False], 44, False, [False, False, False, False], 572, 'South', (15, 9))
Element 29: (2, (15, 9), ['', '%', '', ''], [(7, 11), (11, 11), (14, 6)], [False, True, False, False], 42, False, [False, False, False, False], 591, 'West', (14, 9))
Element 30: (2, (14, 9), ['.', '%', '%', ''], [(6, 11), (10, 11), (14, 7)], [False, True, True, False], 40, False, [True, False, False, False], 610, 'West', (13, 9))
Element 31: (2, (13, 9), ['.', '.', '%', ''], [(6, 12), (10, 12), (13, 7)], [False, False, True, False], 38, False, [True, True, False, False], 639, 'South', (13, 8))
Element 32: (2, (13, 8), ['.', '', '', '%'], [(6, 13), (9, 12), (13, 6)], [False, False, False, True], 36, False, [True, False, False, False], 668, 'West', (12, 8))
Element 33: (2, (12, 8), ['%', '.', '.', ''], [(7, 13), (8, 12), (12, 6)], [True, False, False, False], 34, False, [False, True, True, False], 1697, 'North', (12, 9))
Element 34: (2, (12, 9), ['.', '', '%', ''], [(6, 13), (9, 12), (12, 7)], [False, False, True, False], 32, False, [True, False, False, False], 1716, 'West', (11, 9))
Element 35: (2, (11, 9), ['%', '%', '%', ''], [(5, 13), (9, 13), (11, 7)], [True, True, True, False], 30, False, [False, False, False, False], 1745, 'East', (12, 9))
Element 36: (2, (12, 9), ['', '', '%', ''], [(5, 12), (9, 12), (11, 6)], [False, False, True, False], 28, False, [False, False, False, False], 1764, 'South', (12, 8))
Element 37: (2, (12, 8), ['%', '', '', ''], [(5, 11), (9, 11), (10, 6)], [True, False, False, False], 26, False, [False, False, False, False], 1783, 'South', (12, 7))
Element 38: (2, (12, 7), ['', '', '', ''], [(5, 10), (9, 10), (10, 5)], [False, False, False, False], 24, False, [False, False, False, False], 1802, 'East', (13, 7))
Element 39: (2, (13, 7), ['', '', '', ''], [(6, 10), (8, 10), (10, 4)], [False, False, False, False], 22, False, [False, False, False, False], 1821, 'East', (14, 7))
Element 40: (2, (14, 7), ['', '', '%', ''], [(5, 10), (7, 10), (11, 4)], [False, False, True, False], 20, False, [False, False, False, False], 1830, 'East', (15, 7))
Element 41: (2, (15, 7), ['', '', '%', ''], [(4, 10), (7, 11), (12, 4)], [False, False, True, False], 18, False, [False, False, False, False], 1849, 'East', (16, 7))
Element 42: (2, (16, 7), ['', '', '%', '%'], [(3, 10), (6, 11), (13, 4)], [False, False, True, True], 16, False, [False, False, False, False], 1868, 'South', (16, 6))
Element 43: (2, (16, 6), ['', '', '', ''], [(4, 10), (6, 12), (13, 5)], [False, False, False, False], 14, False, [False, False, False, False], 1877, 'East', (17, 6))
Element 44: (2, (17, 6), ['', '', '%', ''], [(5, 10), (6, 13), (13, 4)], [False, False, True, False], 12, False, [False, False, False, False], 1876, 'East', (18, 6))
Element 45: (2, (18, 6), ['', '%', '%', '%'], [(5, 11), (7, 13), (13, 3)], [False, True, True, True], 10, False, [False, False, False, False], 1885, 'West', (17, 6))
Element 46: (2, (17, 6), ['', '', '%', ''], [(5, 12), (6, 13), (12, 3)], [False, False, True, False], 8, False, [False, False, False, False], 1894, 'South', (17, 5))
Element 47: (2, (17, 5), ['', '', '', '%'], [(4, 12), (5, 13), (11, 3)], [False, False, False, True], 6, False, [False, False, False, False], 1913, 'South', (17, 4))
Element 48: (2, (17, 4), ['', '', '', ''], [(3, 12), (5, 12), (11, 2)], [False, False, False, False], 4, False, [False, False, False, False], 1932, 'East', (18, 4))
Element 49: (2, (18, 4), ['', '%', '%', '%'], [(3, 13), (5, 11), (11, 1)], [False, True, True, True], 2, False, [False, False, False, False], 1951, 'West', (17, 4))
Element 50: (2, (17, 4), ['', '', '', ''], [(3, 13), (5, 11), (10, 1)], [False, False, False, False], 0, False, [False, False, False, False], 2950, 'Stop', (17, 4))
Element 51: #0#
