Element 38: (3, (7, 11), ['.', '', '%', '%'], [(3, 2), (15, 3), (13, 5)], [False, False, True, True], 24, False, [True, False, False, False], 2872, 'West', (6, 11))
Element 39: (3, (6, 11), ['.', '.', '.', ''], [(3, 1), (15, 2), (13, 4)], [False, False, False, False], 22, False, [True, True, True, False], 2891, 'North', (6, 12))
Element 40: (3, (6, 12), ['.', '', '.', '%'], [(2, 1), (15, 1), (13, 3)], [False, False, False, True], 20, False, [True, False, True, False], 2910, 'North', (6, 13))
Element 41: (3, (6, 13), ['.', '', '%', '.'], [(3, 1), (14, 1), (12, 3)], [False, False, True, False], 18, False, [True, False, False, True], 2939, 'East', (7, 13))
Element 42: (3, (7, 13), ['', '%', '%', '%'], [(4, 1), (13, 1), (12, 4)], [False, True, True, True], 16, False, [False, False, False, False], 2968, 'West', (6, 13))
Element 43: (3, (6, 13), ['.', '', '%', ''], [(4, 2), (12, 1), (11, 4)], [False, False, True, False], 14, False, [True, False, False, False], 2987, 'West', (5, 13))
Element 44: (3, (5, 13), ['%', '.', '%', ''], [(3, 2), (11, 1), (11, 3)], [True, False, True, False], 12, False, [False, True, False, False], 3016, 'South', (5, 12))
Element 45: (3, (5, 12), ['.', '.', '', ''], [(4, 2), (10, 1), (11, 2)], [False, False, False, False], 10, False, [True, True, False, False], 4035, 'South', (5, 11))
Element 46: (3, (5, 11), ['%', '.', '', ''], [(4, 2), (10, 2), (11, 1)], [True, False, False, False], 8, False, [False, True, False, False], 4054, 'South', (5, 10))
Element 47: (3, (5, 10), ['.', '%', '', '.'], [(5, 2), (11, 2), (12, 1)], [False, True, False, False], 6, False, [True, False, False, True], 4063, 'East', (6, 10))
Element 48: (3, (6, 10), ['', '%', '', ''], [(4, 2), (11, 3), (13, 1)], [False, True, False, False], 4, False, [False, False, False, False], 4072, 'West', (5, 10))
Element 49: (3, (5, 10), ['.', '%', '', ''], [(4, 1), (12, 3), (14, 1)], [False, True, False, False], 2, False, [True, False, False, False], 4071, 'West', (4, 10))
Element 50: (3, (4, 10), ['.', '%', '%', ''], [(4, 1), (12, 3), (14, 1)], [False, True, True, False], 0, False, [True, False, False, False], 4080, 'Stop', (4, 10))
Element 51: #0#
