Element 17: (2, (17, 12), ['.', '.', '', ''], [(12, 3), (16, 6), (17, 6)], [False, False, False, False], 66, False, [True, True, False, False], 1503, 'South', (17, 11))
Element 18: (2, (17, 11), ['.', '.', '', ''], [(11, 3), (17, 6), (17, 5)], [False, False, False, False], 64, False, [True, True, False, False], 1522, 'South', (17, 10))
Element 19: (2, (17, 10), ['.', '', '', ''], [(11, 2), (18, 6), (16, 5)], [False, False, False, False], 62, False, [True, False, False, False], 1541, 'West', (16, 10))
Element 20: (2, (16, 10), ['.', '', '.', ''], [(11, 1), (17, 6), (17, 5)], [False, False, False, False], 60, False, [True, False, True, False], 1560, 'North', (16, 11))
Element 21: (2, (16, 11), ['.', '', '.', ''], [(10, 1), (17, 5), (16, 5)], [False, False, False, False], 58, False, [True, False, True, False], 2569, 'North', (16, 12))
Element 22: (2, (16, 12), ['.', '', '.', ''], [(10, 2), (17, 4), (16, 6)], [False, False, False, False], 56, False, [True, False, True, False], 2588, 'North', (16, 13))
Element 23: (2, (16, 13), ['%', '', '%', ''], [(10, 1), (18, 4), (16, 7)], [True, False, True, False], 54, False, [False, False, False, False], 2597, 'South', (16, 12))
Element 24: (2, (16, 12), ['.', '', '', ''], [(9, 1), (17, 4), (15, 7)], [False, False, False, False], 52, False, [True, False, False, False], 2606, 'West', (15, 12))
Element 25: (2, (15, 12), ['.', '.', '%', ''], [(8, 1), (17, 3), (15, 6)], [False, False, True, False], 50, False, [True, True, False, False], 2625, 'South', (15, 11))
Element 26: (2, (15, 11), ['%', '.', '', ''], [(7, 1), (17, 2), (15, 5)], [True, False, False, False], 48, False, [False, True, False, False], 2644, 'South', (15, 10))
Element 27: (2, (15, 10), ['%', '', '', ''], [(6, 1), (17, 1), (14, 5)], [True, False, False, False], 46, False, [False, False, False, False], 2663, 'North', (15, 11))
Element 28: (2, (15, 11), ['%', '', '', ''], [(7, 1), (18, 1), (13, 5)], [True, False, False, False], 44, False, [False, False, False, False], 2672, 'North', (15, 12))
Element 29: (2, (15, 12), ['.', '', '%', ''], [(8, 1), (17, 1), (13, 6)], [False, False, True, False], 42, False, [True, False, False, False], 2671, 'West', (14, 12))
Element 30: (2, (14, 12), ['%', '%', '.', ''], [(9, 1), (16, 1), (14, 6)], [True, True, False, False], 40, False, [False, False, True, False], 2680, 'North', (14, 13))
Element 31: (2, (14, 13), ['.', '', '%', '%'], [(10, 1), (16, 2), (14, 7)], [False, False, True, True], 38, False, [True, False, False, False], 2689, 'West', (13, 13))
Element 32: (2, (13, 13), ['.', '%', '%', ''], [(11, 1), (16, 3), (13, 7)], [False, True, True, False], 36, False, [True, False, False, False], 2698, 'West', (12, 13))
Element 33: (2, (12, 13), ['.', '%', '%', ''], [(12, 1), (16, 4), (13, 8)], [False, True, True, False], 34, False, [True, False, False, False], 2717, 'West', (11, 13))
Element 34: (2, (11, 13), ['%', '.', '%', ''], [(13, 1), (16, 5), (13, 9)], [True, False, True, False], 32, False, [False, True, False, False], 2736, 'South', (11, 12))
Element 35: (2, (11, 12), ['.', '.', '', '%'], [(14, 1), (16, 4), (12, 9)], [False, False, False, True], 30, False, [True, True, False, False], 2755, 'South', (11, 11))
Element 36: (2, (11, 11), ['.', '%', '', '.'], [(15, 1), (16, 3), (11, 9)], [False, True, False, False], 28, False, [True, False, False, True], 2774, 'East', (12, 11))
Element 37: (2, (12, 11), ['', '%', '%', '.'], [(16, 1), (15, 3), (12, 9)], [False, True, True, False], 26, False, [False, False, False, True], 2783, 'East', (13, 11))
Element 38: (2, (13, 11), ['', '%', '%', '%'], [(17, 1), (15, 2), (12, 8)], [False, True, True, True], 24, False, [False, False, False, False], 2792, 'West', (12, 11))
Element 39: (2, (12, 11), ['', '%', '%', ''], [(18, 1), (15, 1), (12, 7)], [False, True, True, False], 22, False, [False, False, False, False], 2791, 'West', (11, 11))
Element 40: (2, (11, 11), ['.', '%', '', ''], [(17, 1), (14, 1), (11, 7)], [False, True, False, False], 20, False, [True, False, False, False], 2800, 'West', (10, 11))
Element 41: (2, (10, 11), ['.', '%', '.', ''], [(17, 2), (13, 1), (11, 6)], [False, True, False, False], 18, False, [True, False, True, False], 2819, 'North', (10, 12))
Element 42: (2, (10, 12), ['.', '', '%', ''], [(17, 3), (12, 1), (10, 6)], [False, False, True, False], 16, False, [True, False, False, False], 2838, 'West', (9, 12))
Element 43: (2, (9, 12), ['.', '.', '.', ''], [(17, 4), (11, 1), (10, 5)], [False, False, False, False], 14, False, [True, True, True, False], 2857, 'North', (9, 13))
Element 44: (2, (9, 13), ['%', '', '%', '%'], [(18, 4), (11, 2), (9, 5)], [True, False, True, True], 12, False, [False, False, False, False], 2876, 'South', (9, 12))
Element 45: (2, (9, 12), ['.', '.', '', ''], [(17, 4), (11, 3), (9, 6)], [False, False, False, False], 10, False, [True, True, False, False], 2885, 'South', (9, 11))
Element 46: (2, (9, 11), ['%', '.', '', ''], [(17, 3), (12, 3), (8, 6)], [True, False, False, False], 8, False, [False, True, False, False], 2904, 'South', (9, 10))
Element 47: (2, (9, 10), ['.', '%', '', '%'], [(17, 2), (13, 3), (8, 7)], [False, True, False, True], 6, False, [True, False, False, False], 3913, 'West', (8, 10))
Element 48: (2, (8, 10), ['.', '%', '%', ''], [(17, 1), (14, 3), (8, 8)], [False, True, True, False], 4, False, [True, False, False, False], 3932, 'West', (7, 10))
Element 49: (2, (7, 10), ['.', '%', '.', ''], [(16, 1), (13, 3), (9, 8)], [False, True, False, False], 2, False, [True, False, True, False], 3951, 'North', (7, 11))
Element 50: (2, (7, 11), ['.', '', '%', '%'], [(16, 1), (13, 3), (10, 8)], [False, False, True, True], 0, False, [True, False, False, False], 3970, 'Stop', (7, 11))
Element 51: #0#
