Element 1: (3, (17, 5), ['.', 'G', '.', '%'], [(17, 4), (4, 12), (13, 4)], [False, False, False, True], 98, False, [True, False, True, False], 29, 'North', (17, 6))
Element 2: (3, (17, 6), ['.', '', '%', '.'], [(18, 4), (5, 12), (14, 4)], [False, False, True, False], 96, False, [True, False, False, True], 68, 'East', (18, 6))
Element 3: (3, (18, 6), ['', '%', '%', '%'], [(17, 4), (6, 12), (14, 5)], [False, True, True, True], 94, False, [False, False, False, False], 97, 'West', (17, 6))
Element 4: (3, (17, 6), ['.', '', '%', ''], [(16, 4), (6, 13), (15, 5)], [False, False, True, False], 92, False, [True, False, False, False], 126, 'West', (16, 6))
Element 5: (3, (16, 6), ['G', 'G', '.', ''], [(16, 5), (7, 13), (15, 6)], [False, False, False, False], 90, False, [False, False, True, False], 165, 'North', (16, 7))
Element 6: (3, (16, 7), ['G', '', '%', '%'], [(17, 5), (6, 13), (15, 7)], [False, False, True, True], 88, False, [False, False, False, False], 184, 'South', (16, 6))
Element 7: (3, (16, 6), ['', '', '', 'G'], [(17, 6), (5, 13), (14, 7)], [False, False, False, False], 86, False, [False, False, False, False], 203, 'West', (15, 6))
Element 8: (3, (15, 6), ['G', '', '', ''], [(18, 6), (6, 13), (14, 6)], [False, False, False, False], 84, False, [False, False, False, False], 212, 'North', (15, 7))
Element 9: (3, (15, 7), ['', '', '%', ''], [(17, 6), (6, 12), (13, 6)], [False, False, True, False], 82, False, [False, False, False, False], 221, 'West', (14, 7))
Element 10: (3, (14, 7), ['.', '', '%', ''], [(16, 6), (6, 11), (12, 6)], [False, False, True, False], 80, False, [True, False, False, False], 1230, 'West', (13, 7))
Element 11: (3, (13, 7), ['G', '', '.', ''], [(16, 7), (7, 11), (12, 7)], [False, False, False, False], 78, False, [False, False, True, False], 1259, 'North', (13, 8))
Element 12: (3, (13, 8), ['G', '', '.', '%'], [(15, 7), (7, 10), (12, 8)], [False, False, False, True], 76, False, [False, False, True, False], 1288, 'North', (13, 9))
Element 13: (3, (13, 9), ['G', '', '%', '.'], [(15, 6), (8, 10), (12, 9)], [False, False, True, False], 74, False, [False, False, False, True], 1317, 'East', (14, 9))
Element 14: (3, (14, 9), ['', '%', '%', '.'], [(15, 5), (9, 10), (11, 9)], [False, True, True, False], 72, False, [False, False, False, True], 1346, 'East', (15, 9))
Element 15: (3, (15, 9), ['', '%', '.', '.'], [(14, 5), (9, 11), (12, 9)], [False, True, False, False], 70, False, [False, False, True, True], 1365, 'East', (16, 9))
Element 16: (3, (16, 9), ['', '%', '.', '.'], [(13, 5), (10, 11), (13, 9)], [False, True, False, False], 68, False, [False, False, True, True], 1394, 'East', (17, 9))
Element 17: (3, (17, 9), ['', '.', '.', '.'], [(13, 6), (11, 11), (14, 9)], [False, False, False, False], 66, False, [False, True, True, True], 1413, 'East', (18, 9))
Element 18: (3, (18, 9), ['', '.', '.', '%'], [(14, 6), (12, 11), (15, 9)], [False, False, False, True], 64, False, [False, True, True, False], 1432, 'North', (18, 10))
Element 19: (3, (18, 10), ['.', '', '.', '%'], [(14, 7), (13, 11), (15, 10)], [False, False, False, True], 62, False, [True, False, True, False], 1461, 'North', (18, 11))
Element 20: (3, (18, 11), ['.', '', '.', '%'], [(13, 7), (12, 11), (16, 10)], [False, False, False, True], 60, False, [True, False, True, False], 1480, 'North', (18, 12))
Element 21: (3, (18, 12), ['.', '', '.', '%'], [(13, 8), (11, 11), (17, 10)], [False, False, False, True], 58, False, [True, False, True, False], 1499, 'North', (18, 13))
Element 22: (3, (18, 13), ['.', '', '%', '%'], [(13, 9), (11, 12), (17, 11)], [False, False, True, True], 56, False, [True, False, False, False], 1528, 'West', (17, 13))
Element 23: (3, (17, 13), ['.', 'G', '%', ''], [(14, 9), (11, 13), (17, 12)], [False, False, True, False], 54, False, [True, False, False, False], 1557, 'West', (16, 13))
Element 24: (3, (16, 13), ['%', 'G', '%', ''], [(15, 9), (12, 13), (16, 12)], [True, False, True, False], 52, False, [False, False, False, False], 1586, 'East', (17, 13))
Element 25: (3, (17, 13), ['', '', '%', ''], [(16, 9), (13, 13), (16, 11)], [False, False, True, False], 50, False, [False, False, False, False], 1605, 'East', (18, 13))
Element 26: (3, (18, 13), ['', '', '%', '%'], [(17, 9), (14, 13), (15, 11)], [False, False, True, True], 48, False, [False, False, False, False], 1624, 'South', (18, 12))
Element 27: (3, (18, 12), ['', '', '', '%'], [(17, 8), (14, 12), (15, 12)], [False, False, False, True], 46, False, [False, False, False, False], 1653, 'West', (17, 12))
Element 28: (3, (17, 12), ['', '', '', ''], [(18, 8), (14, 13), (14, 12)], [False, False, False, False], 44, False, [False, False, False, False], 1662, 'South', (17, 11))
Element 29: (3, (17, 11), ['', '', '', ''], [(18, 9), (13, 13), (14, 13)], [False, False, False, False], 42, False, [False, False, False, False], 1661, 'South', (17, 10))
Element 30: (3, (17, 10), ['', '', '', 'G'], [(18, 10), (12, 13), (13, 13)], [False, False, False, False], 40, False, [False, False, False, False], 1660, 'West', (16, 10))
Element 31: (3, (16, 10), ['', '', '', ''], [(18, 11), (11, 13), (12, 13)], [False, False, False, False], 38, False, [False, False, False, False], 1659, 'North', (16, 11))
Element 32: (3, (16, 11), ['', '', '', ''], [(18, 12), (11, 12), (11, 13)], [False, False, False, False], 36, False, [False, False, False, False], 1658, 'North', (16, 12))
Element 33: (3, (16, 12), ['', '', '', ''], [(18, 13), (10, 12), (11, 12)], [False, False, False, False], 34, False, [False, False, False, False], 1667, 'West', (15, 12))
Element 34: (3, (15, 12), ['', '', '%', ''], [(17, 13), (9, 12), (11, 11)], [False, False, True, False], 32, False, [False, False, False, False], 1676, 'South', (15, 11))
