Element 1: (2, (8, 8), ['%', 'F', '%', '.'], [(15, 7), (8, 3), (18, 9)], [True, False, True, False], 98, False, [False, False, False, True], 19, 'South', (8, 7))
Element 2: (2, (8, 7), ['.', '.', '', '%'], [(16, 7), (9, 3), (18, 10)], [False, False, False, True], 96, False, [True, True, False, False], 1048, 'South', (8, 6))
Element 3: (2, (8, 6), ['.', '.', '', '.'], [(16, 6), (9, 4), (18, 11)], [False, False, False, False], 94, False, [True, True, False, True], 1087, 'East', (9, 6))
Element 4: (2, (9, 6), ['', '.', '%', '.'], [(17, 6), (10, 4), (18, 12)], [False, False, True, False], 92, False, [False, True, False, True], 1126, 'East', (10, 6))
Element 5: (2, (10, 6), ['', '.', '%', '.'], [(18, 6), (11, 4), (18, 13)], [False, False, True, False], 90, False, [False, True, False, True], 1165, 'East', (11, 6))
Element 6: (2, (11, 6), ['', '%', '.', 'F'], [(17, 6), (12, 4), (17, 13)], [False, True, False, False], 88, False, [False, False, True, False], 1194, 'East', (12, 6))
Element 7: (2, (12, 6), ['', '%', '.', '.'], [(17, 5), (13, 4), (17, 12)], [False, True, False, False], 86, False, [False, False, True, True], 2223, 'East', (13, 6))
Element 8: (2, (13, 6), ['', '.', '.', '.'], [(17, 4), (14, 4), (17, 11)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (14, 6))
Element 9: (2, (14, 6), ['', 'G', '', '.'], [(18, 4), (14, 5), (17, 10)], [False, False, False, False], 82, False, [False, False, False, True], 2301, 'East', (15, 6))
Element 10: (2, (15, 6), ['', 'G', '', ''], [(17, 4), (15, 5), (17, 9)], [False, False, False, False], 80, False, [False, False, False, False], 2330, 'East', (16, 6))
Element 11: (2, (16, 6), ['', 'G', '', ''], [(17, 3), (16, 5), (17, 8)], [False, False, False, False], 78, False, [False, False, False, False], 2359, 'East', (17, 6))
Element 12: (2, (17, 6), ['', '', '%', ''], [(17, 2), (16, 4), (18, 8)], [False, False, True, False], 76, False, [False, False, False, False], 2388, 'East', (18, 6))
Element 13: (2, (18, 6), ['', '%', '%', '%'], [(17, 1), (16, 3), (17, 8)], [False, True, True, True], 74, False, [False, False, False, False], 2407, 'West', (17, 6))
Element 14: (2, (17, 6), ['', '', '%', ''], [(18, 1), (16, 2), (17, 9)], [False, False, True, False], 72, False, [False, False, False, False], 2426, 'South', (17, 5))
Element 15: (2, (17, 5), ['', '', '', '%'], [(17, 1), (16, 1), (16, 9)], [False, False, False, True], 70, False, [False, False, False, False], 2445, 'South', (17, 4))
Element 16: (2, (17, 4), ['', '', '', ''], [(17, 2), (15, 1), (16, 10)], [False, False, False, False], 68, False, [False, False, False, False], 2464, 'East', (18, 4))
Element 17: (2, (18, 4), ['', '%', '%', '%'], [(17, 1), (15, 2), (16, 11)], [False, True, True, True], 66, False, [False, False, False, False], 2483, 'West', (17, 4))
Element 18: (2, (17, 4), ['', '', '', ''], [(17, 2), (15, 3), (16, 12)], [False, False, False, False], 64, False, [False, False, False, False], 2502, 'South', (17, 3))
Element 19: (2, (17, 3), ['', '', '', '%'], [(16, 2), (14, 3), (16, 13)], [False, False, False, True], 62, False, [False, False, False, False], 2521, 'South', (17, 2))
Element 20: (2, (17, 2), ['', '', '', '%'], [(16, 3), (13, 3), (16, 12)], [False, False, False, True], 60, False, [False, False, False, False], 2530, 'South', (17, 1))
Element 21: (2, (17, 1), ['', '%', '', ''], [(16, 4), (12, 3), (15, 12)], [False, True, False, False], 58, False, [False, False, False, False], 2549, 'East', (18, 1))
Element 22: (2, (18, 1), ['', '%', '%', '%'], [(16, 5), (11, 3), (15, 11)], [False, True, True, True], 56, False, [False, False, False, False], 2568, 'West', (17, 1))
Element 23: (2, (17, 1), ['', '%', '', ''], [(15, 5), (11, 2), (15, 10)], [False, True, False, False], 54, False, [False, False, False, False], 2587, 'West', (16, 1))
Element 24: (2, (16, 1), ['', '%', '', ''], [(15, 6), (11, 1), (15, 9)], [False, True, False, False], 52, False, [False, False, False, False], 2606, 'North', (16, 2))
Element 25: (2, (16, 2), ['', '', '', ''], [(14, 6), (10, 1), (14, 9)], [False, False, False, False], 50, False, [False, False, False, False], 3615, 'North', (16, 3))
Element 26: (2, (16, 3), ['', '', '', ''], [(14, 5), (10, 2), (13, 9)], [False, False, False, False], 48, False, [False, False, False, False], 3634, 'North', (16, 4))
Element 27: (2, (16, 4), ['%', '', '', ''], [(13, 5), (10, 1), (13, 8)], [True, False, False, False], 46, False, [False, False, False, False], 3653, 'North', (16, 5))
Element 28: (2, (16, 5), ['', '', '', ''], [(13, 6), (9, 1), (13, 7)], [False, False, False, False], 44, False, [False, False, False, False], 3672, 'West', (15, 5))
Element 29: (2, (15, 5), ['', '%', '', ''], [(13, 7), (8, 1), (12, 7)], [False, True, False, False], 42, False, [False, False, False, False], 3691, 'West', (14, 5))
Element 30: (2, (14, 5), ['', '', '', ''], [(13, 8), (7, 1), (12, 8)], [False, False, False, False], 40, False, [False, False, False, False], 3710, 'South', (14, 4))
Element 31: (2, (14, 4), ['', '', '', '%'], [(13, 9), (6, 1), (12, 9)], [False, False, False, True], 38, False, [False, False, False, False], 3729, 'South', (14, 3))
Element 32: (2, (14, 3), ['', '%', '', ''], [(14, 9), (7, 1), (11, 9)], [False, True, False, False], 36, False, [False, False, False, False], 3738, 'East', (15, 3))
Element 33: (2, (15, 3), ['', '', '%', ''], [(15, 9), (8, 1), (12, 9)], [False, False, True, False], 34, False, [False, False, False, False], 3737, 'South', (15, 2))
Element 34: (2, (15, 2), ['%', '', '', ''], [(16, 9), (9, 1), (12, 8)], [True, False, False, False], 32, False, [False, False, False, False], 3736, 'South', (15, 1))
Element 35: (2, (15, 1), ['.', '%', '', ''], [(17, 9), (10, 1), (12, 7)], [False, True, False, False], 30, False, [True, False, False, False], 3735, 'West', (14, 1))
Element 36: (2, (14, 1), ['.', '%', '%', ''], [(18, 9), (11, 1), (11, 7)], [False, True, True, False], 28, False, [True, False, False, False], 3754, 'West', (13, 1))
Element 37: (2, (13, 1), ['G', '%', '%', ''], [(18, 10), (12, 1), (11, 6)], [False, True, True, False], 26, False, [False, False, False, False], 3773, 'East', (14, 1))
Element 38: (2, (14, 1), ['G', '%', '%', ''], [(18, 11), (13, 1), (12, 6)], [False, True, True, False], 24, False, [False, False, False, False], 3772, 'East', (15, 1))
Element 39: (2, (15, 1), ['G', '%', '', ''], [(18, 12), (14, 1), (13, 6)], [False, True, False, False], 22, False, [False, False, False, False], 3771, 'North', (15, 2))
Element 40: (2, (15, 2), ['%', '', '', ''], [(18, 13), (13, 1), (14, 6)], [True, False, False, False], 20, False, [False, False, False, False], 3770, 'North', (15, 3))
Element 41: (2, (15, 3), ['', '', '%', ''], [(17, 13), (12, 1), (15, 6)], [False, False, True, False], 18, False, [False, False, False, False], 3769, 'West', (14, 3))
Element 42: (2, (14, 3), ['', '%', '', ''], [(17, 12), (11, 1), (16, 6)], [False, True, False, False], 16, False, [False, False, False, False], 3768, 'West', (13, 3))
Element 43: (2, (13, 3), ['', '%', '', ''], [(17, 11), (11, 2), (17, 6)], [False, True, False, False], 14, False, [False, False, False, False], 3767, 'North', (13, 4))
Element 44: (2, (13, 4), ['', '', '', ''], [(17, 10), (10, 2), (18, 6)], [False, False, False, False], 12, False, [False, False, False, False], 3766, 'North', (13, 5))
Element 45: (2, (13, 5), ['%', '', '', ''], [(16, 10), (11, 2), (17, 6)], [True, False, False, False], 10, False, [False, False, False, False], 3765, 'South', (13, 4))
Element 46: (2, (13, 4), ['', '', '', ''], [(16, 11), (11, 3), (17, 5)], [False, False, False, False], 8, False, [False, False, False, False], 3764, 'West', (12, 4))
Element 47: (2, (12, 4), ['', 'G', '%', ''], [(16, 12), (12, 3), (17, 4)], [False, False, True, False], 6, False, [False, False, False, False], 3763, 'West', (11, 4))
Element 48: (2, (11, 4), ['', '', '%', ''], [(16, 13), (13, 3), (18, 4)], [False, False, True, False], 4, False, [False, False, False, False], 3762, 'South', (11, 3))
Element 49: (2, (11, 3), ['%', '', '', ''], [(16, 12), (14, 3), (17, 4)], [True, False, False, False], 2, False, [False, False, False, False], 3761, 'East', (12, 3))
Element 50: (2, (12, 3), ['', '%', '', ''], [(16, 12), (14, 3), (17, 3)], [False, True, False, False], 0, False, [False, False, False, False], 3760, 'Stop', (12, 3))
Element 51: #0#
