Element 1: (2, (13, 1), ['.', '%', '%', '.'], [(11, 11), (6, 12), (17, 11)], [False, True, True, False], 98, False, [True, False, False, True], 19, 'East', (14, 1))
Element 2: (2, (14, 1), ['', '%', '%', '.'], [(12, 11), (6, 13), (18, 11)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (15, 1))
Element 3: (2, (15, 1), ['', '%', '.', '.'], [(13, 11), (7, 13), (18, 12)], [False, True, False, False], 94, False, [False, False, True, True], 97, 'East', (16, 1))
Element 4: (2, (16, 1), ['', '%', '.', '.'], [(12, 11), (6, 13), (18, 13)], [False, True, False, False], 92, False, [False, False, True, True], 116, 'East', (17, 1))
Element 5: (2, (17, 1), ['', '%', '.', '.'], [(11, 11), (5, 13), (17, 13)], [False, True, False, False], 90, False, [False, False, True, True], 145, 'East', (18, 1))
Element 6: (2, (18, 1), ['', '%', '%', '%'], [(11, 12), (6, 13), (17, 12)], [False, True, True, True], 88, False, [False, False, False, False], 174, 'West', (17, 1))
Element 7: (2, (17, 1), ['', '%', '.', ''], [(11, 13), (6, 12), (16, 12)], [False, True, False, False], 86, False, [False, False, True, False], 193, 'North', (17, 2))
Element 8: (2, (17, 2), ['.', '', '.', '%'], [(12, 13), (6, 11), (16, 13)], [False, False, False, True], 84, False, [True, False, True, False], 232, 'North', (17, 3))
Element 9: (2, (17, 3), ['.', '', '.', '%'], [(13, 13), (7, 11), (16, 12)], [False, False, False, True], 82, False, [True, False, True, False], 261, 'North', (17, 4))
Element 10: (2, (17, 4), ['.', '', '.', '.'], [(14, 13), (7, 10), (16, 11)], [False, False, False, False], 80, False, [True, False, True, True], 300, 'East', (18, 4))
Element 11: (2, (18, 4), ['', '%', '%', '%'], [(14, 12), (8, 10), (16, 10)], [False, True, True, True], 78, False, [False, False, False, False], 339, 'West', (17, 4))
Element 12: (2, (17, 4), ['.', '', '.', ''], [(15, 12), (9, 10), (17, 10)], [False, False, False, False], 76, False, [True, False, True, False], 368, 'North', (17, 5))
Element 13: (2, (17, 5), ['.', '', '.', '%'], [(15, 11), (9, 11), (18, 10)], [False, False, False, True], 74, False, [True, False, True, False], 407, 'North', (17, 6))
Element 14: (2, (17, 6), ['.', '', '%', '.'], [(15, 10), (9, 12), (18, 9)], [False, False, True, False], 72, False, [True, False, False, True], 446, 'East', (18, 6))
Element 15: (2, (18, 6), ['', '%', '%', '%'], [(15, 9), (10, 12), (18, 8)], [False, True, True, True], 70, False, [False, False, False, False], 485, 'West', (17, 6))
Element 16: (2, (17, 6), ['.', '', '%', ''], [(16, 9), (11, 12), (17, 8)], [False, False, True, False], 68, False, [True, False, False, False], 504, 'West', (16, 6))
Element 17: (2, (16, 6), ['.', '.', '.', ''], [(16, 10), (11, 13), (17, 9)], [False, False, False, False], 66, False, [True, True, True, False], 523, 'North', (16, 7))
Element 18: (2, (16, 7), ['.', '', '%', '%'], [(17, 10), (12, 13), (16, 9)], [False, False, True, True], 64, False, [True, False, False, False], 532, 'West', (15, 7))
Element 19: (2, (15, 7), ['.', '.', '%', ''], [(18, 10), (13, 13), (15, 9)], [False, False, True, False], 62, False, [True, True, False, False], 541, 'South', (15, 6))
Element 20: (2, (15, 6), ['.', '.', '', ''], [(18, 11), (14, 13), (14, 9)], [False, False, False, False], 60, False, [True, True, False, False], 560, 'South', (15, 5))
Element 21: (2, (15, 5), ['.', '%', '', '.'], [(18, 12), (14, 12), (13, 9)], [False, True, False, False], 58, False, [True, False, False, True], 579, 'East', (16, 5))
Element 22: (2, (16, 5), ['', '.', '', ''], [(18, 13), (15, 12), (13, 8)], [False, False, False, False], 56, False, [False, True, False, False], 598, 'South', (16, 4))
Element 23: (2, (16, 4), ['%', '.', '', ''], [(17, 13), (16, 12), (13, 7)], [True, False, False, False], 54, False, [False, True, False, False], 617, 'South', (16, 3))
Element 24: (2, (16, 3), ['.', '.', '', ''], [(17, 12), (16, 13), (14, 7)], [False, False, False, False], 52, False, [True, True, False, False], 636, 'South', (16, 2))
Element 25: (2, (16, 2), ['.', '', '', ''], [(17, 11), (17, 13), (14, 6)], [False, False, False, False], 50, False, [True, False, False, False], 655, 'West', (15, 2))
Element 26: (2, (15, 2), ['%', '', '.', ''], [(16, 11), (18, 13), (14, 5)], [True, False, False, False], 48, False, [False, False, True, False], 674, 'North', (15, 3))
Element 27: (2, (15, 3), ['.', '', '%', ''], [(16, 12), (18, 12), (14, 4)], [False, False, True, False], 46, False, [True, False, False, False], 693, 'West', (14, 3))
Element 28: (2, (14, 3), ['.', '%', '', ''], [(16, 13), (18, 11), (13, 4)], [False, True, False, False], 44, False, [True, False, False, False], 712, 'West', (13, 3))
Element 29: (2, (13, 3), ['.', '%', '', ''], [(16, 12), (18, 10), (13, 5)], [False, True, False, False], 42, False, [True, False, False, False], 731, 'West', (12, 3))
Element 30: (2, (12, 3), ['.', '%', '.', ''], [(16, 11), (18, 9), (13, 6)], [False, True, False, False], 40, False, [True, False, True, False], 750, 'North', (12, 4))
Element 31: (2, (12, 4), ['.', '', '%', ''], [(17, 11), (18, 8), (12, 6)], [False, False, True, False], 38, False, [True, False, False, False], 1759, 'West', (11, 4))
Element 32: (2, (11, 4), ['.', '.', '%', ''], [(17, 12), (17, 8), (12, 7)], [False, False, True, False], 36, False, [True, True, False, False], 1778, 'South', (11, 3))
Element 33: (2, (11, 3), ['%', '.', '', ''], [(16, 12), (17, 9), (12, 8)], [True, False, False, False], 34, False, [False, True, False, False], 1797, 'South', (11, 2))
Element 34: (2, (11, 2), ['.', '.', '', '%'], [(17, 12), (17, 10), (12, 9)], [False, False, False, True], 32, False, [True, True, False, False], 1816, 'South', (11, 1))
Element 35: (2, (11, 1), ['F', '%', '', '.'], [(17, 13), (17, 11), (11, 9)], [False, True, False, False], 30, False, [False, False, False, True], 1835, 'West', (10, 1))
Element 36: (2, (10, 1), ['.', '%', '.', ''], [(16, 13), (17, 12), (12, 9)], [False, True, False, False], 28, False, [True, False, True, False], 2834, 'North', (10, 2))
Element 37: (2, (10, 2), ['%', '', '%', ''], [(17, 13), (17, 11), (12, 8)], [True, False, True, False], 26, False, [False, False, False, False], 2843, 'South', (10, 1))
Element 38: (2, (10, 1), ['.', '%', '', ''], [(18, 13), (16, 11), (12, 7)], [False, True, False, False], 24, False, [True, False, False, False], 2842, 'West', (9, 1))
Element 39: (2, (9, 1), ['.', '%', '%', ''], [(18, 12), (16, 10), (11, 7)], [False, True, True, False], 22, False, [True, False, False, False], 2861, 'West', (8, 1))
Element 40: (2, (8, 1), ['.', '%', '%', ''], [(17, 12), (16, 9), (11, 6)], [False, True, True, False], 20, False, [True, False, False, False], 2880, 'West', (7, 1))
Element 41: (2, (7, 1), ['.', '%', '%', ''], [(18, 12), (15, 9), (10, 6)], [False, True, True, False], 18, False, [True, False, False, False], 2899, 'West', (6, 1))
