Element 1: (1, (6, 4), ['%', '.', 'F', '.'], [(16, 12), (9, 11), (10, 11)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'North', (6, 5))
Element 2: (1, (6, 5), ['%', '', '.', '.'], [(17, 12), (9, 12), (11, 11)], [True, False, False, False], 96, False, [False, False, True, True], 1038, 'East', (7, 5))
Element 3: (1, (7, 5), ['', '.', '.', '.'], [(18, 12), (10, 12), (12, 11)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (8, 5))
Element 4: (1, (8, 5), ['', '.', '.', '.'], [(18, 13), (11, 12), (13, 11)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (9, 5))
Element 5: (1, (9, 5), ['', '.', '.', '.'], [(17, 13), (11, 13), (12, 11)], [False, False, False, False], 90, False, [False, True, True, True], 1145, 'East', (10, 5))
Element 6: (1, (10, 5), ['', '.', '.', '%'], [(16, 13), (12, 13), (11, 11)], [False, False, False, True], 88, False, [False, True, True, False], 1174, 'North', (10, 6))
Element 7: (1, (10, 6), ['.', '', '%', '.'], [(17, 13), (13, 13), (11, 12)], [False, False, True, False], 86, False, [True, False, False, True], 1193, 'East', (11, 6))
Element 8: (1, (11, 6), ['', '%', '.', 'F'], [(18, 13), (14, 13), (11, 13)], [False, True, False, False], 84, False, [False, False, True, False], 1212, 'East', (12, 6))
Element 9: (1, (12, 6), ['', '%', '.', '.'], [(18, 12), (14, 12), (12, 13)], [False, True, False, False], 82, False, [False, False, True, True], 2221, 'East', (13, 6))
Element 10: (1, (13, 6), ['', '.', '.', '.'], [(18, 11), (15, 12), (13, 13)], [False, False, False, False], 80, False, [False, True, True, True], 2240, 'East', (14, 6))
Element 11: (1, (14, 6), ['', '.', '.', '.'], [(18, 10), (15, 11), (14, 13)], [False, False, False, False], 78, False, [False, True, True, True], 2269, 'East', (15, 6))
Element 12: (1, (15, 6), ['', '.', '.', '.'], [(18, 9), (16, 11), (14, 12)], [False, False, False, False], 76, False, [False, True, True, True], 2298, 'East', (16, 6))
Element 13: (1, (16, 6), ['', '.', '.', '.'], [(18, 8), (17, 11), (15, 12)], [False, False, False, False], 74, False, [False, True, True, True], 2327, 'East', (17, 6))
Element 14: (1, (17, 6), ['', '.', '%', '.'], [(17, 8), (17, 10), (16, 12)], [False, False, True, False], 72, False, [False, True, False, True], 2356, 'East', (18, 6))
