Element 1: (0, (9, 13), ['%', '.', '%', '%'], [(1, 1), (3, 10), (12, 3)], [True, False, True, True], 98, False, [False, True, False, False], 0, 'South', (9, 12))
Element 2: (0, (9, 12), ['.', '.', '', '.'], [(2, 1), (4, 10), (13, 3)], [False, False, False, False], 96, False, [True, True, False, True], 39, 'East', (10, 12))
Element 3: (0, (10, 12), ['', '.', '%', '.'], [(3, 1), (5, 10), (14, 3)], [False, False, True, False], 94, False, [False, True, False, True], 78, 'East', (11, 12))
Element 4: (0, (11, 12), ['', '.', '.', '%'], [(4, 1), (6, 10), (15, 3)], [False, False, False, True], 92, False, [False, True, True, False], 117, 'North', (11, 13))
Element 5: (0, (11, 13), ['%', '', '%', '.'], [(4, 2), (7, 10), (16, 3)], [True, False, True, False], 90, False, [False, False, False, True], 156, 'East', (12, 13))
Element 6: (0, (12, 13), ['', '%', '%', '.'], [(5, 2), (8, 10), (17, 3)], [False, True, True, False], 88, False, [False, False, False, True], 195, 'East', (13, 13))
Element 7: (0, (13, 13), ['', '%', '%', '.'], [(4, 2), (9, 10), (17, 4)], [False, True, True, False], 86, False, [False, False, False, True], 224, 'East', (14, 13))
Element 8: (0, (14, 13), ['', '.', '%', '%'], [(3, 2), (9, 11), (18, 4)], [False, False, True, True], 84, False, [False, True, False, False], 263, 'South', (14, 12))
Element 9: (0, (14, 12), ['%', '%', '', '.'], [(2, 2), (10, 11), (17, 4)], [True, True, False, False], 82, False, [False, False, False, True], 292, 'East', (15, 12))
Element 10: (0, (15, 12), ['', '.', '%', '.'], [(1, 2), (11, 11), (17, 5)], [False, False, True, False], 80, False, [False, True, False, True], 331, 'East', (16, 12))
Element 11: (0, (16, 12), ['', '.', '.', '.'], [(2, 2), (12, 11), (17, 6)], [False, False, False, False], 78, False, [False, True, True, True], 360, 'East', (17, 12))
Element 12: (0, (17, 12), ['', '.', '.', '.'], [(3, 2), (13, 11), (18, 6)], [False, False, False, False], 76, False, [False, True, True, True], 389, 'East', (18, 12))
Element 13: (0, (18, 12), ['', '.', '.', '%'], [(4, 2), (12, 11), (17, 6)], [False, False, False, True], 74, False, [False, True, True, False], 398, 'North', (18, 13))
Element 14: (0, (18, 13), ['.', '', '%', '%'], [(4, 1), (11, 11), (16, 6)], [False, False, True, True], 72, False, [True, False, False, False], 417, 'West', (17, 13))
Element 15: (0, (17, 13), ['.', '', '%', ''], [(3, 1), (11, 12), (16, 7)], [False, False, True, False], 70, False, [True, False, False, False], 436, 'West', (16, 13))
Element 16: (0, (16, 13), ['%', '', '%', ''], [(3, 2), (11, 13), (15, 7)], [True, False, True, False], 68, False, [False, False, False, False], 455, 'East', (17, 13))
Element 17: (0, (17, 13), ['', '', '%', ''], [(3, 1), (12, 13), (15, 6)], [False, False, True, False], 66, False, [False, False, False, False], 464, 'East', (18, 13))
Element 18: (0, (18, 13), ['', '', '%', '%'], [(2, 1), (13, 13), (15, 5)], [False, False, True, True], 64, False, [False, False, False, False], 473, 'South', (18, 12))
Element 19: (0, (18, 12), ['', '.', '', '%'], [(2, 2), (14, 13), (16, 5)], [False, False, False, True], 62, False, [False, True, False, False], 482, 'South', (18, 11))
Element 20: (0, (18, 11), ['.', '.', '', '%'], [(2, 1), (14, 12), (16, 4)], [False, False, False, True], 60, False, [True, True, False, False], 501, 'South', (18, 10))
Element 21: (0, (18, 10), ['.', '.', '', '%'], [(1, 1), (15, 12), (16, 5)], [False, False, False, True], 58, False, [True, True, False, False], 510, 'South', (18, 9))
Element 22: (0, (18, 9), ['.', '.', '', '%'], [(1, 2), (15, 11), (15, 5)], [False, False, False, True], 56, False, [True, True, False, False], 529, 'South', (18, 8))
Element 23: (0, (18, 8), ['.', '%', '', '%'], [(1, 1), (16, 11), (14, 5)], [False, True, False, True], 54, False, [True, False, False, False], 558, 'West', (17, 8))
Element 24: (0, (17, 8), ['%', '%', '.', ''], [(1, 1), (17, 11), (14, 6)], [True, True, False, False], 52, False, [False, False, True, False], 587, 'North', (17, 9))
Element 25: (0, (17, 9), ['.', '', 'G', ''], [(2, 1), (17, 10), (14, 7)], [False, False, False, False], 50, False, [True, False, False, False], 616, 'West', (16, 9))
Element 26: (0, (16, 9), ['.', '%', 'G', ''], [(3, 1), (16, 10), (13, 7)], [False, True, False, False], 48, False, [True, False, False, False], 645, 'West', (15, 9))
Element 27: (0, (15, 9), ['.', '%', 'G', ''], [(4, 1), (15, 10), (13, 8)], [False, True, False, False], 46, False, [True, False, False, False], 674, 'West', (14, 9))
Element 28: (0, (14, 9), ['G', '%', '%', 'G'], [(4, 2), (15, 9), (13, 9)], [False, True, True, False], 44, False, [False, False, False, False], 693, 'Stop', (14, 9))
Element 29: (0, (14, 9), ['', '%', '%', ''], [(5, 2), (16, 9), (12, 9)], [False, True, True, False], 42, False, [False, False, False, False], 702, 'West', (13, 9))
Element 30: (0, (13, 9), ['', '', '%', ''], [(4, 2), (17, 9), (12, 8)], [False, False, True, False], 40, False, [False, False, False, False], 711, 'South', (13, 8))
Element 31: (0, (13, 8), ['', '', '', '%'], [(3, 2), (18, 9), (12, 7)], [False, False, False, True], 38, False, [False, False, False, False], 720, 'South', (13, 7))
Element 32: (0, (13, 7), ['', '.', '', ''], [(2, 2), (18, 10), (12, 6)], [False, False, False, False], 36, False, [False, True, False, False], 1719, 'South', (13, 6))
Element 33: (0, (13, 6), ['', '.', '', ''], [(1, 2), (18, 11), (11, 6)], [False, False, False, False], 34, False, [False, True, False, False], 1738, 'South', (13, 5))
Element 34: (0, (13, 5), ['%', '.', '', ''], [(2, 2), (18, 12), (11, 7)], [True, False, False, False], 32, False, [False, True, False, False], 1757, 'South', (13, 4))
Element 35: (0, (13, 4), ['.', '', '', '.'], [(3, 2), (18, 13), (11, 6)], [False, False, False, False], 30, False, [True, False, False, True], 1766, 'East', (14, 4))
Element 36: (0, (14, 4), ['', '', '', '%'], [(4, 2), (17, 13), (10, 6)], [False, False, False, True], 28, False, [False, False, False, False], 1785, 'North', (14, 5))
Element 37: (0, (14, 5), ['', '', '', ''], [(4, 1), (17, 12), (10, 5)], [False, False, False, False], 26, False, [False, False, False, False], 1794, 'East', (15, 5))
