Element 1: (0, (11, 6), ['.', '%', '.', 'F'], [(9, 13), (16, 3), (16, 6)], [False, True, False, False], 98, False, [True, False, True, False], 0, 'East', (12, 6))
Element 2: (0, (12, 6), ['', '%', '.', '.'], [(9, 12), (17, 3), (17, 6)], [False, True, False, False], 96, False, [False, False, True, True], 1029, 'East', (13, 6))
Element 3: (0, (13, 6), ['', '.', '.', '.'], [(10, 12), (17, 4), (18, 6)], [False, False, False, False], 94, False, [False, True, True, True], 1068, 'East', (14, 6))
Element 4: (0, (14, 6), ['', '.', '.', '.'], [(11, 12), (18, 4), (17, 6)], [False, False, False, False], 92, False, [False, True, True, True], 1097, 'East', (15, 6))
Element 5: (0, (15, 6), ['', '.', '.', ''], [(11, 13), (17, 4), (17, 5)], [False, False, False, False], 90, False, [False, True, True, False], 1126, 'North', (15, 7))
Element 6: (0, (15, 7), ['.', '', '%', '.'], [(12, 13), (17, 3), (16, 5)], [False, False, True, False], 88, False, [True, False, False, True], 1155, 'East', (16, 7))
Element 7: (0, (16, 7), ['', '', '%', '%'], [(13, 13), (17, 4), (16, 4)], [False, False, True, True], 86, False, [False, False, False, False], 1184, 'South', (16, 6))
Element 8: (0, (16, 6), ['', '', '', ''], [(14, 13), (17, 3), (17, 4)], [False, False, False, False], 84, False, [False, False, False, False], 1193, 'East', (17, 6))
Element 9: (0, (17, 6), ['', '', '%', ''], [(14, 12), (16, 3), (18, 4)], [False, False, True, False], 82, False, [False, False, False, False], 1202, 'East', (18, 6))
Element 10: (0, (18, 6), ['', '%', '%', '%'], [(15, 12), (17, 3), (17, 4)], [False, True, True, True], 80, False, [False, False, False, False], 1211, 'West', (17, 6))
Element 11: (0, (17, 6), ['', '', '%', ''], [(16, 12), (17, 2), (17, 3)], [False, False, True, False], 78, False, [False, False, False, False], 1230, 'South', (17, 5))
Element 12: (0, (17, 5), ['', '', '', '%'], [(17, 12), (17, 1), (17, 2)], [False, False, False, True], 76, False, [False, False, False, False], 1249, 'South', (17, 4))
Element 13: (0, (17, 4), ['', '', '', ''], [(18, 12), (18, 1), (16, 2)], [False, False, False, False], 74, False, [False, False, False, False], 1278, 'East', (18, 4))
Element 14: (0, (18, 4), ['', '%', '%', '%'], [(18, 13), (17, 1), (16, 1)], [False, True, True, True], 72, False, [False, False, False, False], 1297, 'West', (17, 4))
Element 15: (0, (17, 4), ['', '', '', ''], [(17, 13), (17, 2), (15, 1)], [False, False, False, False], 70, False, [False, False, False, False], 1316, 'South', (17, 3))
Element 16: (0, (17, 3), ['', '', '', '%'], [(16, 13), (17, 1), (15, 2)], [False, False, False, True], 68, False, [False, False, False, False], 1335, 'South', (17, 2))
Element 17: (0, (17, 2), ['', '', '', '%'], [(17, 13), (16, 1), (15, 3)], [False, False, False, True], 66, False, [False, False, False, False], 1344, 'South', (17, 1))
