Element 1: (3, (13, 6), ['F', '.', '.', '.'], [(5, 2), (9, 4), (10, 8)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'West', (12, 6))
Element 2: (3, (12, 6), ['.', '%', '.', ''], [(4, 2), (10, 4), (9, 8)], [False, True, False, False], 96, False, [True, False, True, False], 1038, 'North', (12, 7))
Element 3: (3, (12, 7), ['.', '', '.', '.'], [(4, 1), (11, 4), (8, 8)], [False, False, False, False], 94, False, [True, False, True, True], 1077, 'East', (13, 7))
Element 4: (3, (13, 7), ['', '', '.', '.'], [(3, 1), (12, 4), (8, 7)], [False, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (14, 7))
Element 5: (3, (14, 7), ['', '.', '%', '.'], [(3, 2), (13, 4), (8, 6)], [False, False, True, False], 90, False, [False, True, False, True], 2145, 'East', (15, 7))
Element 6: (3, (15, 7), ['', '.', '%', '.'], [(2, 2), (14, 4), (9, 6)], [False, False, True, False], 88, False, [False, True, False, True], 2184, 'East', (16, 7))
Element 7: (3, (16, 7), ['', '.', '%', '%'], [(2, 1), (14, 5), (10, 6)], [False, False, True, True], 86, False, [False, True, False, False], 2223, 'South', (16, 6))
Element 8: (3, (16, 6), ['.', '.', '', '.'], [(1, 1), (15, 5), (11, 6)], [False, False, False, False], 84, False, [True, True, False, True], 2262, 'East', (17, 6))
Element 9: (3, (17, 6), ['', '.', '%', '.'], [(1, 2), (16, 5), (11, 7)], [False, False, True, False], 82, False, [False, True, False, True], 2301, 'East', (18, 6))
Element 10: (3, (18, 6), ['', '%', '%', '%'], [(1, 1), (17, 5), (12, 7)], [False, True, True, True], 80, False, [False, False, False, False], 2320, 'West', (17, 6))
Element 11: (3, (17, 6), ['', '', '%', ''], [(2, 1), (17, 4), (12, 8)], [False, False, True, False], 78, False, [False, False, False, False], 2339, 'South', (17, 5))
Element 12: (3, (17, 5), ['', '', '', '%'], [(2, 2), (18, 4), (13, 8)], [False, False, False, True], 76, False, [False, False, False, False], 2358, 'South', (17, 4))
Element 13: (3, (17, 4), ['.', '.', '', 'G'], [(1, 2), (18, 4), (13, 9)], [False, False, False, False], 74, False, [True, True, False, False], 2367, 'South', (17, 3))
Element 14: (3, (17, 3), ['.', '.', 'G', '%'], [(2, 2), (17, 4), (14, 9)], [False, False, False, True], 72, False, [True, True, False, False], 2386, 'South', (17, 2))
Element 15: (3, (17, 2), ['.', '.', '', '%'], [(3, 2), (17, 4), (15, 9)], [False, False, False, True], 70, False, [True, True, False, False], 2405, 'South', (17, 1))
Element 16: (3, (17, 1), ['.', '%', '', '.'], [(3, 1), (16, 4), (16, 9)], [False, True, False, False], 68, False, [True, False, False, True], 2434, 'East', (18, 1))
Element 17: (3, (18, 1), ['', '%', '%', '%'], [(2, 1), (16, 3), (17, 9)], [False, True, True, True], 66, False, [False, False, False, False], 2463, 'West', (17, 1))
Element 18: (3, (17, 1), ['.', '%', '', ''], [(3, 1), (16, 2), (18, 9)], [False, True, False, False], 64, False, [True, False, False, False], 2482, 'West', (16, 1))
Element 19: (3, (16, 1), ['.', '%', '', ''], [(4, 1), (15, 2), (18, 10)], [False, True, False, False], 62, False, [True, False, False, False], 2511, 'West', (15, 1))
Element 20: (3, (15, 1), ['.', '%', '', ''], [(4, 2), (15, 3), (18, 11)], [False, True, False, False], 60, False, [True, False, False, False], 2540, 'West', (14, 1))
Element 21: (3, (14, 1), ['.', '%', '%', ''], [(3, 2), (14, 3), (18, 12)], [False, True, True, False], 58, False, [True, False, False, False], 2569, 'West', (13, 1))
Element 22: (3, (13, 1), ['.', '%', '%', ''], [(4, 2), (13, 3), (18, 13)], [False, True, True, False], 56, False, [True, False, False, False], 2598, 'West', (12, 1))
Element 23: (3, (12, 1), ['.', '%', '%', ''], [(4, 2), (12, 3), (17, 13)], [False, True, True, False], 54, False, [True, False, False, False], 2627, 'West', (11, 1))
Element 24: (3, (11, 1), ['F', '%', '.', ''], [(5, 2), (11, 3), (17, 12)], [False, True, False, False], 52, False, [False, False, True, False], 2656, 'West', (10, 1))
Element 25: (3, (10, 1), ['.', '%', '.', ''], [(4, 2), (11, 2), (17, 11)], [False, True, False, False], 50, False, [True, False, True, False], 3675, 'North', (10, 2))
Element 26: (3, (10, 2), ['%', '', '%', ''], [(4, 1), (11, 1), (17, 10)], [True, False, True, False], 48, False, [False, False, False, False], 3694, 'East', (11, 2))
Element 27: (3, (11, 2), ['', '', '', '%'], [(3, 1), (12, 1), (16, 10)], [False, False, False, True], 46, False, [False, False, False, False], 3703, 'North', (11, 3))
Element 28: (3, (11, 3), ['%', '', '', ''], [(3, 2), (13, 1), (16, 11)], [True, False, False, False], 44, False, [False, False, False, False], 3712, 'East', (12, 3))
Element 29: (3, (12, 3), ['', '%', '', ''], [(2, 2), (14, 1), (16, 12)], [False, True, False, False], 42, False, [False, False, False, False], 3721, 'East', (13, 3))
Element 30: (3, (13, 3), ['', '%', '', ''], [(2, 1), (15, 1), (16, 13)], [False, True, False, False], 40, False, [False, False, False, False], 3730, 'East', (14, 3))
Element 31: (3, (14, 3), ['', '%', '', ''], [(1, 1), (16, 1), (16, 12)], [False, True, False, False], 38, False, [False, False, False, False], 3729, 'East', (15, 3))
Element 32: (3, (15, 3), ['', '', '%', ''], [(1, 2), (17, 1), (15, 12)], [False, False, True, False], 36, False, [False, False, False, False], 3738, 'East', (16, 3))
Element 33: (3, (16, 3), ['', '', '', ''], [(1, 1), (18, 1), (15, 11)], [False, False, False, False], 34, False, [False, False, False, False], 3747, 'North', (16, 4))
Element 34: (3, (16, 4), ['%', '', '', ''], [(2, 1), (17, 1), (15, 10)], [True, False, False, False], 32, False, [False, False, False, False], 3756, 'North', (16, 5))
Element 35: (3, (16, 5), ['', '', '', ''], [(2, 2), (17, 2), (15, 11)], [False, False, False, False], 30, False, [False, False, False, False], 3755, 'West', (15, 5))
Element 36: (3, (15, 5), ['', '%', '.', ''], [(1, 2), (17, 3), (15, 12)], [False, True, False, False], 28, False, [False, False, True, False], 3754, 'North', (15, 6))
Element 37: (3, (15, 6), ['.', '', '', ''], [(2, 2), (17, 2), (14, 12)], [False, False, False, False], 26, False, [True, False, False, False], 3773, 'West', (14, 6))
Element 38: (3, (14, 6), ['', '', '', ''], [(3, 2), (17, 1), (14, 13)], [False, False, False, False], 24, False, [False, False, False, False], 3792, 'South', (14, 5))
Element 39: (3, (14, 5), ['.', '', '', ''], [(3, 1), (16, 1), (13, 13)], [False, False, False, False], 22, False, [True, False, False, False], 3801, 'West', (13, 5))
Element 40: (3, (13, 5), ['%', '', '', ''], [(2, 1), (15, 1), (12, 13)], [True, False, False, False], 20, False, [False, False, False, False], 3820, 'South', (13, 4))
Element 41: (3, (13, 4), ['', '', '', ''], [(3, 1), (14, 1), (11, 13)], [False, False, False, False], 18, False, [False, False, False, False], 3829, 'East', (14, 4))
Element 42: (3, (14, 4), ['', '', '', '%'], [(4, 1), (13, 1), (11, 12)], [False, False, False, True], 16, False, [False, False, False, False], 3838, 'West', (13, 4))
Element 43: (3, (13, 4), ['', '', '', ''], [(4, 2), (12, 1), (11, 11)], [False, False, False, False], 14, False, [False, False, False, False], 3847, 'West', (12, 4))
Element 44: (3, (12, 4), ['', '', '%', ''], [(3, 2), (11, 1), (12, 11)], [False, False, True, False], 12, False, [False, False, False, False], 3856, 'West', (11, 4))
Element 45: (3, (11, 4), ['', '', '%', ''], [(4, 2), (10, 1), (13, 11)], [False, False, True, False], 10, False, [False, False, False, False], 3865, 'West', (10, 4))
Element 46: (3, (10, 4), ['', '%', '.', ''], [(4, 2), (9, 1), (12, 11)], [False, True, False, False], 8, False, [False, False, True, False], 3874, 'North', (10, 5))
Element 47: (3, (10, 5), ['.', '', '', '%'], [(5, 2), (8, 1), (11, 11)], [False, False, False, True], 6, False, [True, False, False, False], 3893, 'West', (9, 5))
Element 48: (3, (9, 5), ['.', '', '', ''], [(4, 2), (7, 1), (10, 11)], [False, False, False, False], 4, False, [True, False, False, False], 3922, 'West', (8, 5))
Element 49: (3, (8, 5), ['.', '.', '', ''], [(4, 1), (6, 1), (10, 12)], [False, False, False, False], 2, False, [True, True, False, False], 3951, 'South', (8, 4))
Element 50: (3, (8, 4), ['.', '.', '', ''], [(4, 1), (6, 1), (10, 12)], [False, False, False, False], 0, False, [True, True, False, False], 3960, 'Stop', (8, 4))
Element 51: #0#
