Element 1: (2, (2, 1), ['', '%', '.', '.'], [(15, 7), (1, 2), (17, 4)], [False, True, False, False], 98, False, [False, False, True, True], 19, 'East', (3, 1))
Element 2: (2, (3, 1), ['', '%', '.', '.'], [(16, 7), (2, 2), (18, 4)], [False, True, False, False], 96, False, [False, False, True, True], 58, 'East', (4, 1))
Element 3: (2, (4, 1), ['', '%', '.', '%'], [(16, 6), (3, 2), (17, 4)], [False, True, False, True], 94, False, [False, False, True, False], 87, 'North', (4, 2))
Element 4: (2, (4, 2), ['', '', '%', '.'], [(17, 6), (3, 1), (17, 5)], [False, False, True, False], 92, False, [False, False, False, True], 116, 'East', (5, 2))
Element 5: (2, (5, 2), ['', '%', '%', '%'], [(18, 6), (4, 1), (16, 5)], [False, True, True, True], 90, False, [False, False, False, False], 145, 'West', (4, 2))
Element 6: (2, (4, 2), ['', '', '%', ''], [(17, 6), (3, 1), (16, 4)], [False, False, True, False], 88, False, [False, False, False, False], 154, 'West', (3, 2))
Element 7: (2, (3, 2), ['', '', '%', ''], [(17, 5), (2, 1), (16, 3)], [False, False, True, False], 86, False, [False, False, False, False], 163, 'West', (2, 2))
Element 8: (2, (2, 2), ['', '', '%', ''], [(17, 4), (3, 1), (17, 3)], [False, False, True, False], 84, False, [False, False, False, False], 172, 'West', (1, 2))
Element 9: (2, (1, 2), ['%', '', '%', ''], [(18, 4), (3, 2), (17, 2)], [True, False, True, False], 82, False, [False, False, False, False], 181, 'South', (1, 1))
Element 10: (2, (1, 1), ['%', '%', '', ''], [(17, 4), (2, 2), (17, 1)], [True, True, False, False], 80, False, [False, False, False, False], 190, 'North', (1, 2))
Element 11: (2, (1, 2), ['%', '', '%', ''], [(17, 3), (2, 1), (18, 1)], [True, False, True, False], 78, False, [False, False, False, False], 199, 'East', (2, 2))
Element 12: (2, (2, 2), ['', '', '%', ''], [(17, 2), (1, 1), (17, 1)], [False, False, True, False], 76, False, [False, False, False, False], 198, 'East', (3, 2))
Element 13: (2, (3, 2), ['', '', '%', ''], [(16, 2), (1, 2), (16, 1)], [False, False, True, False], 74, False, [False, False, False, False], 217, 'East', (4, 2))
Element 14: (2, (4, 2), ['', '', '%', ''], [(15, 2), (1, 1), (15, 1)], [False, False, True, False], 72, False, [False, False, False, False], 236, 'South', (4, 1))
Element 15: (2, (4, 1), ['', '%', '', '%'], [(15, 3), (1, 1), (14, 1)], [False, True, False, True], 70, False, [False, False, False, False], 255, 'West', (3, 1))
Element 16: (2, (3, 1), ['G', '%', '', ''], [(14, 3), (2, 1), (13, 1)], [False, True, False, False], 68, False, [False, False, False, False], 274, 'North', (3, 2))
Element 17: (2, (3, 2), ['', 'G', '%', ''], [(14, 4), (3, 1), (12, 1)], [False, False, True, False], 66, False, [False, False, False, False], 293, 'West', (2, 2))
Element 18: (2, (2, 2), ['', '', '%', ''], [(14, 5), (4, 1), (11, 1)], [False, False, True, False], 64, False, [False, False, False, False], 312, 'South', (2, 1))
Element 19: (2, (2, 1), ['', '%', '', ''], [(15, 5), (4, 2), (10, 1)], [False, True, False, False], 62, False, [False, False, False, False], 1321, 'North', (2, 2))
Element 20: (2, (2, 2), ['', '', '%', ''], [(15, 6), (5, 2), (10, 2)], [False, False, True, False], 60, False, [False, False, False, False], 1340, 'South', (2, 1))
Element 21: (2, (2, 1), ['', '%', '', ''], [(14, 6), (4, 2), (11, 2)], [False, True, False, False], 58, False, [False, False, False, False], 1359, 'West', (1, 1))
Element 22: (2, (1, 1), ['%', '%', '', ''], [(13, 6), (3, 2), (11, 3)], [True, True, False, False], 56, False, [False, False, False, False], 1378, 'East', (2, 1))
Element 23: (2, (2, 1), ['', '%', 'G', ''], [(12, 6), (2, 2), (12, 3)], [False, True, False, False], 54, False, [False, False, False, False], 2387, 'Stop', (2, 1))
Element 24: (2, (2, 1), ['', '%', '', ''], [(12, 7), (1, 2), (13, 3)], [False, True, False, False], 52, False, [False, False, False, False], 2406, 'East', (3, 1))
Element 25: (2, (3, 1), ['', '%', '', ''], [(13, 7), (2, 2), (13, 4)], [False, True, False, False], 50, False, [False, False, False, False], 2425, 'East', (4, 1))
Element 26: (2, (4, 1), ['', '%', '', '%'], [(13, 8), (3, 2), (13, 5)], [False, True, False, True], 48, False, [False, False, False, False], 2444, 'North', (4, 2))
Element 27: (2, (4, 2), ['', '', '%', ''], [(13, 9), (2, 2), (14, 5)], [False, False, True, False], 46, False, [False, False, False, False], 2453, 'East', (5, 2))
Element 28: (2, (5, 2), ['', '%', '%', '%'], [(14, 9), (2, 1), (15, 5)], [False, True, True, True], 44, False, [False, False, False, False], 2462, 'West', (4, 2))
Element 29: (2, (4, 2), ['', '', '%', ''], [(15, 9), (3, 1), (15, 6)], [False, False, True, False], 42, False, [False, False, False, False], 2471, 'West', (3, 2))
Element 30: (2, (3, 2), ['', '', '%', ''], [(16, 9), (2, 1), (16, 6)], [False, False, True, False], 40, False, [False, False, False, False], 2480, 'West', (2, 2))
Element 31: (2, (2, 2), ['', '', '%', ''], [(17, 9), (3, 1), (17, 6)], [False, False, True, False], 38, False, [False, False, False, False], 2489, 'West', (1, 2))
Element 32: (2, (1, 2), ['%', '', '%', ''], [(18, 9), (2, 1), (18, 6)], [True, False, True, False], 36, False, [False, False, False, False], 2498, 'South', (1, 1))
Element 33: (2, (1, 1), ['%', '%', '', ''], [(18, 10), (2, 2), (17, 6)], [True, True, False, False], 34, False, [False, False, False, False], 2507, 'North', (1, 2))
Element 34: (2, (1, 2), ['%', '', '%', ''], [(18, 11), (2, 1), (16, 6)], [True, False, True, False], 32, False, [False, False, False, False], 2516, 'East', (2, 2))
