Element 1: (1, (6, 4), ['%', '.', 'F', '.'], [(3, 2), (13, 13), (17, 2)], [True, False, False, False], 98, False, [False, True, False, True], 9, 'North', (6, 5))
Element 2: (1, (6, 5), ['%', '', '.', '.'], [(4, 2), (14, 13), (17, 3)], [True, False, False, False], 96, False, [False, False, True, True], 1038, 'East', (7, 5))
Element 3: (1, (7, 5), ['', '.', '.', '.'], [(5, 2), (14, 12), (17, 4)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (8, 5))
Element 4: (1, (8, 5), ['', '.', '.', '.'], [(4, 2), (15, 12), (18, 4)], [False, False, False, False], 92, False, [False, True, True, True], 1106, 'East', (9, 5))
Element 5: (1, (9, 5), ['', '.', '.', '.'], [(4, 1), (16, 12), (17, 4)], [False, False, False, False], 90, False, [False, True, True, True], 1135, 'East', (10, 5))
Element 6: (1, (10, 5), ['', '.', '.', '%'], [(3, 1), (17, 12), (17, 5)], [False, False, False, True], 88, False, [False, True, True, False], 1174, 'North', (10, 6))
Element 7: (1, (10, 6), ['.', '', '%', '.'], [(2, 1), (18, 12), (17, 6)], [False, False, True, False], 86, False, [True, False, False, True], 1213, 'East', (11, 6))
Element 8: (1, (11, 6), ['', '%', '.', 'F'], [(1, 1), (18, 13), (18, 6)], [False, True, False, False], 84, False, [False, False, True, False], 1252, 'East', (12, 6))
Element 9: (1, (12, 6), ['', '%', '.', '.'], [(1, 2), (17, 13), (17, 6)], [False, True, False, False], 82, False, [False, False, True, True], 2271, 'East', (13, 6))
Element 10: (1, (13, 6), ['', '.', '.', '.'], [(1, 1), (16, 13), (16, 6)], [False, False, False, False], 80, False, [False, True, True, True], 2300, 'East', (14, 6))
Element 11: (1, (14, 6), ['', '.', '.', '.'], [(2, 1), (17, 13), (16, 7)], [False, False, False, False], 78, False, [False, True, True, True], 2319, 'East', (15, 6))
Element 12: (1, (15, 6), ['', '.', 'G', ''], [(3, 1), (18, 13), (15, 7)], [False, False, False, False], 76, False, [False, True, False, False], 2338, 'South', (15, 5))
Element 13: (1, (15, 5), ['.', '%', '', '.'], [(4, 1), (18, 12), (14, 7)], [False, True, False, False], 74, False, [True, False, False, True], 2357, 'East', (16, 5))
Element 14: (1, (16, 5), ['', '.', '', ''], [(4, 2), (18, 11), (13, 7)], [False, False, False, False], 72, False, [False, True, False, False], 2386, 'South', (16, 4))
Element 15: (1, (16, 4), ['%', '.', '', ''], [(3, 2), (18, 10), (13, 8)], [True, False, False, False], 70, False, [False, True, False, False], 2415, 'South', (16, 3))
Element 16: (1, (16, 3), ['.', '.', '', ''], [(3, 1), (18, 9), (13, 9)], [False, False, False, False], 68, False, [True, True, False, False], 2444, 'South', (16, 2))
Element 17: (1, (16, 2), ['.', '.', '', ''], [(3, 2), (18, 8), (14, 9)], [False, False, False, False], 66, False, [True, True, False, False], 2473, 'South', (16, 1))
Element 18: (1, (16, 1), ['.', '%', '', '.'], [(2, 2), (17, 8), (15, 9)], [False, True, False, False], 64, False, [True, False, False, True], 2502, 'East', (17, 1))
Element 19: (1, (17, 1), ['', '%', '', '.'], [(2, 1), (17, 9), (16, 9)], [False, True, False, False], 62, False, [False, False, False, True], 2531, 'East', (18, 1))
Element 20: (1, (18, 1), ['', '%', '%', '%'], [(2, 2), (17, 10), (16, 10)], [False, True, True, True], 60, False, [False, False, False, False], 2560, 'West', (17, 1))
Element 21: (1, (17, 1), ['', '%', '', ''], [(1, 2), (17, 11), (16, 11)], [False, True, False, False], 58, False, [False, False, False, False], 2579, 'North', (17, 2))
Element 22: (1, (17, 2), ['', '', '', '%'], [(2, 2), (17, 10), (15, 11)], [False, False, False, True], 56, False, [False, False, False, False], 2588, 'North', (17, 3))
Element 23: (1, (17, 3), ['', '', '', '%'], [(2, 2), (17, 9), (15, 10)], [False, False, False, True], 54, False, [False, False, False, False], 2597, 'North', (17, 4))
Element 24: (1, (17, 4), ['', '', '', ''], [(3, 2), (17, 8), (15, 11)], [False, False, False, False], 52, False, [False, False, False, False], 2596, 'East', (18, 4))
Element 25: (1, (18, 4), ['', '%', '%', '%'], [(4, 2), (18, 8), (15, 12)], [False, True, True, True], 50, False, [False, False, False, False], 2595, 'West', (17, 4))
Element 26: (1, (17, 4), ['', '', '', ''], [(5, 2), (18, 9), (16, 12)], [False, False, False, False], 48, False, [False, False, False, False], 2594, 'North', (17, 5))
Element 27: (1, (17, 5), ['', '', '', '%'], [(4, 2), (17, 9), (17, 12)], [False, False, False, True], 46, False, [False, False, False, False], 2593, 'North', (17, 6))
Element 28: (1, (17, 6), ['', '', '%', ''], [(4, 1), (18, 9), (18, 12)], [False, False, True, False], 44, False, [False, False, False, False], 2592, 'East', (18, 6))
Element 29: (1, (18, 6), ['', '%', '%', '%'], [(3, 1), (18, 10), (18, 13)], [False, True, True, True], 42, False, [False, False, False, False], 2591, 'West', (17, 6))
Element 30: (1, (17, 6), ['', '', '%', ''], [(2, 1), (17, 10), (17, 13)], [False, False, True, False], 40, False, [False, False, False, False], 2590, 'West', (16, 6))
Element 31: (1, (16, 6), ['', '', '', ''], [(1, 1), (18, 10), (16, 13)], [False, False, False, False], 38, False, [False, False, False, False], 2589, 'North', (16, 7))
Element 32: (1, (16, 7), ['', '', '%', '%'], [(1, 2), (18, 11), (17, 13)], [False, False, True, True], 36, False, [False, False, False, False], 2588, 'West', (15, 7))
Element 33: (1, (15, 7), ['', '', '%', ''], [(1, 1), (17, 11), (18, 13)], [False, False, True, False], 34, False, [False, False, False, False], 2587, 'West', (14, 7))
Element 34: (1, (14, 7), ['', '', '%', ''], [(2, 1), (18, 11), (18, 12)], [False, False, True, False], 32, False, [False, False, False, False], 2586, 'West', (13, 7))
Element 35: (1, (13, 7), ['.', '', '', ''], [(3, 1), (17, 11), (18, 11)], [False, False, False, False], 30, False, [True, False, False, False], 2585, 'West', (12, 7))
Element 36: (1, (12, 7), ['.', '', '.', ''], [(4, 1), (17, 12), (18, 10)], [False, False, False, False], 28, False, [True, False, True, False], 2594, 'North', (12, 8))
Element 37: (1, (12, 8), ['%', '', '.', ''], [(4, 2), (17, 13), (18, 9)], [True, False, False, False], 26, False, [False, False, True, False], 2603, 'North', (12, 9))
Element 38: (1, (12, 9), ['.', '', '%', ''], [(3, 2), (17, 12), (18, 8)], [False, False, True, False], 24, False, [True, False, False, False], 2612, 'West', (11, 9))
Element 39: (1, (11, 9), ['%', '%', '%', ''], [(3, 1), (17, 11), (17, 8)], [True, True, True, False], 22, False, [False, False, False, False], 2621, 'East', (12, 9))
Element 40: (1, (12, 9), ['', '', '%', ''], [(3, 2), (17, 12), (17, 9)], [False, False, True, False], 20, False, [False, False, False, False], 2620, 'East', (13, 9))
Element 41: (1, (13, 9), ['', '', '%', ''], [(2, 2), (16, 12), (17, 10)], [False, False, True, False], 18, False, [False, False, False, False], 2619, 'East', (14, 9))
Element 42: (1, (14, 9), ['', '%', '%', ''], [(2, 1), (16, 13), (17, 11)], [False, True, True, False], 16, False, [False, False, False, False], 2618, 'East', (15, 9))
Element 43: (1, (15, 9), ['', '%', '', ''], [(2, 2), (16, 12), (17, 10)], [False, True, False, False], 14, False, [False, False, False, False], 2617, 'East', (16, 9))
Element 44: (1, (16, 9), ['', '%', '', 'G'], [(1, 2), (16, 11), (17, 9)], [False, True, False, False], 12, False, [False, False, False, False], 2616, 'North', (16, 10))
Element 45: (1, (16, 10), ['', '', '', ''], [(2, 2), (15, 11), (17, 8)], [False, False, False, False], 10, False, [False, False, False, False], 2615, 'East', (17, 10))
Element 46: (1, (17, 10), ['', '', '', ''], [(2, 2), (15, 10), (18, 8)], [False, False, False, False], 8, False, [False, False, False, False], 2614, 'East', (18, 10))
Element 47: (1, (18, 10), ['', 'G', '', '%'], [(3, 2), (16, 10), (18, 9)], [False, False, False, True], 6, False, [False, False, False, False], 2613, 'North', (18, 11))
Element 48: (1, (18, 11), ['', '', '', '%'], [(4, 2), (16, 9), (17, 9)], [False, False, False, True], 4, False, [False, False, False, False], 2612, 'North', (18, 12))
