Element 1: (1, (6, 6), ['%', 'F', '.', '.'], [(12, 13), (9, 4), (14, 9)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'South', (6, 5))
Element 2: (1, (6, 5), ['%', '.', '', '.'], [(13, 13), (10, 4), (15, 9)], [True, False, False, False], 96, False, [False, True, False, True], 1038, 'East', (7, 5))
Element 3: (1, (7, 5), ['', '.', '.', '.'], [(14, 13), (11, 4), (16, 9)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (8, 5))
Element 4: (1, (8, 5), ['', '.', '.', '.'], [(14, 12), (12, 4), (17, 9)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (9, 5))
Element 5: (1, (9, 5), ['', '', '.', '.'], [(15, 12), (13, 4), (18, 9)], [False, False, False, False], 90, False, [False, False, True, True], 1155, 'East', (10, 5))
Element 6: (1, (10, 5), ['', '', '.', '%'], [(16, 12), (14, 4), (18, 10)], [False, False, False, True], 88, False, [False, False, True, False], 1194, 'North', (10, 6))
Element 7: (1, (10, 6), ['.', '', '%', '.'], [(17, 12), (14, 5), (18, 11)], [False, False, True, False], 86, False, [True, False, False, True], 1233, 'East', (11, 6))
Element 8: (1, (11, 6), ['', '%', '.', 'F'], [(17, 13), (15, 5), (18, 12)], [False, True, False, False], 84, False, [False, False, True, False], 1272, 'East', (12, 6))
Element 9: (1, (12, 6), ['', '%', '.', '.'], [(16, 13), (16, 5), (18, 13)], [False, True, False, False], 82, False, [False, False, True, True], 2301, 'East', (13, 6))
Element 10: (1, (13, 6), ['', '.', '.', '.'], [(16, 12), (17, 5), (17, 13)], [False, False, False, False], 80, False, [False, True, True, True], 2320, 'East', (14, 6))
Element 11: (1, (14, 6), ['', '', '.', '.'], [(15, 12), (17, 6), (17, 12)], [False, False, False, False], 78, False, [False, False, True, True], 2339, 'East', (15, 6))
Element 12: (1, (15, 6), ['', '', '.', '.'], [(14, 12), (18, 6), (17, 11)], [False, False, False, False], 76, False, [False, False, True, True], 2368, 'East', (16, 6))
Element 13: (1, (16, 6), ['', '', '.', 'G'], [(15, 12), (17, 6), (17, 10)], [False, False, False, False], 74, False, [False, False, True, False], 2387, 'North', (16, 7))
Element 14: (1, (16, 7), ['.', 'G', '%', '%'], [(16, 12), (16, 6), (16, 10)], [False, False, True, True], 72, False, [True, False, False, False], 2406, 'West', (15, 7))
Element 15: (1, (15, 7), ['.', '', '%', 'G'], [(16, 13), (16, 7), (16, 11)], [False, False, True, False], 70, False, [True, False, False, False], 2425, 'West', (14, 7))
Element 16: (1, (14, 7), ['.', '', '%', 'G'], [(16, 12), (15, 7), (15, 11)], [False, False, True, False], 68, False, [True, False, False, False], 2444, 'West', (13, 7))
Element 17: (1, (13, 7), ['.', '', '.', ''], [(16, 11), (15, 6), (15, 10)], [False, False, False, False], 66, False, [True, False, True, False], 2463, 'North', (13, 8))
Element 18: (1, (13, 8), ['.', '', '.', '%'], [(17, 11), (14, 6), (15, 11)], [False, False, False, True], 64, False, [True, False, True, False], 2472, 'North', (13, 9))
Element 19: (1, (13, 9), ['.', '', '%', ''], [(18, 11), (14, 7), (15, 12)], [False, False, True, False], 62, False, [True, False, False, False], 2481, 'West', (12, 9))
Element 20: (1, (12, 9), ['.', '.', '%', ''], [(18, 12), (13, 7), (16, 12)], [False, False, True, False], 60, False, [True, True, False, False], 2490, 'South', (12, 8))
Element 21: (1, (12, 8), ['%', 'G', '', ''], [(18, 13), (12, 7), (16, 13)], [True, False, False, False], 58, False, [False, False, False, False], 2509, 'North', (12, 9))
Element 22: (1, (12, 9), ['.', '', '%', ''], [(18, 12), (11, 7), (16, 12)], [False, False, True, False], 56, False, [True, False, False, False], 2518, 'West', (11, 9))
Element 23: (1, (11, 9), ['%', '%', '%', ''], [(18, 11), (11, 6), (15, 12)], [True, True, True, False], 54, False, [False, False, False, False], 2527, 'East', (12, 9))
Element 24: (1, (12, 9), ['', '', '%', ''], [(18, 10), (12, 6), (14, 12)], [False, False, True, False], 52, False, [False, False, False, False], 2526, 'East', (13, 9))
Element 25: (1, (13, 9), ['', '', '%', ''], [(18, 9), (13, 6), (14, 13)], [False, False, True, False], 50, False, [False, False, False, False], 2525, 'East', (14, 9))
Element 26: (1, (14, 9), ['', '%', '%', ''], [(18, 8), (13, 5), (13, 13)], [False, True, True, False], 48, False, [False, False, False, False], 2544, 'East', (15, 9))
Element 27: (1, (15, 9), ['', '%', '', ''], [(17, 8), (13, 6), (12, 13)], [False, True, False, False], 46, False, [False, False, False, False], 2553, 'East', (16, 9))
Element 28: (1, (16, 9), ['', '%', '', 'G'], [(17, 9), (12, 6), (11, 13)], [False, True, False, False], 44, False, [False, False, False, False], 2552, 'North', (16, 10))
Element 29: (1, (16, 10), ['', '', '', 'G'], [(17, 10), (11, 6), (11, 12)], [False, False, False, False], 42, False, [False, False, False, False], 2561, 'North', (16, 11))
Element 30: (1, (16, 11), ['', 'G', '', ''], [(16, 10), (10, 6), (11, 11)], [False, False, False, False], 40, False, [False, False, False, False], 2570, 'East', (17, 11))
Element 31: (1, (17, 11), ['', '', '', ''], [(16, 9), (9, 6), (12, 11)], [False, False, False, False], 38, False, [False, False, False, False], 2589, 'East', (18, 11))
Element 32: (1, (18, 11), ['', '', '', '%'], [(15, 9), (8, 6), (13, 11)], [False, False, False, True], 36, False, [False, False, False, False], 2608, 'North', (18, 12))
Element 33: (1, (18, 12), ['', '', '', '%'], [(15, 10), (8, 7), (12, 11)], [False, False, False, True], 34, False, [False, False, False, False], 3607, 'North', (18, 13))
Element 34: (1, (18, 13), ['', '', '%', '%'], [(15, 11), (8, 8), (11, 11)], [False, False, True, True], 32, False, [False, False, False, False], 3616, 'West', (17, 13))
Element 35: (1, (17, 13), ['', '', '%', ''], [(15, 10), (9, 8), (10, 11)], [False, False, True, False], 30, False, [False, False, False, False], 3635, 'South', (17, 12))
Element 36: (1, (17, 12), ['', '', '', ''], [(15, 9), (10, 8), (10, 12)], [False, False, False, False], 28, False, [False, False, False, False], 3654, 'West', (16, 12))
Element 37: (1, (16, 12), ['', '', '', ''], [(14, 9), (9, 8), (9, 12)], [False, False, False, False], 26, False, [False, False, False, False], 3663, 'North', (16, 13))
Element 38: (1, (16, 13), ['%', '', '%', ''], [(13, 9), (8, 8), (9, 13)], [True, False, True, False], 24, False, [False, False, False, False], 3672, 'South', (16, 12))
Element 39: (1, (16, 12), ['', '', '', ''], [(13, 8), (8, 7), (9, 12)], [False, False, False, False], 22, False, [False, False, False, False], 3671, 'West', (15, 12))
Element 40: (1, (15, 12), ['', '', '%', ''], [(13, 7), (7, 7), (9, 11)], [False, False, True, False], 20, False, [False, False, False, False], 3690, 'South', (15, 11))
Element 41: (1, (15, 11), ['%', '', '', ''], [(14, 7), (6, 7), (9, 10)], [True, False, False, False], 18, False, [False, False, False, False], 3709, 'South', (15, 10))
Element 42: (1, (15, 10), ['%', '', '', ''], [(15, 7), (5, 7), (8, 10)], [True, False, False, False], 16, False, [False, False, False, False], 3728, 'North', (15, 11))
Element 43: (1, (15, 11), ['%', '', '', ''], [(16, 7), (4, 7), (7, 10)], [True, False, False, False], 14, False, [False, False, False, False], 3747, 'North', (15, 12))
Element 44: (1, (15, 12), ['', '', '%', ''], [(16, 6), (4, 8), (7, 11)], [False, False, True, False], 12, False, [False, False, False, False], 3766, 'West', (14, 12))
Element 45: (1, (14, 12), ['%', '%', '', ''], [(17, 6), (3, 8), (6, 11)], [True, True, False, False], 10, False, [False, False, False, False], 3785, 'North', (14, 13))
Element 46: (1, (14, 13), ['', '', '%', '%'], [(18, 6), (2, 8), (6, 12)], [False, False, True, True], 8, False, [False, False, False, False], 3804, 'West', (13, 13))
Element 47: (1, (13, 13), ['', '%', '%', ''], [(17, 6), (2, 9), (6, 13)], [False, True, True, False], 6, False, [False, False, False, False], 3823, 'West', (12, 13))
Element 48: (1, (12, 13), ['', '%', '%', ''], [(17, 5), (1, 9), (7, 13)], [False, True, True, False], 4, False, [False, False, False, False], 3842, 'West', (11, 13))
Element 49: (1, (11, 13), ['%', '', '%', ''], [(17, 4), (2, 9), (6, 13)], [True, False, True, False], 2, False, [False, False, False, False], 3851, 'South', (11, 12))
Element 50: (1, (11, 12), ['', '', '', '%'], [(17, 4), (2, 8), (5, 13)], [False, False, False, True], 0, False, [False, False, False, False], 3860, 'Stop', (11, 12))
Element 51: #0#
