Element 39: (2, (12, 13), ['', '%', '%', ''], [(14, 7), (4, 1), (5, 10)], [False, True, True, False], 22, False, [False, False, False, False], 531, 'Stop', (12, 13))
Element 40: (2, (12, 13), ['', '%', '%', ''], [(15, 7), (4, 2), (6, 10)], [False, True, True, False], 20, False, [False, False, False, False], 550, 'Stop', (12, 13))
Element 41: (2, (12, 13), ['', '%', '%', ''], [(16, 7), (3, 2), (5, 10)], [False, True, True, False], 18, False, [False, False, False, False], 559, 'Stop', (12, 13))
Element 42: (2, (12, 13), ['', '%', '%', ''], [(16, 6), (3, 1), (4, 10)], [False, True, True, False], 16, False, [False, False, False, False], 578, 'Stop', (12, 13))
Element 43: (2, (12, 13), ['', '%', '%', ''], [(17, 6), (3, 2), (3, 10)], [False, True, True, False], 14, False, [False, False, False, False], 597, 'Stop', (12, 13))
Element 44: (2, (12, 13), ['', '%', '%', ''], [(18, 6), (2, 2), (4, 10)], [False, True, True, False], 12, False, [False, False, False, False], 606, 'Stop', (12, 13))
Element 45: (2, (12, 13), ['', '%', '%', ''], [(17, 6), (3, 2), (5, 10)], [False, True, True, False], 10, False, [False, False, False, False], 605, 'East', (13, 13))
Element 46: (2, (13, 13), ['', '%', '%', ''], [(17, 5), (3, 2), (5, 11)], [False, True, True, False], 8, False, [False, False, False, False], 614, 'Stop', (13, 13))
Element 47: (2, (13, 13), ['', '%', '%', ''], [(17, 4), (4, 2), (5, 12)], [False, True, True, False], 6, False, [False, False, False, False], 623, 'West', (12, 13))
Element 48: (2, (12, 13), ['', '%', '%', ''], [(18, 4), (5, 2), (4, 12)], [False, True, True, False], 4, False, [False, False, False, False], 642, 'West', (11, 13))
Element 49: (2, (11, 13), ['%', '', '%', ''], [(17, 4), (4, 2), (3, 12)], [True, False, True, False], 2, False, [False, False, False, False], 651, 'South', (11, 12))
Element 50: (2, (11, 12), ['', '', '', '%'], [(17, 4), (4, 2), (3, 13)], [False, False, False, True], 0, False, [False, False, False, False], 660, 'Stop', (11, 12))
Element 51: #0#
