Element 1: (1, (6, 1), ['%', '%', '%', '.'], [(2, 8), (15, 5), (18, 4)], [True, True, True, False], 98, False, [False, False, False, True], 9, 'East', (7, 1))
Element 2: (1, (7, 1), ['', '%', '%', '.'], [(3, 8), (16, 5), (17, 4)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (8, 1))
Element 3: (1, (8, 1), ['', '%', '%', '.'], [(4, 8), (17, 5), (17, 3)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (9, 1))
Element 4: (1, (9, 1), ['', '%', '%', 'F'], [(5, 8), (17, 6), (17, 2)], [False, True, True, False], 92, False, [False, False, False, False], 126, 'East', (10, 1))
Element 5: (1, (10, 1), ['', '%', '.', '.'], [(5, 7), (18, 6), (17, 1)], [False, True, False, False], 90, False, [False, False, True, True], 1155, 'East', (11, 1))
Element 6: (1, (11, 1), ['', '%', '.', '.'], [(6, 7), (17, 6), (18, 1)], [False, True, False, False], 88, False, [False, False, True, True], 1184, 'East', (12, 1))
Element 7: (1, (12, 1), ['', '%', '%', '.'], [(7, 7), (16, 6), (17, 1)], [False, True, True, False], 86, False, [False, False, False, True], 1213, 'East', (13, 1))
Element 8: (1, (13, 1), ['', '%', '%', '.'], [(8, 7), (16, 7), (16, 1)], [False, True, True, False], 84, False, [False, False, False, True], 2242, 'East', (14, 1))
Element 9: (1, (14, 1), ['', '%', '%', '.'], [(8, 8), (15, 7), (16, 2)], [False, True, True, False], 82, False, [False, False, False, True], 2281, 'East', (15, 1))
Element 10: (1, (15, 1), ['', '%', '.', ''], [(9, 8), (15, 6), (16, 3)], [False, True, False, False], 80, False, [False, False, True, False], 2320, 'North', (15, 2))
Element 11: (1, (15, 2), ['%', '', '.', ''], [(10, 8), (14, 6), (16, 4)], [True, False, False, False], 78, False, [False, False, True, False], 2359, 'North', (15, 3))
Element 12: (1, (15, 3), ['.', '', '%', ''], [(9, 8), (14, 7), (16, 5)], [False, False, True, False], 76, False, [True, False, False, False], 2378, 'West', (14, 3))
Element 13: (1, (14, 3), ['.', '%', '.', ''], [(8, 8), (13, 7), (17, 5)], [False, True, False, False], 74, False, [True, False, True, False], 2397, 'North', (14, 4))
Element 14: (1, (14, 4), ['.', '', '.', '%'], [(8, 7), (13, 8), (17, 6)], [False, False, False, True], 72, False, [True, False, True, False], 2416, 'North', (14, 5))
Element 15: (1, (14, 5), ['.', '', '', ''], [(8, 6), (13, 9), (18, 6)], [False, False, False, False], 70, False, [True, False, False, False], 2445, 'West', (13, 5))
Element 16: (1, (13, 5), ['%', '.', '.', ''], [(9, 6), (14, 9), (17, 6)], [True, False, False, False], 68, False, [False, True, True, False], 2474, 'North', (13, 6))
Element 17: (1, (13, 6), ['F', '', '', ''], [(10, 6), (15, 9), (16, 6)], [False, False, False, False], 66, False, [False, False, False, False], 2503, 'West', (12, 6))
Element 18: (1, (12, 6), ['G', '%', '.', ''], [(11, 6), (16, 9), (16, 7)], [False, True, False, False], 64, False, [False, False, True, False], 3522, 'North', (12, 7))
Element 19: (1, (12, 7), ['G', '', '.', ''], [(11, 7), (17, 9), (15, 7)], [False, False, False, False], 62, False, [False, False, True, False], 3551, 'North', (12, 8))
Element 20: (1, (12, 8), ['%', 'G', '.', ''], [(12, 7), (18, 9), (15, 6)], [True, False, False, False], 60, False, [False, False, True, False], 3570, 'North', (12, 9))
Element 21: (1, (12, 9), ['.', '', '%', ''], [(13, 7), (18, 10), (15, 5)], [False, False, True, False], 58, False, [True, False, False, False], 3589, 'West', (11, 9))
Element 22: (1, (11, 9), ['%', '%', '%', ''], [(14, 7), (18, 11), (14, 5)], [True, True, True, False], 56, False, [False, False, False, False], 3608, 'East', (12, 9))
Element 23: (1, (12, 9), ['', '', '%', ''], [(15, 7), (18, 12), (14, 6)], [False, False, True, False], 54, False, [False, False, False, False], 3617, 'East', (13, 9))
Element 24: (1, (13, 9), ['', '', '%', ''], [(16, 7), (18, 13), (14, 7)], [False, False, True, False], 52, False, [False, False, False, False], 3626, 'East', (14, 9))
Element 25: (1, (14, 9), ['', '%', '%', ''], [(16, 6), (17, 13), (13, 7)], [False, True, True, False], 50, False, [False, False, False, False], 3635, 'East', (15, 9))
Element 26: (1, (15, 9), ['', '%', '.', ''], [(17, 6), (17, 12), (13, 8)], [False, True, False, False], 48, False, [False, False, True, False], 3644, 'North', (15, 10))
Element 27: (1, (15, 10), ['%', '', '.', '.'], [(18, 6), (17, 11), (13, 9)], [True, False, False, False], 46, False, [False, False, True, True], 3663, 'East', (16, 10))
Element 28: (1, (16, 10), ['', '', '.', 'G'], [(17, 6), (17, 10), (14, 9)], [False, False, False, False], 44, False, [False, False, True, False], 3682, 'North', (16, 11))
Element 29: (1, (16, 11), ['.', 'G', '.', ''], [(17, 5), (16, 10), (15, 9)], [False, False, False, False], 42, False, [True, False, True, False], 3691, 'North', (16, 12))
Element 30: (1, (16, 12), ['.', 'G', '.', ''], [(17, 4), (16, 11), (16, 9)], [False, False, False, False], 40, False, [True, False, True, False], 3700, 'North', (16, 13))
Element 31: (1, (16, 13), ['%', '', '%', ''], [(18, 4), (15, 11), (17, 9)], [True, False, True, False], 38, False, [False, False, False, False], 3719, 'East', (17, 13))
Element 32: (1, (17, 13), ['', '', '%', ''], [(17, 4), (15, 12), (17, 8)], [False, False, True, False], 36, False, [False, False, False, False], 3738, 'East', (18, 13))
Element 33: (1, (18, 13), ['', '', '%', '%'], [(17, 3), (14, 12), (18, 8)], [False, False, True, True], 34, False, [False, False, False, False], 3757, 'South', (18, 12))
Element 34: (1, (18, 12), ['', '', '', '%'], [(17, 2), (14, 13), (18, 9)], [False, False, False, True], 32, False, [False, False, False, False], 3766, 'South', (18, 11))
Element 35: (1, (18, 11), ['', 'G', '', '%'], [(17, 1), (13, 13), (18, 10)], [False, False, False, True], 30, False, [False, False, False, False], 3775, 'West', (17, 11))
Element 36: (1, (17, 11), ['', '', '', 'G'], [(18, 1), (12, 13), (18, 11)], [False, False, False, False], 28, False, [False, False, False, False], 3784, 'North', (17, 12))
Element 37: (1, (17, 12), ['', '', '', 'G'], [(17, 1), (11, 13), (18, 12)], [False, False, False, False], 26, False, [False, False, False, False], 3793, 'South', (17, 11))
Element 38: (1, (17, 11), ['', '', '', ''], [(16, 1), (11, 12), (18, 13)], [False, False, False, False], 24, False, [False, False, False, False], 3802, 'South', (17, 10))
Element 39: (1, (17, 10), ['', '', '', ''], [(16, 2), (11, 11), (17, 13)], [False, False, False, False], 22, False, [False, False, False, False], 3811, 'East', (18, 10))
Element 40: (1, (18, 10), ['', '', '', '%'], [(16, 3), (12, 11), (17, 12)], [False, False, False, True], 20, False, [False, False, False, False], 3820, 'South', (18, 9))
Element 41: (1, (18, 9), ['', '', '', '%'], [(16, 4), (13, 11), (17, 11)], [False, False, False, True], 18, False, [False, False, False, False], 3829, 'South', (18, 8))
Element 42: (1, (18, 8), ['', '%', '', '%'], [(16, 5), (12, 11), (17, 10)], [False, True, False, True], 16, False, [False, False, False, False], 3828, 'West', (17, 8))
Element 43: (1, (17, 8), ['%', '%', '', ''], [(15, 5), (11, 11), (16, 10)], [True, True, False, False], 14, False, [False, False, False, False], 3827, 'North', (17, 9))
Element 44: (1, (17, 9), ['', '', '', ''], [(15, 6), (10, 11), (16, 11)], [False, False, False, False], 12, False, [False, False, False, False], 3836, 'West', (16, 9))
Element 45: (1, (16, 9), ['', '%', '', ''], [(14, 6), (10, 12), (16, 12)], [False, True, False, False], 10, False, [False, False, False, False], 3845, 'East', (17, 9))
Element 46: (1, (17, 9), ['', '', '', ''], [(14, 5), (9, 12), (16, 13)], [False, False, False, False], 8, False, [False, False, False, False], 3854, 'South', (17, 8))
Element 47: (1, (17, 8), ['%', '%', '', ''], [(14, 4), (9, 13), (16, 12)], [True, True, False, False], 6, False, [False, False, False, False], 3863, 'East', (18, 8))
Element 48: (1, (18, 8), ['', '%', '', '%'], [(13, 4), (9, 12), (15, 12)], [False, True, False, True], 4, False, [False, False, False, False], 3872, 'North', (18, 9))
Element 49: (1, (18, 9), ['', '', '', '%'], [(13, 3), (9, 11), (15, 11)], [False, False, False, True], 2, False, [False, False, False, False], 3891, 'West', (17, 9))
Element 50: (1, (17, 9), ['', '', '', ''], [(13, 3), (9, 10), (15, 10)], [False, False, False, False], 0, False, [False, False, False, False], 3900, 'Stop', (17, 9))
Element 51: #0#
