Element 39: (3, (13, 5), ['%', '.', '', ''], [(13, 11), (15, 10), (15, 3)], [True, False, False, False], 22, False, [False, True, False, False], 1661, 'South', (13, 4))
Element 40: (3, (13, 4), ['.', '.', '', ''], [(12, 11), (15, 11), (15, 2)], [False, False, False, False], 20, False, [True, True, False, False], 1680, 'South', (13, 3))
Element 41: (3, (13, 3), ['.', '%', '', ''], [(11, 11), (15, 10), (15, 1)], [False, True, False, False], 18, False, [True, False, False, False], 1699, 'West', (12, 3))
Element 42: (3, (12, 3), ['.', '%', '.', ''], [(10, 11), (15, 9), (14, 1)], [False, True, False, False], 16, False, [True, False, True, False], 1718, 'North', (12, 4))
Element 43: (3, (12, 4), ['.', '', '%', ''], [(9, 11), (14, 9), (13, 1)], [False, False, True, False], 14, False, [True, False, False, False], 1737, 'West', (11, 4))
Element 44: (3, (11, 4), ['.', '.', '%', ''], [(9, 10), (13, 9), (12, 1)], [False, False, True, False], 12, False, [True, True, False, False], 1756, 'South', (11, 3))
Element 45: (3, (11, 3), ['%', '.', '', ''], [(8, 10), (13, 8), (11, 1)], [True, False, False, False], 10, False, [False, True, False, False], 1775, 'South', (11, 2))
Element 46: (3, (11, 2), ['.', '', '', '%'], [(7, 10), (13, 7), (10, 1)], [False, False, False, True], 8, False, [True, False, False, False], 2784, 'West', (10, 2))
Element 47: (3, (10, 2), ['%', '', '%', ''], [(7, 11), (14, 7), (9, 1)], [True, False, True, False], 6, False, [False, False, False, False], 2813, 'South', (10, 1))
Element 48: (3, (10, 1), ['', '%', '', ''], [(6, 11), (15, 7), (8, 1)], [False, True, False, False], 4, False, [False, False, False, False], 2832, 'East', (11, 1))
Element 49: (3, (11, 1), ['', '%', '', ''], [(6, 12), (16, 7), (7, 1)], [False, True, False, False], 2, False, [False, False, False, False], 2851, 'East', (12, 1))
Element 50: (3, (12, 1), ['', '%', '%', ''], [(6, 12), (16, 7), (7, 1)], [False, True, True, False], 0, False, [False, False, False, False], 2850, 'Stop', (12, 1))
Element 51: #0#
