Element 39: (3, (18, 6), ['', '%', '%', '%'], [(5, 13), (16, 1), (18, 11)], [False, True, True, True], 22, False, [False, False, False, False], 2911, 'West', (17, 6))
Element 40: (3, (17, 6), ['', '', '%', ''], [(5, 12), (16, 2), (18, 12)], [False, False, True, False], 20, False, [False, False, False, False], 2930, 'South', (17, 5))
Element 41: (3, (17, 5), ['', '', '', '%'], [(5, 11), (15, 2), (18, 13)], [False, False, False, True], 18, False, [False, False, False, False], 2949, 'South', (17, 4))
Element 42: (3, (17, 4), ['', '', '', ''], [(5, 10), (15, 1), (17, 13)], [False, False, False, False], 16, False, [False, False, False, False], 2968, 'East', (18, 4))
Element 43: (3, (18, 4), ['', '%', '%', '%'], [(6, 10), (14, 1), (17, 12)], [False, True, True, True], 14, False, [False, False, False, False], 2987, 'West', (17, 4))
Element 44: (3, (17, 4), ['', '', '', ''], [(5, 10), (13, 1), (17, 11)], [False, False, False, False], 12, False, [False, False, False, False], 2996, 'South', (17, 3))
Element 45: (3, (17, 3), ['', '', '', '%'], [(4, 10), (12, 1), (17, 10)], [False, False, False, True], 10, False, [False, False, False, False], 3015, 'South', (17, 2))
Element 46: (3, (17, 2), ['', '', '', '%'], [(3, 10), (11, 1), (16, 10)], [False, False, False, True], 8, False, [False, False, False, False], 3034, 'South', (17, 1))
Element 47: (3, (17, 1), ['', '%', '', ''], [(4, 10), (10, 1), (16, 11)], [False, True, False, False], 6, False, [False, False, False, False], 4033, 'East', (18, 1))
Element 48: (3, (18, 1), ['', '%', '%', '%'], [(5, 10), (10, 2), (16, 12)], [False, True, True, True], 4, False, [False, False, False, False], 4042, 'West', (17, 1))
Element 49: (3, (17, 1), ['', '%', '', ''], [(5, 11), (11, 2), (16, 13)], [False, True, False, False], 2, False, [False, False, False, False], 4051, 'West', (16, 1))
Element 50: (3, (16, 1), ['', '%', '', ''], [(5, 11), (11, 2), (16, 13)], [False, True, False, False], 0, False, [False, False, False, False], 4050, 'Stop', (16, 1))
Element 51: #0#
