Element 28: (2, (6, 13), ['', '', '%', ''], [(17, 12), (3, 12), (15, 11)], [False, False, True, False], 44, False, [False, False, False, False], 502, 'West', (5, 13))
Element 29: (2, (5, 13), ['%', '', '%', ''], [(16, 12), (4, 12), (15, 10)], [True, False, True, False], 42, False, [False, False, False, False], 501, 'South', (5, 12))
Element 30: (2, (5, 12), ['', '', '', ''], [(16, 13), (3, 12), (15, 9)], [False, False, False, False], 40, False, [False, False, False, False], 500, 'West', (4, 12))
Element 31: (2, (4, 12), ['', '%', '%', ''], [(16, 12), (3, 13), (16, 9)], [False, True, True, False], 38, False, [False, False, False, False], 499, 'West', (3, 12))
Element 32: (2, (3, 12), ['%', '%', '', ''], [(15, 12), (3, 12), (15, 9)], [True, True, False, False], 36, False, [False, False, False, False], 498, 'North', (3, 13))
Element 33: (2, (3, 13), ['', 'G', '%', '%'], [(14, 12), (3, 12), (14, 9)], [False, False, True, True], 34, False, [False, False, False, False], 497, 'West', (2, 13))
Element 34: (2, (2, 13), ['', '%', '%', ''], [(14, 13), (4, 12), (13, 9)], [False, True, True, False], 32, False, [False, False, False, False], 496, 'West', (1, 13))
Element 35: (2, (1, 13), ['%', '%', '%', ''], [(13, 13), (5, 12), (13, 8)], [True, True, True, False], 30, False, [False, False, False, False], 505, 'East', (2, 13))
Element 36: (2, (2, 13), ['', '%', '%', ''], [(12, 13), (5, 12), (13, 7)], [False, True, True, False], 28, False, [False, False, False, False], 514, 'East', (3, 13))
Element 37: (2, (3, 13), ['', '', '%', '%'], [(11, 13), (6, 12), (14, 7)], [False, False, True, True], 26, False, [False, False, False, False], 523, 'South', (3, 12))
Element 38: (2, (3, 12), ['%', '%', '', ''], [(11, 12), (6, 11), (15, 7)], [True, True, False, False], 24, False, [False, False, False, False], 532, 'East', (4, 12))
Element 39: (2, (4, 12), ['', '%', '%', ''], [(11, 11), (5, 11), (16, 7)], [False, True, True, False], 22, False, [False, False, False, False], 541, 'East', (5, 12))
Element 40: (2, (5, 12), ['', '', '', ''], [(12, 11), (5, 10), (16, 6)], [False, False, False, False], 20, False, [False, False, False, False], 550, 'East', (6, 12))
Element 41: (2, (6, 12), ['', '', '', '%'], [(13, 11), (4, 10), (17, 6)], [False, False, False, True], 18, False, [False, False, False, False], 569, 'West', (5, 12))
Element 42: (2, (5, 12), ['', '', '', ''], [(12, 11), (3, 10), (18, 6)], [False, False, False, False], 16, False, [False, False, False, False], 588, 'South', (5, 11))
Element 43: (2, (5, 11), ['%', '', '', ''], [(11, 11), (4, 10), (17, 6)], [True, False, False, False], 14, False, [False, False, False, False], 587, 'East', (6, 11))
Element 44: (2, (6, 11), ['', '', '', ''], [(10, 11), (5, 10), (17, 5)], [False, False, False, False], 12, False, [False, False, False, False], 596, 'West', (5, 11))
Element 45: (2, (5, 11), ['%', '', '', ''], [(10, 12), (6, 10), (17, 4)], [True, False, False, False], 10, False, [False, False, False, False], 605, 'South', (5, 10))
Element 46: (2, (5, 10), ['', '%', '', ''], [(9, 12), (6, 11), (18, 4)], [False, True, False, False], 8, False, [False, False, False, False], 614, 'West', (4, 10))
Element 47: (2, (4, 10), ['', '%', '%', ''], [(9, 13), (5, 11), (17, 4)], [False, True, True, False], 6, False, [False, False, False, False], 613, 'West', (3, 10))
Element 48: (2, (3, 10), ['%', '%', '%', ''], [(9, 12), (6, 11), (17, 3)], [True, True, True, False], 4, False, [False, False, False, False], 622, 'East', (4, 10))
Element 49: (2, (4, 10), ['', '%', '%', ''], [(9, 11), (7, 11), (17, 2)], [False, True, True, False], 2, False, [False, False, False, False], 631, 'East', (5, 10))
Element 50: (2, (5, 10), ['', '%', '', ''], [(9, 11), (7, 11), (17, 1)], [False, True, False, False], 0, False, [False, False, False, False], 640, 'Stop', (5, 10))
Element 51: #0#
