Element 1: (3, (13, 6), ['F', '.', '.', '.'], [(16, 5), (5, 10), (7, 11)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'West', (12, 6))
Element 2: (3, (12, 6), ['.', '%', '.', ''], [(17, 5), (6, 10), (7, 10)], [False, True, False, False], 96, False, [True, False, True, False], 1058, 'North', (12, 7))
Element 3: (3, (12, 7), ['.', '', '.', '.'], [(17, 6), (6, 11), (8, 10)], [False, False, False, False], 94, False, [True, False, True, True], 1087, 'East', (13, 7))
Element 4: (3, (13, 7), ['', '', '.', '.'], [(18, 6), (6, 12), (9, 10)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (14, 7))
Element 5: (3, (14, 7), ['', '.', '%', '.'], [(17, 6), (6, 13), (9, 11)], [False, False, True, False], 90, False, [False, True, False, True], 1155, 'East', (15, 7))
Element 6: (3, (15, 7), ['', '.', '%', '.'], [(16, 6), (7, 13), (10, 11)], [False, False, True, False], 88, False, [False, True, False, True], 1194, 'East', (16, 7))
Element 7: (3, (16, 7), ['', '', '%', '%'], [(15, 6), (6, 13), (11, 11)], [False, False, True, True], 86, False, [False, False, False, False], 1223, 'South', (16, 6))
Element 8: (3, (16, 6), ['', '', '', ''], [(14, 6), (5, 13), (12, 11)], [False, False, False, False], 84, False, [False, False, False, False], 1252, 'East', (17, 6))
Element 9: (3, (17, 6), ['', '', '%', ''], [(14, 5), (5, 12), (13, 11)], [False, False, True, False], 82, False, [False, False, False, False], 1281, 'East', (18, 6))
Element 10: (3, (18, 6), ['', '%', '%', '%'], [(14, 4), (5, 11), (12, 11)], [False, True, True, True], 80, False, [False, False, False, False], 1300, 'West', (17, 6))
Element 11: (3, (17, 6), ['', '', '%', ''], [(14, 3), (5, 12), (11, 11)], [False, False, True, False], 78, False, [False, False, False, False], 1309, 'South', (17, 5))
Element 12: (3, (17, 5), ['', '.', '', '%'], [(15, 3), (4, 12), (11, 12)], [False, False, False, True], 76, False, [False, True, False, False], 1338, 'South', (17, 4))
Element 13: (3, (17, 4), ['.', '.', '', '.'], [(16, 3), (3, 12), (11, 13)], [False, False, False, False], 74, False, [True, True, False, True], 1377, 'East', (18, 4))
Element 14: (3, (18, 4), ['', '%', '%', '%'], [(17, 3), (3, 13), (12, 13)], [False, True, True, True], 72, False, [False, False, False, False], 1416, 'West', (17, 4))
Element 15: (3, (17, 4), ['.', '', '', ''], [(17, 2), (2, 13), (13, 13)], [False, False, False, False], 70, False, [True, False, False, False], 1445, 'South', (17, 3))
Element 16: (3, (17, 3), ['', '', '', '%'], [(17, 1), (1, 13), (14, 13)], [False, False, False, True], 68, False, [False, False, False, False], 1474, 'South', (17, 2))
Element 17: (3, (17, 2), ['.', '', '', '%'], [(18, 1), (2, 13), (14, 12)], [False, False, False, True], 66, False, [True, False, False, False], 1493, 'West', (16, 2))
Element 18: (3, (16, 2), ['.', '.', '', ''], [(17, 1), (3, 13), (15, 12)], [False, False, False, False], 64, False, [True, True, False, False], 1512, 'South', (16, 1))
Element 19: (3, (16, 1), ['.', '%', '', ''], [(17, 2), (3, 12), (16, 12)], [False, True, False, False], 62, False, [True, False, False, False], 1531, 'West', (15, 1))
Element 20: (3, (15, 1), ['.', '%', '.', ''], [(17, 1), (4, 12), (17, 12)], [False, True, False, False], 60, False, [True, False, True, False], 1550, 'North', (15, 2))
Element 21: (3, (15, 2), ['%', '', '', ''], [(17, 2), (5, 12), (18, 12)], [True, False, False, False], 58, False, [False, False, False, False], 1569, 'North', (15, 3))
Element 22: (3, (15, 3), ['', '', '%', ''], [(16, 2), (5, 13), (18, 13)], [False, False, True, False], 56, False, [False, False, False, False], 1578, 'East', (16, 3))
Element 23: (3, (16, 3), ['', '', '.', ''], [(16, 1), (6, 13), (17, 13)], [False, False, False, False], 54, False, [False, False, True, False], 1587, 'North', (16, 4))
Element 24: (3, (16, 4), ['%', '', '', ''], [(15, 1), (6, 12), (16, 13)], [True, False, False, False], 52, False, [False, False, False, False], 1606, 'North', (16, 5))
Element 25: (3, (16, 5), ['', '', '', ''], [(14, 1), (5, 12), (17, 13)], [False, False, False, False], 50, False, [False, False, False, False], 1615, 'West', (15, 5))
Element 26: (3, (15, 5), ['', '%', '', ''], [(13, 1), (6, 12), (18, 13)], [False, True, False, False], 48, False, [False, False, False, False], 1624, 'North', (15, 6))
Element 27: (3, (15, 6), ['', '', '', ''], [(12, 1), (6, 11), (18, 12)], [False, False, False, False], 46, False, [False, False, False, False], 1633, 'West', (14, 6))
Element 28: (3, (14, 6), ['', '', '', ''], [(11, 1), (5, 11), (18, 11)], [False, False, False, False], 44, False, [False, False, False, False], 1652, 'South', (14, 5))
Element 29: (3, (14, 5), ['.', '', '', ''], [(10, 1), (6, 11), (18, 10)], [False, False, False, False], 42, False, [True, False, False, False], 2661, 'West', (13, 5))
Element 30: (3, (13, 5), ['%', '.', '', ''], [(10, 2), (7, 11), (18, 9)], [True, False, False, False], 40, False, [False, True, False, False], 2690, 'South', (13, 4))
Element 31: (3, (13, 4), ['.', '.', '', ''], [(11, 2), (7, 10), (18, 8)], [False, False, False, False], 38, False, [True, True, False, False], 2719, 'South', (13, 3))
Element 32: (3, (13, 3), ['.', '%', '', ''], [(11, 3), (8, 10), (17, 8)], [False, True, False, False], 36, False, [True, False, False, False], 2748, 'West', (12, 3))
Element 33: (3, (12, 3), ['', '%', '.', ''], [(11, 4), (9, 10), (17, 9)], [False, True, False, False], 34, False, [False, False, True, False], 2777, 'North', (12, 4))
Element 34: (3, (12, 4), ['', '', '%', ''], [(10, 4), (9, 11), (17, 10)], [False, False, True, False], 32, False, [False, False, False, False], 2806, 'West', (11, 4))
