Element 39: (2, (13, 8), ['', '', '', '%'], [(9, 12), (18, 12), (11, 11)], [False, False, False, True], 22, False, [False, False, False, False], 2801, 'North', (13, 9))
Element 40: (2, (13, 9), ['', '', '%', ''], [(9, 13), (18, 13), (12, 11)], [False, False, True, False], 20, False, [False, False, False, False], 2810, 'East', (14, 9))
Element 41: (2, (14, 9), ['', '%', '%', ''], [(9, 12), (17, 13), (13, 11)], [False, True, True, False], 18, False, [False, False, False, False], 2809, 'East', (15, 9))
Element 42: (2, (15, 9), ['', '%', '', ''], [(9, 11), (17, 12), (12, 11)], [False, True, False, False], 16, False, [False, False, False, False], 2818, 'East', (16, 9))
Element 43: (2, (16, 9), ['', '%', '', ''], [(9, 10), (17, 11), (11, 11)], [False, True, False, False], 14, False, [False, False, False, False], 2827, 'East', (17, 9))
Element 44: (2, (17, 9), ['', '', 'G', ''], [(8, 10), (17, 10), (10, 11)], [False, False, False, False], 12, False, [False, False, False, False], 2836, 'East', (18, 9))
Element 45: (2, (18, 9), ['', '', '', '%'], [(7, 10), (16, 10), (10, 12)], [False, False, False, True], 10, False, [False, False, False, False], 2845, 'North', (18, 10))
Element 46: (2, (18, 10), ['', '', '', '%'], [(7, 11), (16, 11), (9, 12)], [False, False, False, True], 8, False, [False, False, False, False], 2854, 'North', (18, 11))
Element 47: (2, (18, 11), ['', '', '', '%'], [(6, 11), (16, 12), (8, 12)], [False, False, False, True], 6, False, [False, False, False, False], 2873, 'North', (18, 12))
Element 48: (2, (18, 12), ['', '', '', '%'], [(6, 12), (16, 13), (9, 12)], [False, False, False, True], 4, False, [False, False, False, False], 2882, 'North', (18, 13))
Element 49: (2, (18, 13), ['', '', '%', '%'], [(6, 13), (16, 12), (9, 13)], [False, False, True, True], 2, False, [False, False, False, False], 2891, 'West', (17, 13))
Element 50: (2, (17, 13), ['', '', '%', ''], [(6, 13), (16, 12), (9, 12)], [False, False, True, False], 0, False, [False, False, False, False], 2890, 'Stop', (17, 13))
Element 51: #0#
