Element 1: (0, (8, 6), ['.', '.', 'F', '.'], [(1, 1), (2, 11), (12, 11)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'North', (8, 7))
Element 2: (0, (8, 7), ['.', '', '.', '%'], [(2, 1), (1, 11), (13, 11)], [False, False, False, True], 96, False, [True, False, True, False], 1029, 'North', (8, 8))
Element 3: (0, (8, 8), ['%', '', '%', '.'], [(3, 1), (2, 11), (12, 11)], [True, False, True, False], 94, False, [False, False, False, True], 1048, 'East', (9, 8))
Element 4: (0, (9, 8), ['', '%', '%', '.'], [(4, 1), (2, 11), (11, 11)], [False, True, True, False], 92, False, [False, False, False, True], 1077, 'East', (10, 8))
Element 5: (0, (10, 8), ['', '%', '%', '%'], [(4, 2), (1, 11), (11, 12)], [False, True, True, True], 90, False, [False, False, False, False], 1106, 'West', (9, 8))
Element 6: (0, (9, 8), ['', '%', '%', ''], [(5, 2), (2, 11), (11, 13)], [False, True, True, False], 88, False, [False, False, False, False], 1125, 'West', (8, 8))
Element 7: (0, (8, 8), ['%', '', '%', ''], [(4, 2), (2, 11), (12, 13)], [True, False, True, False], 86, False, [False, False, False, False], 1134, 'South', (8, 7))
Element 8: (0, (8, 7), ['.', '', '', '%'], [(3, 2), (1, 11), (13, 13)], [False, False, False, True], 84, False, [True, False, False, False], 1153, 'West', (7, 7))
Element 9: (0, (7, 7), ['.', '.', '%', ''], [(2, 2), (2, 11), (14, 13)], [False, False, True, False], 82, False, [True, True, False, False], 1182, 'South', (7, 6))
Element 10: (0, (7, 6), ['.', '.', '', ''], [(1, 2), (2, 11), (14, 12)], [False, False, False, False], 80, False, [True, True, False, False], 1211, 'South', (7, 5))
Element 11: (0, (7, 5), ['F', '.', '', '.'], [(2, 2), (1, 11), (15, 12)], [False, False, False, False], 78, False, [False, True, False, True], 1230, 'West', (6, 5))
Element 12: (0, (6, 5), ['%', '.', '.', ''], [(3, 2), (2, 11), (16, 12)], [True, False, False, False], 76, False, [False, True, True, False], 2239, 'North', (6, 6))
Element 13: (0, (6, 6), ['%', '', '.', ''], [(4, 2), (2, 11), (17, 12)], [True, False, False, False], 74, False, [False, False, True, False], 2258, 'North', (6, 7))
Element 14: (0, (6, 7), ['.', '', '%', ''], [(4, 1), (1, 11), (18, 12)], [False, False, True, False], 72, False, [True, False, False, False], 2277, 'West', (5, 7))
Element 15: (0, (5, 7), ['.', '%', '.', ''], [(3, 1), (2, 11), (18, 13)], [False, True, False, False], 70, False, [True, False, True, False], 2296, 'North', (5, 8))
Element 16: (0, (5, 8), ['.', '', '%', '%'], [(3, 2), (2, 11), (17, 13)], [False, False, True, True], 68, False, [True, False, False, False], 2315, 'West', (4, 8))
Element 17: (0, (4, 8), ['.', '.', '%', ''], [(3, 1), (1, 11), (16, 13)], [False, False, True, False], 66, False, [True, True, False, False], 2334, 'South', (4, 7))
Element 18: (0, (4, 7), ['%', '%', '', ''], [(2, 1), (2, 11), (17, 13)], [True, True, False, False], 64, False, [False, False, False, False], 2343, 'North', (4, 8))
Element 19: (0, (4, 8), ['.', '', '%', ''], [(2, 2), (2, 11), (18, 13)], [False, False, True, False], 62, False, [True, False, False, False], 2342, 'West', (3, 8))
Element 20: (0, (3, 8), ['.', '%', '%', ''], [(2, 1), (1, 11), (18, 12)], [False, True, True, False], 60, False, [True, False, False, False], 2351, 'West', (2, 8))
Element 21: (0, (2, 8), ['%', '%', '.', ''], [(1, 1), (2, 11), (18, 11)], [True, True, False, False], 58, False, [False, False, True, False], 2370, 'North', (2, 9))
Element 22: (0, (2, 9), ['.', '', '%', '%'], [(1, 2), (2, 11), (18, 10)], [False, False, True, True], 56, False, [True, False, False, False], 2389, 'West', (1, 9))
Element 23: (0, (1, 9), ['%', '%', '%', ''], [(1, 1), (1, 11), (18, 9)], [True, True, True, False], 54, False, [False, False, False, False], 2408, 'East', (2, 9))
Element 24: (0, (2, 9), ['', '', '%', '%'], [(1, 1), (2, 11), (18, 8)], [False, False, True, True], 52, False, [False, False, False, False], 2417, 'South', (2, 8))
Element 25: (0, (2, 8), ['%', '%', '', ''], [(2, 1), (2, 11), (17, 8)], [True, True, False, False], 50, False, [False, False, False, False], 2426, 'East', (3, 8))
Element 26: (0, (3, 8), ['', '%', '%', ''], [(3, 1), (1, 11), (17, 9)], [False, True, True, False], 48, False, [False, False, False, False], 2435, 'East', (4, 8))
Element 27: (0, (4, 8), ['', '', '%', ''], [(4, 1), (2, 11), (17, 10)], [False, False, True, False], 46, False, [False, False, False, False], 2444, 'East', (5, 8))
Element 28: (0, (5, 8), ['', '', '%', '%'], [(4, 2), (2, 11), (17, 11)], [False, False, True, True], 44, False, [False, False, False, False], 2453, 'South', (5, 7))
Element 29: (0, (5, 7), ['', '%', '', ''], [(5, 2), (1, 11), (16, 11)], [False, True, False, False], 42, False, [False, False, False, False], 2462, 'West', (4, 7))
Element 30: (0, (4, 7), ['%', '%', '', ''], [(4, 2), (2, 11), (16, 10)], [True, True, False, False], 40, False, [False, False, False, False], 2471, 'East', (5, 7))
Element 31: (0, (5, 7), ['', '%', '', ''], [(3, 2), (2, 11), (16, 9)], [False, True, False, False], 38, False, [False, False, False, False], 2480, 'East', (6, 7))
Element 32: (0, (6, 7), ['', '', '%', ''], [(2, 2), (1, 11), (15, 9)], [False, False, True, False], 36, False, [False, False, False, False], 2489, 'South', (6, 6))
Element 33: (0, (6, 6), ['%', '', '', ''], [(1, 2), (2, 11), (15, 10)], [True, False, False, False], 34, False, [False, False, False, False], 2498, 'South', (6, 5))
Element 34: (0, (6, 5), ['%', '.', '', ''], [(2, 2), (2, 11), (15, 11)], [True, False, False, False], 32, False, [False, True, False, False], 2507, 'South', (6, 4))
Element 35: (0, (6, 4), ['%', '.', '', '.'], [(3, 2), (1, 11), (15, 10)], [True, False, False, False], 30, False, [False, True, False, True], 2516, 'East', (7, 4))
Element 36: (0, (7, 4), ['', '.', '', '.'], [(4, 2), (2, 11), (15, 9)], [False, False, False, False], 28, False, [False, True, False, True], 2525, 'East', (8, 4))
Element 37: (0, (8, 4), ['', '.', '.', '.'], [(4, 1), (2, 11), (14, 9)], [False, False, False, False], 26, False, [False, True, True, True], 2544, 'East', (9, 4))
Element 38: (0, (9, 4), ['', '.', '.', '.'], [(3, 1), (1, 11), (13, 9)], [False, False, False, False], 24, False, [False, True, True, True], 2563, 'East', (10, 4))
Element 39: (0, (10, 4), ['', '%', '.', '.'], [(3, 2), (2, 11), (13, 8)], [False, True, False, False], 22, False, [False, False, True, True], 2582, 'East', (11, 4))
Element 40: (0, (11, 4), ['', '.', '%', '.'], [(3, 1), (2, 11), (13, 7)], [False, False, True, False], 20, False, [False, True, False, True], 2601, 'East', (12, 4))
