Element 39: (1, (6, 11), ['', '', '', ''], [(13, 5), (13, 9), (12, 11)], [False, False, False, False], 22, False, [False, False, False, False], 1851, 'West', (5, 11))
Element 40: (1, (5, 11), ['%', '', '', ''], [(13, 4), (13, 8), (13, 11)], [True, False, False, False], 20, False, [False, False, False, False], 1860, 'East', (6, 11))
Element 41: (1, (6, 11), ['', '', '', ''], [(13, 3), (13, 7), (12, 11)], [False, False, False, False], 18, False, [False, False, False, False], 1869, 'East', (7, 11))
Element 42: (1, (7, 11), ['', '', '%', '%'], [(12, 3), (14, 7), (11, 11)], [False, False, True, True], 16, False, [False, False, False, False], 1878, 'South', (7, 10))
Element 43: (1, (7, 10), ['', '%', '', ''], [(12, 4), (15, 7), (10, 11)], [False, True, False, False], 14, False, [False, False, False, False], 1887, 'West', (6, 10))
Element 44: (1, (6, 10), ['', '%', '', ''], [(11, 4), (16, 7), (9, 11)], [False, True, False, False], 12, False, [False, False, False, False], 1896, 'East', (7, 10))
Element 45: (1, (7, 10), ['', '%', '', ''], [(11, 3), (16, 6), (9, 10)], [False, True, False, False], 10, False, [False, False, False, False], 1905, 'East', (8, 10))
Element 46: (1, (8, 10), ['', '%', '%', ''], [(11, 2), (17, 6), (9, 11)], [False, True, True, False], 8, False, [False, False, False, False], 1914, 'East', (9, 10))
Element 47: (1, (9, 10), ['', '%', '', '%'], [(11, 1), (18, 6), (9, 12)], [False, True, False, True], 6, False, [False, False, False, False], 1923, 'Stop', (9, 10))
Element 48: (1, (9, 10), ['', '%', '', '%'], [(10, 1), (17, 6), (10, 12)], [False, True, False, True], 4, False, [False, False, False, False], 2922, 'North', (9, 11))
Element 49: (1, (9, 11), ['%', '', '', 'G'], [(10, 2), (17, 5), (10, 11)], [True, False, False, False], 2, False, [False, False, False, False], 2931, 'North', (9, 12))
Element 50: (1, (9, 12), ['', '', '', 'G'], [(10, 2), (17, 4), (10, 12)], [False, False, False, False], 0, False, [False, False, False, False], 2930, 'Stop', (9, 12))
Element 51: #0#
