Element 1: (3, (14, 1), ['G', '%', '%', '.'], [(13, 1), (2, 1), (6, 5)], [False, True, True, False], 98, False, [False, False, False, True], 1019, 'East', (15, 1))
Element 2: (3, (15, 1), ['G', '%', '.', '.'], [(14, 1), (3, 1), (6, 6)], [False, True, False, False], 96, False, [False, False, True, True], 1048, 'East', (16, 1))
Element 3: (3, (16, 1), ['G', '%', '.', '.'], [(15, 1), (4, 1), (7, 6)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (17, 1))
Element 4: (3, (17, 1), ['', '%', '.', '.'], [(15, 2), (4, 2), (8, 6)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (18, 1))
Element 5: (3, (18, 1), ['', '%', '%', '%'], [(16, 2), (5, 2), (8, 7)], [False, True, True, True], 90, False, [False, False, False, False], 2145, 'West', (17, 1))
Element 6: (3, (17, 1), ['', '%', 'G', ''], [(17, 2), (4, 2), (8, 8)], [False, True, False, False], 88, False, [False, False, False, False], 2164, 'West', (16, 1))
Element 7: (3, (16, 1), ['', '%', '', ''], [(17, 3), (3, 2), (9, 8)], [False, True, False, False], 86, False, [False, False, False, False], 2193, 'East', (17, 1))
Element 8: (3, (17, 1), ['', '%', '', ''], [(17, 4), (2, 2), (10, 8)], [False, True, False, False], 84, False, [False, False, False, False], 2222, 'West', (16, 1))
Element 9: (3, (16, 1), ['', '%', '', ''], [(18, 4), (1, 2), (9, 8)], [False, True, False, False], 82, False, [False, False, False, False], 2241, 'North', (16, 2))
Element 10: (3, (16, 2), ['', '', '.', ''], [(17, 4), (2, 2), (8, 8)], [False, False, False, False], 80, False, [False, False, True, False], 2240, 'North', (16, 3))
Element 11: (3, (16, 3), ['.', '', '.', ''], [(17, 5), (3, 2), (8, 7)], [False, False, False, False], 78, False, [True, False, True, False], 2259, 'North', (16, 4))
Element 12: (3, (16, 4), ['%', '', '.', ''], [(17, 6), (4, 2), (7, 7)], [True, False, False, False], 76, False, [False, False, True, False], 2288, 'North', (16, 5))
Element 13: (3, (16, 5), ['.', '', '.', ''], [(18, 6), (4, 1), (6, 7)], [False, False, False, False], 74, False, [True, False, True, False], 2317, 'North', (16, 6))
Element 14: (3, (16, 6), ['.', '', '.', 'G'], [(17, 6), (3, 1), (5, 7)], [False, False, False, False], 72, False, [True, False, True, False], 2336, 'North', (16, 7))
Element 15: (3, (16, 7), ['.', 'G', '%', '%'], [(16, 6), (3, 2), (5, 8)], [False, False, True, True], 70, False, [True, False, False, False], 2355, 'West', (15, 7))
Element 16: (3, (15, 7), ['.', 'G', '%', ''], [(15, 6), (3, 1), (4, 8)], [False, False, True, False], 68, False, [True, False, False, False], 2384, 'West', (14, 7))
Element 17: (3, (14, 7), ['.', '.', '%', ''], [(15, 5), (2, 1), (4, 7)], [False, False, True, False], 66, False, [True, True, False, False], 2413, 'South', (14, 6))
Element 18: (3, (14, 6), ['.', 'G', '', ''], [(14, 5), (2, 2), (4, 8)], [False, False, False, False], 64, False, [True, False, False, False], 2432, 'West', (13, 6))
Element 19: (3, (13, 6), ['F', '.', '.', ''], [(14, 4), (2, 1), (3, 8)], [False, False, False, False], 62, False, [False, True, True, False], 2461, 'West', (12, 6))
Element 20: (3, (12, 6), ['.', '%', '.', ''], [(14, 3), (1, 1), (2, 8)], [False, True, False, False], 60, False, [True, False, True, False], 3480, 'North', (12, 7))
Element 21: (3, (12, 7), ['.', '', '.', '.'], [(15, 3), (1, 2), (2, 9)], [False, False, False, False], 58, False, [True, False, True, True], 3509, 'East', (13, 7))
Element 22: (3, (13, 7), ['', '', '.', ''], [(16, 3), (1, 1), (1, 9)], [False, False, False, False], 56, False, [False, False, True, False], 3528, 'North', (13, 8))
Element 23: (3, (13, 8), ['.', '', '.', '%'], [(16, 4), (1, 1), (2, 9)], [False, False, False, True], 54, False, [True, False, True, False], 3537, 'North', (13, 9))
Element 24: (3, (13, 9), ['.', '', '%', '.'], [(16, 5), (2, 1), (2, 8)], [False, False, True, False], 52, False, [True, False, False, True], 3546, 'East', (14, 9))
Element 25: (3, (14, 9), ['', '%', '%', '.'], [(16, 4), (3, 1), (3, 8)], [False, True, True, False], 50, False, [False, False, False, True], 3555, 'East', (15, 9))
Element 26: (3, (15, 9), ['', '%', '.', '.'], [(16, 3), (4, 1), (4, 8)], [False, True, False, False], 48, False, [False, False, True, True], 3564, 'East', (16, 9))
Element 27: (3, (16, 9), ['', '%', '.', '.'], [(15, 3), (4, 2), (5, 8)], [False, True, False, False], 46, False, [False, False, True, True], 3573, 'East', (17, 9))
Element 28: (3, (17, 9), ['', '.', '.', '.'], [(14, 3), (5, 2), (5, 7)], [False, False, False, False], 44, False, [False, True, True, True], 3582, 'East', (18, 9))
Element 29: (3, (18, 9), ['', '.', '.', '%'], [(13, 3), (4, 2), (4, 7)], [False, False, False, True], 42, False, [False, True, True, False], 3601, 'North', (18, 10))
Element 30: (3, (18, 10), ['.', '', '.', '%'], [(13, 4), (3, 2), (5, 7)], [False, False, False, True], 40, False, [True, False, True, False], 3620, 'North', (18, 11))
Element 31: (3, (18, 11), ['.', '', '.', '%'], [(13, 5), (2, 2), (6, 7)], [False, False, False, True], 38, False, [True, False, True, False], 3639, 'North', (18, 12))
Element 32: (3, (18, 12), ['.', '', '.', '%'], [(13, 6), (1, 2), (7, 7)], [False, False, False, True], 36, False, [True, False, True, False], 3648, 'North', (18, 13))
Element 33: (3, (18, 13), ['.', '', '%', '%'], [(14, 6), (2, 2), (8, 7)], [False, False, True, True], 34, False, [True, False, False, False], 3657, 'West', (17, 13))
Element 34: (3, (17, 13), ['.', '.', '%', ''], [(14, 7), (3, 2), (8, 6)], [False, False, True, False], 32, False, [True, True, False, False], 3666, 'South', (17, 12))
Element 35: (3, (17, 12), ['.', '.', '', ''], [(15, 7), (4, 2), (9, 6)], [False, False, False, False], 30, False, [True, True, False, False], 3685, 'South', (17, 11))
Element 36: (3, (17, 11), ['.', '.', '', ''], [(16, 7), (4, 1), (10, 6)], [False, False, False, False], 28, False, [True, True, False, False], 3704, 'South', (17, 10))
Element 37: (3, (17, 10), ['.', '', '', ''], [(15, 7), (3, 1), (11, 6)], [False, False, False, False], 26, False, [True, False, False, False], 3723, 'West', (16, 10))
Element 38: (3, (16, 10), ['.', '', '.', ''], [(14, 7), (3, 2), (11, 7)], [False, False, False, False], 24, False, [True, False, True, False], 3742, 'North', (16, 11))
Element 39: (3, (16, 11), ['.', '', '.', ''], [(13, 7), (3, 1), (12, 7)], [False, False, False, False], 22, False, [True, False, True, False], 3751, 'North', (16, 12))
Element 40: (3, (16, 12), ['.', '', '.', ''], [(13, 8), (2, 1), (12, 8)], [False, False, False, False], 20, False, [True, False, True, False], 3770, 'North', (16, 13))
Element 41: (3, (16, 13), ['%', '', '%', ''], [(13, 9), (2, 2), (12, 9)], [True, False, True, False], 18, False, [False, False, False, False], 3789, 'South', (16, 12))
Element 42: (3, (16, 12), ['.', '', '', ''], [(14, 9), (2, 1), (11, 9)], [False, False, False, False], 16, False, [True, False, False, False], 3798, 'West', (15, 12))
Element 43: (3, (15, 12), ['.', '.', '%', ''], [(15, 9), (1, 1), (12, 9)], [False, False, True, False], 14, False, [True, True, False, False], 3807, 'South', (15, 11))
Element 44: (3, (15, 11), ['%', 'G', '', ''], [(15, 10), (1, 2), (13, 9)], [True, False, False, False], 12, False, [False, False, False, False], 3826, 'North', (15, 12))
Element 45: (3, (15, 12), ['.', '', '%', ''], [(16, 10), (1, 1), (14, 9)], [False, False, True, False], 10, False, [True, False, False, False], 3825, 'West', (14, 12))
Element 46: (3, (14, 12), ['%', '%', '.', ''], [(17, 10), (1, 1), (15, 9)], [True, True, False, False], 8, False, [False, False, True, False], 3834, 'North', (14, 13))
Element 47: (3, (14, 13), ['.', '', '%', '%'], [(18, 10), (2, 1), (16, 9)], [False, False, True, True], 6, False, [True, False, False, False], 3843, 'West', (13, 13))
Element 48: (3, (13, 13), ['.', '%', '%', ''], [(18, 11), (3, 1), (17, 9)], [False, True, True, False], 4, False, [True, False, False, False], 3852, 'West', (12, 13))
Element 49: (3, (12, 13), ['.', '%', '%', ''], [(18, 12), (4, 1), (17, 8)], [False, True, True, False], 2, False, [True, False, False, False], 3871, 'West', (11, 13))
Element 50: (3, (11, 13), ['%', '.', '%', ''], [(18, 12), (4, 1), (17, 8)], [True, False, True, False], 0, False, [False, True, False, False], 3880, 'Stop', (11, 13))
Element 51: #0#
