Element 1: (3, (11, 1), ['G', '%', '.', '.'], [(6, 7), (9, 12), (10, 1)], [False, True, False, False], 98, False, [False, False, True, True], 1019, 'East', (12, 1))
Element 2: (3, (12, 1), ['', '%', '%', '.'], [(7, 7), (10, 12), (10, 2)], [False, True, True, False], 96, False, [False, False, False, True], 1058, 'East', (13, 1))
Element 3: (3, (13, 1), ['', '%', '%', '.'], [(8, 7), (11, 12), (11, 2)], [False, True, True, False], 94, False, [False, False, False, True], 2087, 'East', (14, 1))
Element 4: (3, (14, 1), ['', '%', '%', '.'], [(8, 8), (11, 13), (11, 3)], [False, True, True, False], 92, False, [False, False, False, True], 2126, 'East', (15, 1))
Element 5: (3, (15, 1), ['', '%', '.', '.'], [(9, 8), (12, 13), (12, 3)], [False, True, False, False], 90, False, [False, False, True, True], 2165, 'East', (16, 1))
Element 6: (3, (16, 1), ['', '%', '.', '.'], [(10, 8), (13, 13), (13, 3)], [False, True, False, False], 88, False, [False, False, True, True], 2204, 'East', (17, 1))
Element 7: (3, (17, 1), ['', '%', '.', '.'], [(9, 8), (14, 13), (14, 3)], [False, True, False, False], 86, False, [False, False, True, True], 2233, 'East', (18, 1))
Element 8: (3, (18, 1), ['', '%', '%', '%'], [(8, 8), (14, 12), (15, 3)], [False, True, True, True], 84, False, [False, False, False, False], 2262, 'West', (17, 1))
Element 9: (3, (17, 1), ['', '%', '.', ''], [(8, 7), (15, 12), (16, 3)], [False, True, False, False], 82, False, [False, False, True, False], 2281, 'North', (17, 2))
Element 10: (3, (17, 2), ['.', '', 'G', '%'], [(8, 6), (16, 12), (17, 3)], [False, False, False, True], 80, False, [True, False, False, False], 2320, 'West', (16, 2))
Element 11: (3, (16, 2), ['.', '', '', ''], [(9, 6), (17, 12), (17, 4)], [False, False, False, False], 78, False, [True, False, False, False], 2359, 'West', (15, 2))
Element 12: (3, (15, 2), ['%', '', '', ''], [(10, 6), (18, 12), (18, 4)], [True, False, False, False], 76, False, [False, False, False, False], 2398, 'North', (15, 3))
Element 13: (3, (15, 3), ['', '', '%', ''], [(11, 6), (18, 13), (17, 4)], [False, False, True, False], 74, False, [False, False, False, False], 2417, 'East', (16, 3))
Element 14: (3, (16, 3), ['', '', '.', ''], [(12, 6), (17, 13), (17, 5)], [False, False, False, False], 72, False, [False, False, True, False], 3436, 'North', (16, 4))
Element 15: (3, (16, 4), ['%', '', '.', ''], [(13, 6), (16, 13), (17, 6)], [True, False, False, False], 70, False, [False, False, True, False], 3475, 'North', (16, 5))
Element 16: (3, (16, 5), ['.', '', '.', ''], [(14, 6), (17, 13), (18, 6)], [False, False, False, False], 68, False, [True, False, True, False], 3504, 'North', (16, 6))
Element 17: (3, (16, 6), ['G', '', '.', 'G'], [(15, 6), (18, 13), (17, 6)], [False, False, False, False], 66, False, [False, False, True, False], 3523, 'North', (16, 7))
Element 18: (3, (16, 7), ['G', 'G', '%', '%'], [(15, 7), (18, 12), (16, 6)], [False, False, True, True], 64, False, [False, False, False, False], 3542, 'Stop', (16, 7))
Element 19: (3, (16, 7), ['', '', '%', '%'], [(14, 7), (18, 11), (16, 5)], [False, False, True, True], 62, False, [False, False, False, False], 3561, 'West', (15, 7))
Element 20: (3, (15, 7), ['', '', '%', ''], [(13, 7), (18, 10), (15, 5)], [False, False, True, False], 60, False, [False, False, False, False], 3590, 'South', (15, 6))
Element 21: (3, (15, 6), ['', '', '', ''], [(13, 8), (18, 9), (14, 5)], [False, False, False, False], 58, False, [False, False, False, False], 3619, 'South', (15, 5))
Element 22: (3, (15, 5), ['', '%', '', ''], [(13, 9), (18, 8), (14, 4)], [False, True, False, False], 56, False, [False, False, False, False], 3648, 'West', (14, 5))
Element 23: (3, (14, 5), ['.', '', '', ''], [(14, 9), (17, 8), (13, 4)], [False, False, False, False], 54, False, [True, False, False, False], 3677, 'West', (13, 5))
