Element 1: (2, (7, 7), ['.', '.', '%', 'F'], [(14, 4), (6, 5), (16, 12)], [False, False, True, False], 98, False, [True, True, False, False], 1009, 'East', (8, 7))
Element 2: (2, (8, 7), ['', '.', '.', '%'], [(14, 5), (6, 6), (17, 12)], [False, False, False, True], 96, False, [False, True, True, False], 2038, 'North', (8, 8))
Element 3: (2, (8, 8), ['%', '', '%', '.'], [(15, 5), (7, 6), (18, 12)], [True, False, True, False], 94, False, [False, False, False, True], 2077, 'East', (9, 8))
Element 4: (2, (9, 8), ['', '%', '%', '.'], [(16, 5), (8, 6), (18, 13)], [False, True, True, False], 92, False, [False, False, False, True], 2116, 'East', (10, 8))
Element 5: (2, (10, 8), ['', '%', '%', '%'], [(17, 5), (9, 6), (17, 13)], [False, True, True, True], 90, False, [False, False, False, False], 2155, 'West', (9, 8))
Element 6: (2, (9, 8), ['', '%', '%', ''], [(17, 6), (10, 6), (16, 13)], [False, True, True, False], 88, False, [False, False, False, False], 2184, 'West', (8, 8))
Element 7: (2, (8, 8), ['%', '', '%', ''], [(18, 6), (11, 6), (17, 13)], [True, False, True, False], 86, False, [False, False, False, False], 2203, 'South', (8, 7))
Element 8: (2, (8, 7), ['', '', '', '%'], [(17, 6), (12, 6), (18, 13)], [False, False, False, True], 84, False, [False, False, False, False], 3202, 'South', (8, 6))
Element 9: (2, (8, 6), ['', '.', '', ''], [(16, 6), (13, 6), (18, 12)], [False, False, False, False], 82, False, [False, True, False, False], 3221, 'South', (8, 5))
Element 10: (2, (8, 5), ['', '.', '', '.'], [(16, 7), (14, 6), (18, 11)], [False, False, False, False], 80, False, [False, True, False, True], 3260, 'East', (9, 5))
Element 11: (2, (9, 5), ['', '.', '', '.'], [(15, 7), (15, 6), (18, 10)], [False, False, False, False], 78, False, [False, True, False, True], 3299, 'East', (10, 5))
Element 12: (2, (10, 5), ['', '.', '', '%'], [(14, 7), (16, 6), (18, 9)], [False, False, False, True], 76, False, [False, True, False, False], 3328, 'South', (10, 4))
Element 13: (2, (10, 4), ['.', '%', '', '.'], [(13, 7), (17, 6), (18, 8)], [False, True, False, False], 74, False, [True, False, False, True], 3357, 'East', (11, 4))
Element 14: (2, (11, 4), ['', '.', '%', '.'], [(13, 8), (18, 6), (17, 8)], [False, False, True, False], 72, False, [False, True, False, True], 3386, 'East', (12, 4))
Element 15: (2, (12, 4), ['', '.', '%', ''], [(13, 9), (17, 6), (17, 9)], [False, False, True, False], 70, False, [False, True, False, False], 3415, 'South', (12, 3))
Element 16: (2, (12, 3), ['.', '%', '', '.'], [(14, 9), (17, 5), (17, 10)], [False, True, False, False], 68, False, [True, False, False, True], 3444, 'East', (13, 3))
Element 17: (2, (13, 3), ['', '%', '', '.'], [(15, 9), (17, 4), (17, 11)], [False, True, False, False], 66, False, [False, False, False, True], 3483, 'East', (14, 3))
Element 18: (2, (14, 3), ['', '%', '', '.'], [(16, 9), (18, 4), (16, 11)], [False, True, False, False], 64, False, [False, False, False, True], 3522, 'East', (15, 3))
Element 19: (2, (15, 3), ['', '.', '%', '.'], [(17, 9), (17, 4), (16, 10)], [False, False, True, False], 62, False, [False, True, False, True], 3541, 'East', (16, 3))
Element 20: (2, (16, 3), ['', '.', '.', 'G'], [(18, 9), (17, 3), (15, 10)], [False, False, False, False], 60, False, [False, True, True, False], 3570, 'North', (16, 4))
Element 21: (2, (16, 4), ['%', '', '', ''], [(18, 10), (17, 2), (15, 11)], [True, False, False, False], 58, False, [False, False, False, False], 3599, 'East', (17, 4))
Element 22: (2, (17, 4), ['', '', '', ''], [(18, 11), (17, 1), (15, 12)], [False, False, False, False], 56, False, [False, False, False, False], 3618, 'East', (18, 4))
Element 23: (2, (18, 4), ['', '%', '%', '%'], [(18, 12), (18, 1), (14, 12)], [False, True, True, True], 54, False, [False, False, False, False], 3637, 'West', (17, 4))
Element 24: (2, (17, 4), ['', '', '', ''], [(18, 13), (17, 1), (14, 13)], [False, False, False, False], 52, False, [False, False, False, False], 3646, 'North', (17, 5))
Element 25: (2, (17, 5), ['', '', '', '%'], [(17, 13), (16, 1), (13, 13)], [False, False, False, True], 50, False, [False, False, False, False], 3665, 'North', (17, 6))
Element 26: (2, (17, 6), ['', '', '%', ''], [(17, 12), (16, 2), (12, 13)], [False, False, True, False], 48, False, [False, False, False, False], 3684, 'East', (18, 6))
Element 27: (2, (18, 6), ['', '%', '%', '%'], [(17, 11), (15, 2), (11, 13)], [False, True, True, True], 46, False, [False, False, False, False], 3703, 'West', (17, 6))
Element 28: (2, (17, 6), ['', '', '%', ''], [(17, 10), (15, 1), (11, 12)], [False, False, True, False], 44, False, [False, False, False, False], 3722, 'West', (16, 6))
Element 29: (2, (16, 6), ['', '', '', ''], [(16, 10), (14, 1), (11, 11)], [False, False, False, False], 42, False, [False, False, False, False], 3741, 'North', (16, 7))
Element 30: (2, (16, 7), ['', '', '%', '%'], [(16, 11), (13, 1), (12, 11)], [False, False, True, True], 40, False, [False, False, False, False], 3760, 'West', (15, 7))
Element 31: (2, (15, 7), ['', '', '%', ''], [(16, 12), (12, 1), (13, 11)], [False, False, True, False], 38, False, [False, False, False, False], 3779, 'South', (15, 6))
Element 32: (2, (15, 6), ['', '', '', ''], [(16, 13), (11, 1), (12, 11)], [False, False, False, False], 36, False, [False, False, False, False], 3788, 'South', (15, 5))
Element 33: #1#
