Element 1: (2, (9, 13), ['%', '.', '%', '%'], [(6, 13), (8, 4), (10, 6)], [True, False, True, True], 98, False, [False, True, False, False], 19, 'South', (9, 12))
Element 2: (2, (9, 12), ['.', '.', '', '.'], [(7, 13), (9, 4), (11, 6)], [False, False, False, False], 96, False, [True, True, False, True], 58, 'East', (10, 12))
Element 3: (2, (10, 12), ['', '.', '%', '.'], [(6, 13), (10, 4), (12, 6)], [False, False, True, False], 94, False, [False, True, False, True], 1077, 'East', (11, 12))
Element 4: (2, (11, 12), ['', '.', '.', '%'], [(6, 12), (11, 4), (13, 6)], [False, False, False, True], 92, False, [False, True, True, False], 1116, 'North', (11, 13))
Element 5: (2, (11, 13), ['%', '', '%', '.'], [(6, 11), (12, 4), (14, 6)], [True, False, True, False], 90, False, [False, False, False, True], 1155, 'East', (12, 13))
Element 6: (2, (12, 13), ['', '%', '%', '.'], [(7, 11), (13, 4), (15, 6)], [False, True, True, False], 88, False, [False, False, False, True], 1194, 'East', (13, 13))
Element 7: (2, (13, 13), ['', '%', '%', '.'], [(7, 10), (14, 4), (16, 6)], [False, True, True, False], 86, False, [False, False, False, True], 1233, 'East', (14, 13))
Element 8: (2, (14, 13), ['', '.', '%', '%'], [(8, 10), (14, 5), (17, 6)], [False, False, True, True], 84, False, [False, True, False, False], 1272, 'South', (14, 12))
Element 9: (2, (14, 12), ['%', '%', '', '.'], [(9, 10), (15, 5), (18, 6)], [True, True, False, False], 82, False, [False, False, False, True], 1311, 'East', (15, 12))
Element 10: (2, (15, 12), ['', '.', '%', '.'], [(9, 11), (16, 5), (17, 6)], [False, False, True, False], 80, False, [False, True, False, True], 1340, 'East', (16, 12))
Element 11: (2, (16, 12), ['', '.', '.', '.'], [(10, 11), (16, 4), (17, 5)], [False, False, False, False], 78, False, [False, True, True, True], 1379, 'East', (17, 12))
Element 12: (2, (17, 12), ['', '.', '.', '.'], [(11, 11), (16, 3), (17, 4)], [False, False, False, False], 76, False, [False, True, True, True], 1418, 'East', (18, 12))
Element 13: (2, (18, 12), ['', '.', '.', '%'], [(12, 11), (17, 3), (18, 4)], [False, False, False, True], 74, False, [False, True, True, False], 1457, 'North', (18, 13))
Element 14: (2, (18, 13), ['.', '', '%', '%'], [(13, 11), (17, 2), (17, 4)], [False, False, True, True], 72, False, [True, False, False, False], 1486, 'West', (17, 13))
Element 15: (2, (17, 13), ['.', '', '%', ''], [(12, 11), (17, 1), (17, 3)], [False, False, True, False], 70, False, [True, False, False, False], 1505, 'West', (16, 13))
Element 16: (2, (16, 13), ['%', '', '%', ''], [(11, 11), (18, 1), (17, 2)], [True, False, True, False], 68, False, [False, False, False, False], 1524, 'East', (17, 13))
Element 17: (2, (17, 13), ['', '', '%', ''], [(11, 12), (17, 1), (16, 2)], [False, False, True, False], 66, False, [False, False, False, False], 1533, 'East', (18, 13))
Element 18: (2, (18, 13), ['', '', '%', '%'], [(11, 13), (17, 2), (16, 1)], [False, False, True, True], 64, False, [False, False, False, False], 1542, 'South', (18, 12))
Element 19: (2, (18, 12), ['', '.', '', '%'], [(12, 13), (17, 1), (15, 1)], [False, False, False, True], 62, False, [False, True, False, False], 1551, 'South', (18, 11))
Element 20: (2, (18, 11), ['.', '.', '', '%'], [(13, 13), (17, 2), (15, 2)], [False, False, False, True], 60, False, [True, True, False, False], 1570, 'South', (18, 10))
Element 21: (2, (18, 10), ['.', '.', '', '%'], [(14, 13), (16, 2), (15, 3)], [False, False, False, True], 58, False, [True, True, False, False], 1589, 'South', (18, 9))
Element 22: (2, (18, 9), ['.', '.', '', '%'], [(14, 12), (16, 1), (14, 3)], [False, False, False, True], 56, False, [True, True, False, False], 1608, 'South', (18, 8))
Element 23: (2, (18, 8), ['.', '%', '', '%'], [(15, 12), (15, 1), (13, 3)], [False, True, False, True], 54, False, [True, False, False, False], 1627, 'West', (17, 8))
Element 24: (2, (17, 8), ['%', '%', '.', ''], [(15, 11), (14, 1), (12, 3)], [True, True, False, False], 52, False, [False, False, True, False], 1666, 'North', (17, 9))
Element 25: (2, (17, 9), ['.', '', '.', ''], [(16, 11), (13, 1), (11, 3)], [False, False, False, False], 50, False, [True, False, True, False], 1705, 'North', (17, 10))
Element 26: (2, (17, 10), ['.', '', 'G', ''], [(17, 11), (12, 1), (11, 2)], [False, False, False, False], 48, False, [True, False, False, False], 1744, 'West', (16, 10))
Element 27: (2, (16, 10), ['.', '.', '', ''], [(18, 11), (13, 1), (11, 1)], [False, False, False, False], 46, False, [True, True, False, False], 1763, 'South', (16, 9))
Element 28: (2, (16, 9), ['.', '%', '', ''], [(18, 12), (14, 1), (10, 1)], [False, True, False, False], 44, False, [True, False, False, False], 2772, 'West', (15, 9))
Element 29: (2, (15, 9), ['.', '%', '.', ''], [(18, 13), (15, 1), (10, 2)], [False, True, False, False], 42, False, [True, False, True, False], 2791, 'North', (15, 10))
Element 30: (2, (15, 10), ['%', '', '', ''], [(17, 13), (15, 2), (10, 1)], [True, False, False, False], 40, False, [False, False, False, False], 2800, 'North', (15, 11))
Element 31: (2, (15, 11), ['%', '', '', ''], [(17, 12), (15, 3), (9, 1)], [True, False, False, False], 38, False, [False, False, False, False], 2809, 'East', (16, 11))
Element 32: (2, (16, 11), ['', '', 'G', ''], [(16, 12), (14, 3), (8, 1)], [False, False, False, False], 36, False, [False, False, False, False], 2818, 'East', (17, 11))
Element 33: (2, (17, 11), ['', '', '', ''], [(16, 13), (13, 3), (7, 1)], [False, False, False, False], 34, False, [False, False, False, False], 2827, 'West', (16, 11))
Element 34: (2, (16, 11), ['', '', 'G', ''], [(16, 12), (12, 3), (6, 1)], [False, False, False, False], 32, False, [False, False, False, False], 2836, 'West', (15, 11))
Element 35: (2, (15, 11), ['%', '', '', ''], [(17, 12), (11, 3), (7, 1)], [True, False, False, False], 30, False, [False, False, False, False], 2835, 'South', (15, 10))
Element 36: (2, (15, 10), ['%', '', '', ''], [(17, 13), (11, 2), (8, 1)], [True, False, False, False], 28, False, [False, False, False, False], 2834, 'South', (15, 9))
Element 37: (2, (15, 9), ['.', '%', '', ''], [(16, 13), (11, 1), (9, 1)], [False, True, False, False], 26, False, [True, False, False, False], 2833, 'West', (14, 9))
Element 38: (2, (14, 9), ['.', '%', '%', ''], [(17, 13), (11, 2), (10, 1)], [False, True, True, False], 24, False, [True, False, False, False], 2842, 'West', (13, 9))
Element 39: (2, (13, 9), ['.', '.', '%', ''], [(18, 13), (10, 2), (11, 1)], [False, False, True, False], 22, False, [True, True, False, False], 2851, 'South', (13, 8))
Element 40: (2, (13, 8), ['.', '.', '', '%'], [(18, 12), (10, 1), (12, 1)], [False, False, False, True], 20, False, [True, True, False, False], 2860, 'South', (13, 7))
Element 41: (2, (13, 7), ['.', '', '', '.'], [(17, 12), (9, 1), (13, 1)], [False, False, False, False], 18, False, [True, False, False, True], 2869, 'East', (14, 7))
Element 42: (2, (14, 7), ['', '', '%', '.'], [(18, 12), (8, 1), (14, 1)], [False, False, True, False], 16, False, [False, False, False, True], 2878, 'East', (15, 7))
Element 43: (2, (15, 7), ['', '', '%', '.'], [(18, 11), (7, 1), (13, 1)], [False, False, True, False], 14, False, [False, False, False, True], 2887, 'East', (16, 7))
Element 44: (2, (16, 7), ['', '', '%', '%'], [(18, 10), (6, 1), (12, 1)], [False, False, True, True], 12, False, [False, False, False, False], 2896, 'South', (16, 6))
Element 45: (2, (16, 6), ['', '', '', ''], [(18, 9), (7, 1), (11, 1)], [False, False, False, False], 10, False, [False, False, False, False], 2895, 'East', (17, 6))
Element 46: (2, (17, 6), ['', '', '%', ''], [(18, 8), (8, 1), (11, 2)], [False, False, True, False], 8, False, [False, False, False, False], 2894, 'East', (18, 6))
Element 47: (2, (18, 6), ['', '%', '%', '%'], [(17, 8), (9, 1), (10, 2)], [False, True, True, True], 6, False, [False, False, False, False], 2893, 'West', (17, 6))
Element 48: (2, (17, 6), ['', '', '%', ''], [(17, 9), (10, 1), (11, 2)], [False, False, True, False], 4, False, [False, False, False, False], 2892, 'South', (17, 5))
Element 49: (2, (17, 5), ['', '', '', '%'], [(17, 10), (10, 2), (11, 3)], [False, False, False, True], 2, False, [False, False, False, False], 2891, 'South', (17, 4))
Element 50: (2, (17, 4), ['', '', '', ''], [(17, 10), (10, 2), (11, 4)], [False, False, False, False], 0, False, [False, False, False, False], 2890, 'Stop', (17, 4))
Element 51: #0#
