Element 38: (2, (11, 6), ['', '%', '.', 'F'], [(16, 10), (12, 8), (18, 13)], [False, True, False, False], 24, False, [False, False, True, False], 2812, 'East', (12, 6))
Element 39: (2, (12, 6), ['', '%', 'G', '.'], [(16, 9), (12, 7), (17, 13)], [False, True, False, False], 22, False, [False, False, False, True], 3821, 'East', (13, 6))
Element 40: (2, (13, 6), ['', '.', '', ''], [(15, 9), (11, 7), (16, 13)], [False, False, False, False], 20, False, [False, True, False, False], 3840, 'South', (13, 5))
Element 41: (2, (13, 5), ['%', '', '', ''], [(15, 10), (11, 6), (16, 12)], [True, False, False, False], 18, False, [False, False, False, False], 3849, 'East', (14, 5))
Element 42: (2, (14, 5), ['', '', '', ''], [(15, 11), (12, 6), (16, 11)], [False, False, False, False], 16, False, [False, False, False, False], 3848, 'East', (15, 5))
Element 43: (2, (15, 5), ['', '%', '', ''], [(15, 10), (13, 6), (16, 12)], [False, True, False, False], 14, False, [False, False, False, False], 3847, 'East', (16, 5))
Element 44: (2, (16, 5), ['', '.', '', ''], [(15, 9), (14, 6), (15, 12)], [False, False, False, False], 12, False, [False, True, False, False], 3846, 'South', (16, 4))
Element 45: (2, (16, 4), ['%', '.', '', '.'], [(14, 9), (15, 6), (15, 11)], [True, False, False, False], 10, False, [False, True, False, True], 3855, 'East', (17, 4))
Element 46: (2, (17, 4), ['', '.', '', '.'], [(13, 9), (16, 6), (15, 10)], [False, False, False, False], 8, False, [False, True, False, True], 3864, 'East', (18, 4))
Element 47: (2, (18, 4), ['', '%', '%', '%'], [(13, 8), (17, 6), (15, 11)], [False, True, True, True], 6, False, [False, False, False, False], 3873, 'West', (17, 4))
Element 48: (2, (17, 4), ['', '.', '', ''], [(13, 7), (18, 6), (15, 12)], [False, False, False, False], 4, False, [False, True, False, False], 3872, 'South', (17, 3))
Element 49: (2, (17, 3), ['.', '.', '', '%'], [(14, 7), (17, 6), (14, 12)], [False, False, False, True], 2, False, [True, True, False, False], 3881, 'South', (17, 2))
Element 50: (2, (17, 2), ['.', '.', '', '%'], [(14, 7), (17, 6), (14, 13)], [False, False, False, True], 0, False, [True, True, False, False], 3890, 'Stop', (17, 2))
Element 51: #0#
