Element 39: (2, (14, 13), ['', '', '%', '%'], [(10, 12), (3, 5), (9, 13)], [False, False, True, True], 22, False, [False, False, False, False], 501, 'South', (14, 12))
Element 40: (2, (14, 12), ['%', '%', '', ''], [(10, 11), (2, 5), (9, 12)], [True, True, False, False], 20, False, [False, False, False, False], 500, 'East', (15, 12))
Element 41: (2, (15, 12), ['', '', '%', ''], [(10, 12), (1, 5), (9, 11)], [False, False, True, False], 18, False, [False, False, False, False], 499, 'East', (16, 12))
Element 42: (2, (16, 12), ['', '', '', ''], [(9, 12), (1, 5), (9, 10)], [False, False, False, False], 16, False, [False, False, False, False], 498, 'East', (17, 12))
Element 43: (2, (17, 12), ['', '', '', ''], [(9, 11), (2, 5), (8, 10)], [False, False, False, False], 14, False, [False, False, False, False], 497, 'East', (18, 12))
Element 44: (2, (18, 12), ['', '', '', '%'], [(9, 10), (3, 5), (7, 10)], [False, False, False, True], 12, False, [False, False, False, False], 496, 'North', (18, 13))
Element 45: (2, (18, 13), ['', '', '%', '%'], [(8, 10), (4, 5), (7, 11)], [False, False, True, True], 10, False, [False, False, False, False], 495, 'West', (17, 13))
Element 46: (2, (17, 13), ['', '', '%', ''], [(7, 10), (3, 5), (6, 11)], [False, False, True, False], 8, False, [False, False, False, False], 494, 'West', (16, 13))
Element 47: (2, (16, 13), ['%', '', '%', ''], [(6, 10), (2, 5), (6, 12)], [True, False, True, False], 6, False, [False, False, False, False], 493, 'East', (17, 13))
Element 48: (2, (17, 13), ['', '', '%', ''], [(5, 10), (1, 5), (6, 13)], [False, False, True, False], 4, False, [False, False, False, False], 492, 'East', (18, 13))
Element 49: (2, (18, 13), ['', '', '%', '%'], [(4, 10), (1, 5), (7, 13)], [False, False, True, True], 2, False, [False, False, False, False], 501, 'South', (18, 12))
Element 50: (2, (18, 12), ['', '', '', '%'], [(4, 10), (1, 5), (6, 13)], [False, False, False, True], 0, False, [False, False, False, False], 500, 'Stop', (18, 12))
Element 51: #0#
