Element 36: (3, (14, 12), ['%', '%', '', ''], [(11, 1), (13, 9), (14, 5)], [True, True, False, False], 28, False, [False, False, False, False], 2684, 'North', (14, 13))
Element 37: (3, (14, 13), ['', '', '%', '%'], [(10, 1), (12, 9), (13, 5)], [False, False, True, True], 26, False, [False, False, False, False], 2693, 'West', (13, 13))
Element 38: (3, (13, 13), ['', '%', '%', ''], [(9, 1), (11, 9), (13, 4)], [False, True, True, False], 24, False, [False, False, False, False], 2712, 'West', (12, 13))
Element 39: (3, (12, 13), ['', '%', '%', ''], [(8, 1), (12, 9), (12, 4)], [False, True, True, False], 22, False, [False, False, False, False], 2721, 'West', (11, 13))
Element 40: (3, (11, 13), ['%', '', '%', ''], [(7, 1), (12, 8), (11, 4)], [True, False, True, False], 20, False, [False, False, False, False], 2730, 'South', (11, 12))
Element 41: (3, (11, 12), ['', '.', '', '%'], [(6, 1), (13, 8), (10, 4)], [False, False, False, True], 18, False, [False, True, False, False], 2749, 'South', (11, 11))
Element 42: (3, (11, 11), ['.', '%', '', '.'], [(7, 1), (13, 7), (10, 5)], [False, True, False, False], 16, False, [True, False, False, True], 2768, 'East', (12, 11))
Element 43: (3, (12, 11), ['', '%', '%', '.'], [(8, 1), (14, 7), (10, 6)], [False, True, True, False], 14, False, [False, False, False, True], 2787, 'East', (13, 11))
Element 44: (3, (13, 11), ['', '%', '%', '%'], [(9, 1), (15, 7), (9, 6)], [False, True, True, True], 12, False, [False, False, False, False], 2806, 'West', (12, 11))
Element 45: (3, (12, 11), ['', '%', '%', ''], [(10, 1), (16, 7), (9, 5)], [False, True, True, False], 10, False, [False, False, False, False], 2815, 'West', (11, 11))
Element 46: (3, (11, 11), ['.', '%', '', ''], [(10, 2), (16, 6), (9, 4)], [False, True, False, False], 8, False, [True, False, False, False], 2824, 'West', (10, 11))
Element 47: (3, (10, 11), ['.', '%', '', ''], [(10, 1), (17, 6), (9, 3)], [False, True, False, False], 6, False, [True, False, False, False], 2843, 'West', (9, 11))
Element 48: (3, (9, 11), ['%', '.', '.', ''], [(11, 1), (18, 6), (8, 3)], [True, False, False, False], 4, False, [False, True, True, False], 2862, 'North', (9, 12))
Element 49: (3, (9, 12), ['.', '', '.', ''], [(11, 2), (17, 6), (8, 4)], [False, False, False, False], 2, False, [True, False, True, False], 2881, 'North', (9, 13))
Element 50: (3, (9, 13), ['%', '', '%', '%'], [(11, 2), (17, 6), (8, 4)], [True, False, True, True], 0, False, [False, False, False, False], 2890, 'Stop', (9, 13))
Element 51: #0#
