Element 1: (3, (9, 13), ['%', '.', '%', '%'], [(6, 13), (8, 3), (8, 4)], [True, False, True, True], 98, False, [False, True, False, False], 29, 'South', (9, 12))
Element 2: (3, (9, 12), ['.', '.', '', '.'], [(6, 12), (9, 3), (9, 4)], [False, False, False, False], 96, False, [True, True, False, True], 68, 'East', (10, 12))
Element 3: (3, (10, 12), ['', '.', '%', '.'], [(6, 11), (8, 3), (10, 4)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (11, 12))
Element 4: (3, (11, 12), ['', '.', '.', '%'], [(7, 11), (7, 3), (11, 4)], [False, False, False, True], 92, False, [False, True, True, False], 126, 'North', (11, 13))
Element 5: (3, (11, 13), ['%', '', '%', '.'], [(7, 10), (6, 3), (12, 4)], [True, False, True, False], 90, False, [False, False, False, True], 165, 'East', (12, 13))
Element 6: (3, (12, 13), ['', '%', '%', '.'], [(8, 10), (6, 4), (13, 4)], [False, True, True, False], 88, False, [False, False, False, True], 204, 'East', (13, 13))
Element 7: (3, (13, 13), ['', '%', '%', '.'], [(9, 10), (6, 5), (14, 4)], [False, True, True, False], 86, False, [False, False, False, True], 1233, 'East', (14, 13))
Element 8: (3, (14, 13), ['', '.', '%', '%'], [(9, 11), (7, 5), (14, 5)], [False, False, True, True], 84, False, [False, True, False, False], 1272, 'South', (14, 12))
Element 9: (3, (14, 12), ['%', '%', '', '.'], [(10, 11), (8, 5), (15, 5)], [True, True, False, False], 82, False, [False, False, False, True], 1311, 'East', (15, 12))
Element 10: (3, (15, 12), ['', '.', '%', '.'], [(11, 11), (9, 5), (16, 5)], [False, False, True, False], 80, False, [False, True, False, True], 1350, 'East', (16, 12))
Element 11: (3, (16, 12), ['', '.', '.', '.'], [(12, 11), (10, 5), (17, 5)], [False, False, False, False], 78, False, [False, True, True, True], 1389, 'East', (17, 12))
Element 12: (3, (17, 12), ['', '.', '.', '.'], [(13, 11), (10, 6), (17, 6)], [False, False, False, False], 76, False, [False, True, True, True], 1428, 'East', (18, 12))
Element 13: (3, (18, 12), ['', '.', '.', '%'], [(12, 11), (11, 6), (18, 6)], [False, False, False, True], 74, False, [False, True, True, False], 1457, 'North', (18, 13))
Element 14: (3, (18, 13), ['.', '', '%', '%'], [(11, 11), (12, 6), (17, 6)], [False, False, True, True], 72, False, [True, False, False, False], 2466, 'West', (17, 13))
Element 15: (3, (17, 13), ['.', '', '%', ''], [(11, 12), (13, 6), (16, 6)], [False, False, True, False], 70, False, [True, False, False, False], 2495, 'West', (16, 13))
Element 16: (3, (16, 13), ['%', '', '%', ''], [(11, 13), (14, 6), (16, 7)], [True, False, True, False], 68, False, [False, False, False, False], 2524, 'East', (17, 13))
Element 17: (3, (17, 13), ['', '', '%', ''], [(12, 13), (15, 6), (15, 7)], [False, False, True, False], 66, False, [False, False, False, False], 2543, 'East', (18, 13))
Element 18: (3, (18, 13), ['', '', '%', '%'], [(13, 13), (16, 6), (14, 7)], [False, False, True, True], 64, False, [False, False, False, False], 2552, 'South', (18, 12))
Element 19: (3, (18, 12), ['', '.', '', '%'], [(14, 13), (17, 6), (13, 7)], [False, False, False, True], 62, False, [False, True, False, False], 2561, 'South', (18, 11))
Element 20: (3, (18, 11), ['.', '.', '', '%'], [(14, 12), (18, 6), (13, 8)], [False, False, False, True], 60, False, [True, True, False, False], 2580, 'South', (18, 10))
Element 21: (3, (18, 10), ['.', '.', '', '%'], [(15, 12), (17, 6), (13, 9)], [False, False, False, True], 58, False, [True, True, False, False], 2599, 'South', (18, 9))
Element 22: (3, (18, 9), ['.', '.', '', '%'], [(15, 11), (17, 5), (14, 9)], [False, False, False, True], 56, False, [True, True, False, False], 2628, 'South', (18, 8))
Element 23: (3, (18, 8), ['.', '%', '', '%'], [(16, 11), (17, 4), (15, 9)], [False, True, False, True], 54, False, [True, False, False, False], 2667, 'West', (17, 8))
Element 24: (3, (17, 8), ['%', '%', '.', ''], [(17, 11), (18, 4), (16, 9)], [True, True, False, False], 52, False, [False, False, True, False], 2706, 'North', (17, 9))
Element 25: (3, (17, 9), ['', '', 'G', ''], [(17, 10), (17, 4), (16, 10)], [False, False, False, False], 50, False, [False, False, False, False], 2735, 'West', (16, 9))
Element 26: (3, (16, 9), ['', '%', '', ''], [(18, 10), (17, 3), (15, 10)], [False, True, False, False], 48, False, [False, False, False, False], 2754, 'North', (16, 10))
Element 27: (3, (16, 10), ['', '', '', ''], [(18, 11), (17, 2), (15, 11)], [False, False, False, False], 46, False, [False, False, False, False], 2763, 'East', (17, 10))
Element 28: (3, (17, 10), ['', '', '', ''], [(18, 12), (17, 1), (16, 11)], [False, False, False, False], 44, False, [False, False, False, False], 2772, 'North', (17, 11))
Element 29: (3, (17, 11), ['', '', '', ''], [(18, 13), (18, 1), (16, 12)], [False, False, False, False], 42, False, [False, False, False, False], 2781, 'West', (16, 11))
Element 30: (3, (16, 11), ['', '', '', ''], [(17, 13), (17, 1), (17, 12)], [False, False, False, False], 40, False, [False, False, False, False], 2780, 'West', (15, 11))
Element 31: (3, (15, 11), ['%', '', '', ''], [(16, 13), (16, 1), (18, 12)], [True, False, False, False], 38, False, [False, False, False, False], 2789, 'South', (15, 10))
Element 32: (3, (15, 10), ['%', '', '', ''], [(16, 12), (16, 2), (18, 13)], [True, False, False, False], 36, False, [False, False, False, False], 2798, 'South', (15, 9))
Element 33: (3, (15, 9), ['', '%', '', ''], [(17, 12), (16, 3), (17, 13)], [False, True, False, False], 34, False, [False, False, False, False], 2807, 'West', (14, 9))
Element 34: (3, (14, 9), ['', '%', '%', ''], [(16, 12), (16, 4), (16, 13)], [False, True, True, False], 32, False, [False, False, False, False], 2816, 'West', (13, 9))
Element 35: (3, (13, 9), ['.', '', '%', ''], [(15, 12), (16, 5), (17, 13)], [False, False, True, False], 30, False, [True, False, False, False], 2815, 'West', (12, 9))
Element 36: (3, (12, 9), ['.', '.', '%', ''], [(14, 12), (15, 5), (18, 13)], [False, False, True, False], 28, False, [True, True, False, False], 2824, 'South', (12, 8))
Element 37: (3, (12, 8), ['%', '.', '', ''], [(14, 13), (14, 5), (18, 12)], [True, False, False, False], 26, False, [False, True, False, False], 2833, 'South', (12, 7))
Element 38: (3, (12, 7), ['.', '', '', ''], [(13, 13), (13, 5), (18, 11)], [False, False, False, False], 24, False, [True, False, False, False], 2852, 'West', (11, 7))
Element 39: (3, (11, 7), ['%', '', '%', ''], [(13, 13), (13, 4), (18, 10)], [True, False, True, False], 22, False, [False, False, False, False], 2861, 'South', (11, 6))
Element 40: (3, (11, 6), ['', '%', '', ''], [(13, 13), (13, 3), (18, 9)], [False, True, False, False], 20, False, [False, False, False, False], 2870, 'East', (12, 6))
Element 41: (3, (12, 6), ['', '%', '', ''], [(13, 13), (14, 3), (18, 8)], [False, True, False, False], 18, False, [False, False, False, False], 2879, 'East', (13, 6))
Element 42: (3, (13, 6), ['', '', '', ''], [(13, 13), (15, 3), (17, 8)], [False, False, False, False], 16, False, [False, False, False, False], 2888, 'East', (14, 6))
Element 43: (3, (14, 6), ['', '', '', ''], [(13, 13), (15, 2), (17, 9)], [False, False, False, False], 14, False, [False, False, False, False], 2897, 'East', (15, 6))
