Element 39: (2, (14, 6), ['', '', '', ''], [(12, 1), (3, 5), (9, 12)], [False, False, False, False], 22, False, [False, False, False, False], 2741, 'East', (15, 6))
Element 40: (2, (15, 6), ['', '', '', ''], [(11, 1), (2, 5), (9, 13)], [False, False, False, False], 20, False, [False, False, False, False], 2750, 'East', (16, 6))
Element 41: (2, (16, 6), ['', '', '', ''], [(10, 1), (1, 5), (9, 12)], [False, False, False, False], 18, False, [False, False, False, False], 2749, 'North', (16, 7))
Element 42: (2, (16, 7), ['', '', '%', '%'], [(9, 1), (1, 5), (9, 11)], [False, False, True, True], 16, False, [False, False, False, False], 2768, 'West', (15, 7))
Element 43: (2, (15, 7), ['', '', '%', ''], [(8, 1), (2, 5), (9, 10)], [False, False, True, False], 14, False, [False, False, False, False], 2787, 'South', (15, 6))
Element 44: (2, (15, 6), ['', '', '', ''], [(7, 1), (3, 5), (8, 10)], [False, False, False, False], 12, False, [False, False, False, False], 2806, 'North', (15, 7))
Element 45: (2, (15, 7), ['', '', '%', ''], [(6, 1), (4, 5), (7, 10)], [False, False, True, False], 10, False, [False, False, False, False], 2825, 'West', (14, 7))
Element 46: (2, (14, 7), ['', '', '%', ''], [(7, 1), (3, 5), (7, 11)], [False, False, True, False], 8, False, [False, False, False, False], 2834, 'South', (14, 6))
Element 47: (2, (14, 6), ['', '', '', ''], [(8, 1), (2, 5), (6, 11)], [False, False, False, False], 6, False, [False, False, False, False], 2843, 'North', (14, 7))
Element 48: (2, (14, 7), ['', '', '%', ''], [(9, 1), (1, 5), (6, 12)], [False, False, True, False], 4, False, [False, False, False, False], 2852, 'West', (13, 7))
Element 49: (2, (13, 7), ['', '', '.', ''], [(10, 1), (1, 5), (6, 13)], [False, False, False, False], 2, False, [False, False, True, False], 2861, 'North', (13, 8))
Element 50: (2, (13, 8), ['.', '', '', '%'], [(10, 1), (1, 5), (7, 13)], [False, False, False, True], 0, False, [True, False, False, False], 2880, 'Stop', (13, 8))
Element 51: #0#
