Element 1: (0, (15, 7), ['.', '.', '%', 'G'], [(5, 7), (13, 9), (16, 7)], [False, False, True, False], 98, False, [True, True, False, False], 0, 'South', (15, 6))
Element 2: (0, (15, 6), ['.', '.', '', 'G'], [(6, 7), (14, 9), (16, 6)], [False, False, False, False], 96, False, [True, True, False, False], 39, 'South', (15, 5))
Element 3: (0, (15, 5), ['.', '%', '', '.'], [(7, 7), (15, 9), (17, 6)], [False, True, False, False], 94, False, [True, False, False, True], 78, 'East', (16, 5))
Element 4: (0, (16, 5), ['', '.', '', '.'], [(8, 7), (16, 9), (18, 6)], [False, False, False, False], 92, False, [False, True, False, True], 1107, 'East', (17, 5))
Element 5: (0, (17, 5), ['', '.', 'G', '%'], [(8, 8), (17, 9), (17, 6)], [False, False, False, True], 90, False, [False, True, False, False], 1136, 'South', (17, 4))
Element 6: (0, (17, 4), ['.', '.', 'G', '.'], [(9, 8), (18, 9), (17, 5)], [False, False, False, False], 88, False, [True, True, False, True], 1165, 'East', (18, 4))
Element 7: (0, (18, 4), ['G', '%', '%', '%'], [(10, 8), (18, 10), (17, 4)], [False, True, True, True], 86, False, [False, False, False, False], 1194, 'Stop', (18, 4))
Element 8: (0, (18, 4), ['', '%', '%', '%'], [(9, 8), (18, 11), (17, 3)], [False, True, True, True], 84, False, [False, False, False, False], 1213, 'West', (17, 4))
Element 9: (0, (17, 4), ['.', '', '', ''], [(8, 8), (18, 12), (17, 2)], [False, False, False, False], 82, False, [True, False, False, False], 1232, 'Stop', (17, 4))
Element 10: (0, (17, 4), ['.', '', '', ''], [(8, 7), (18, 13), (17, 1)], [False, False, False, False], 80, False, [True, False, False, False], 1251, 'West', (16, 4))
Element 11: (0, (16, 4), ['%', '.', '', ''], [(8, 6), (17, 13), (18, 1)], [True, False, False, False], 78, False, [False, True, False, False], 1290, 'South', (16, 3))
Element 12: (0, (16, 3), ['.', '.', '', ''], [(9, 6), (17, 12), (17, 1)], [False, False, False, False], 76, False, [True, True, False, False], 1319, 'South', (16, 2))
Element 13: (0, (16, 2), ['.', 'G', '', ''], [(10, 6), (17, 11), (16, 1)], [False, False, False, False], 74, False, [True, False, False, False], 1358, 'West', (15, 2))
Element 14: (0, (15, 2), ['%', 'G', '.', ''], [(11, 6), (17, 10), (15, 1)], [True, False, False, False], 72, False, [False, False, True, False], 1397, 'North', (15, 3))
Element 15: (0, (15, 3), ['.', '', '%', ''], [(12, 6), (16, 10), (14, 1)], [False, False, True, False], 70, False, [True, False, False, False], 2426, 'West', (14, 3))
Element 16: (0, (14, 3), ['.', '%', '.', ''], [(13, 6), (16, 11), (13, 1)], [False, True, False, False], 68, False, [True, False, True, False], 2465, 'North', (14, 4))
Element 17: (0, (14, 4), ['.', '', '.', '%'], [(14, 6), (16, 12), (12, 1)], [False, False, False, True], 66, False, [True, False, True, False], 2504, 'North', (14, 5))
Element 18: (0, (14, 5), ['.', '', '', ''], [(14, 7), (16, 13), (11, 1)], [False, False, False, False], 64, False, [True, False, False, False], 2543, 'West', (13, 5))
Element 19: (0, (13, 5), ['%', '.', '', ''], [(13, 7), (16, 12), (10, 1)], [True, False, False, False], 62, False, [False, True, False, False], 3562, 'South', (13, 4))
Element 20: (0, (13, 4), ['.', '.', '', ''], [(13, 8), (15, 12), (10, 2)], [False, False, False, False], 60, False, [True, True, False, False], 3601, 'South', (13, 3))
Element 21: (0, (13, 3), ['.', '%', '', ''], [(12, 8), (15, 11), (11, 2)], [False, True, False, False], 58, False, [True, False, False, False], 3640, 'West', (12, 3))
Element 22: (0, (12, 3), ['G', '%', '.', ''], [(12, 9), (15, 10), (11, 3)], [False, True, False, False], 56, False, [False, False, True, False], 3679, 'North', (12, 4))
Element 23: (0, (12, 4), ['G', '', '%', ''], [(11, 9), (15, 11), (11, 4)], [False, False, True, False], 54, False, [False, False, False, False], 3708, 'South', (12, 3))
Element 24: (0, (12, 3), ['', '%', '', ''], [(12, 9), (15, 12), (10, 4)], [False, True, False, False], 52, False, [False, False, False, False], 3717, 'East', (13, 3))
Element 25: (0, (13, 3), ['', '%', '', ''], [(13, 9), (14, 12), (10, 5)], [False, True, False, False], 50, False, [False, False, False, False], 3736, 'North', (13, 4))
Element 26: (0, (13, 4), ['', '', '', ''], [(14, 9), (14, 13), (9, 5)], [False, False, False, False], 48, False, [False, False, False, False], 3755, 'West', (12, 4))
Element 27: (0, (12, 4), ['', '', '%', ''], [(15, 9), (13, 13), (9, 4)], [False, False, True, False], 46, False, [False, False, False, False], 3774, 'East', (13, 4))
Element 28: (0, (13, 4), ['', '', '', ''], [(16, 9), (12, 13), (9, 3)], [False, False, False, False], 44, False, [False, False, False, False], 3793, 'North', (13, 5))
Element 29: (0, (13, 5), ['%', '', '', ''], [(17, 9), (11, 13), (8, 3)], [True, False, False, False], 42, False, [False, False, False, False], 3812, 'North', (13, 6))
Element 30: (0, (13, 6), ['', '', '', ''], [(17, 8), (11, 12), (8, 4)], [False, False, False, False], 40, False, [False, False, False, False], 3841, 'East', (14, 6))
Element 31: (0, (14, 6), ['', '', '', ''], [(18, 8), (11, 11), (8, 5)], [False, False, False, False], 38, False, [False, False, False, False], 3870, 'North', (14, 7))
Element 32: (0, (14, 7), ['', '', '%', ''], [(18, 9), (12, 11), (7, 5)], [False, False, True, False], 36, False, [False, False, False, False], 3889, 'West', (13, 7))
Element 33: #1#
