Element 1: (1, (6, 6), ['%', 'F', '.', '.'], [(18, 12), (8, 3), (10, 11)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'South', (6, 5))
Element 2: (1, (6, 5), ['%', '.', '', '.'], [(18, 13), (9, 3), (11, 11)], [True, False, False, False], 96, False, [False, True, False, True], 1038, 'East', (7, 5))
Element 3: (1, (7, 5), ['', '.', '.', '.'], [(17, 13), (9, 4), (12, 11)], [False, False, False, False], 94, False, [False, True, True, True], 1077, 'East', (8, 5))
Element 4: (1, (8, 5), ['', '.', '.', '.'], [(16, 13), (10, 4), (13, 11)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (9, 5))
Element 5: (1, (9, 5), ['', '', '.', '.'], [(16, 12), (11, 4), (12, 11)], [False, False, False, False], 90, False, [False, False, True, True], 1145, 'East', (10, 5))
Element 6: (1, (10, 5), ['', '', '.', '%'], [(16, 11), (12, 4), (11, 11)], [False, False, False, True], 88, False, [False, False, True, False], 1174, 'North', (10, 6))
Element 7: (1, (10, 6), ['.', '', '%', '.'], [(17, 11), (13, 4), (11, 12)], [False, False, True, False], 86, False, [True, False, False, True], 1213, 'East', (11, 6))
Element 8: (1, (11, 6), ['', '%', '.', 'F'], [(18, 11), (14, 4), (11, 13)], [False, True, False, False], 84, False, [False, False, True, False], 1252, 'East', (12, 6))
Element 9: (1, (12, 6), ['', '%', '.', '.'], [(18, 10), (14, 5), (12, 13)], [False, True, False, False], 82, False, [False, False, True, True], 2281, 'East', (13, 6))
Element 10: (1, (13, 6), ['', '.', '.', '.'], [(18, 9), (15, 5), (13, 13)], [False, False, False, False], 80, False, [False, True, True, True], 2320, 'East', (14, 6))
Element 11: (1, (14, 6), ['', '', '.', '.'], [(18, 8), (16, 5), (14, 13)], [False, False, False, False], 78, False, [False, False, True, True], 2359, 'East', (15, 6))
Element 12: (1, (15, 6), ['', '', '.', '.'], [(17, 8), (17, 5), (14, 12)], [False, False, False, False], 76, False, [False, False, True, True], 2398, 'East', (16, 6))
Element 13: (1, (16, 6), ['', '', '.', 'G'], [(17, 9), (17, 6), (15, 12)], [False, False, False, False], 74, False, [False, False, True, False], 2437, 'North', (16, 7))
Element 14: (1, (16, 7), ['.', '', '%', '%'], [(17, 10), (18, 6), (15, 11)], [False, False, True, True], 72, False, [True, False, False, False], 2476, 'West', (15, 7))
Element 15: (1, (15, 7), ['.', '', '%', ''], [(16, 10), (17, 6), (15, 10)], [False, False, True, False], 70, False, [True, False, False, False], 2505, 'West', (14, 7))
Element 16: (1, (14, 7), ['.', '', '%', ''], [(16, 9), (16, 6), (15, 9)], [False, False, True, False], 68, False, [True, False, False, False], 2534, 'West', (13, 7))
Element 17: (1, (13, 7), ['.', '', '.', ''], [(15, 9), (16, 7), (14, 9)], [False, False, False, False], 66, False, [True, False, True, False], 2553, 'North', (13, 8))
Element 18: (1, (13, 8), ['.', '', 'G', '%'], [(15, 10), (15, 7), (13, 9)], [False, False, False, True], 64, False, [True, False, False, False], 2572, 'West', (12, 8))
Element 19: (1, (12, 8), ['%', '.', 'G', ''], [(15, 11), (15, 6), (12, 9)], [True, False, False, False], 62, False, [False, True, False, False], 2591, 'South', (12, 7))
Element 20: (1, (12, 7), ['.', '', '', ''], [(15, 12), (14, 6), (11, 9)], [False, False, False, False], 60, False, [True, False, False, False], 2610, 'West', (11, 7))
Element 21: (1, (11, 7), ['%', '', '%', ''], [(14, 12), (14, 7), (12, 9)], [True, False, True, False], 58, False, [False, False, False, False], 2619, 'East', (12, 7))
Element 22: (1, (12, 7), ['', '', 'G', 'G'], [(14, 13), (13, 7), (12, 8)], [False, False, False, False], 56, False, [False, False, False, False], 2618, 'West', (11, 7))
Element 23: (1, (11, 7), ['%', '', '%', 'G'], [(13, 13), (13, 8), (12, 7)], [True, False, True, False], 54, False, [False, False, False, False], 2617, 'South', (11, 6))
Element 24: (1, (11, 6), ['', '%', '', ''], [(12, 13), (13, 9), (13, 7)], [False, True, False, False], 52, False, [False, False, False, False], 2616, 'West', (10, 6))
Element 25: (1, (10, 6), ['.', '', '%', ''], [(11, 13), (14, 9), (14, 7)], [False, False, True, False], 50, False, [True, False, False, False], 2615, 'Stop', (10, 6))
Element 26: (1, (10, 6), ['.', '', '%', ''], [(11, 12), (15, 9), (15, 7)], [False, False, True, False], 48, False, [True, False, False, False], 2614, 'Stop', (10, 6))
Element 27: (1, (10, 6), ['.', '', '%', ''], [(10, 12), (16, 9), (16, 7)], [False, False, True, False], 46, False, [True, False, False, False], 2623, 'Stop', (10, 6))
Element 28: (1, (10, 6), ['.', '', '%', ''], [(9, 12), (17, 9), (16, 6)], [False, False, True, False], 44, False, [True, False, False, False], 2632, 'Stop', (10, 6))
Element 29: (1, (10, 6), ['.', '', '%', ''], [(9, 13), (18, 9), (17, 6)], [False, False, True, False], 42, False, [True, False, False, False], 2641, 'Stop', (10, 6))
Element 30: (1, (10, 6), ['.', '', '%', ''], [(9, 12), (18, 10), (18, 6)], [False, False, True, False], 40, False, [True, False, False, False], 2640, 'East', (11, 6))
Element 31: (1, (11, 6), ['', '%', '', ''], [(9, 11), (18, 11), (17, 6)], [False, True, False, False], 38, False, [False, False, False, False], 2649, 'Stop', (11, 6))
Element 32: (1, (11, 6), ['', '%', '', ''], [(9, 10), (18, 12), (17, 5)], [False, True, False, False], 36, False, [False, False, False, False], 2658, 'East', (12, 6))
Element 33: (1, (12, 6), ['', '%', '', ''], [(8, 10), (18, 13), (17, 4)], [False, True, False, False], 34, False, [False, False, False, False], 2677, 'East', (13, 6))
Element 34: (1, (13, 6), ['', '.', '', ''], [(7, 10), (17, 13), (18, 4)], [False, False, False, False], 32, False, [False, True, False, False], 2696, 'North', (13, 7))
Element 35: (1, (13, 7), ['', '', '', ''], [(7, 11), (17, 12), (17, 4)], [False, False, False, False], 30, False, [False, False, False, False], 2705, 'South', (13, 6))
Element 36: (1, (13, 6), ['', '.', '', ''], [(6, 11), (17, 11), (17, 3)], [False, False, False, False], 28, False, [False, True, False, False], 2724, 'South', (13, 5))
Element 37: (1, (13, 5), ['%', '', '', ''], [(6, 12), (17, 10), (17, 2)], [True, False, False, False], 26, False, [False, False, False, False], 2753, 'East', (14, 5))
Element 38: (1, (14, 5), ['', '', '', ''], [(6, 13), (16, 10), (17, 1)], [False, False, False, False], 24, False, [False, False, False, False], 2772, 'East', (15, 5))
Element 39: (1, (15, 5), ['', '%', '', ''], [(7, 13), (16, 11), (18, 1)], [False, True, False, False], 22, False, [False, False, False, False], 2791, 'East', (16, 5))
Element 40: (1, (16, 5), ['', '.', '', ''], [(6, 13), (16, 12), (17, 1)], [False, False, False, False], 20, False, [False, True, False, False], 2790, 'South', (16, 4))
Element 41: (1, (16, 4), ['%', '.', '', ''], [(5, 13), (16, 13), (16, 1)], [True, False, False, False], 18, False, [False, True, False, False], 2819, 'South', (16, 3))
Element 42: (1, (16, 3), ['.', 'G', '', ''], [(5, 12), (16, 12), (16, 2)], [False, False, False, False], 16, False, [True, False, False, False], 2848, 'West', (15, 3))
Element 43: (1, (15, 3), ['.', 'G', '%', ''], [(5, 11), (15, 12), (15, 2)], [False, False, True, False], 14, False, [True, False, False, False], 2877, 'West', (14, 3))
Element 44: (1, (14, 3), ['.', '%', '', ''], [(5, 10), (15, 11), (15, 1)], [False, True, False, False], 12, False, [True, False, False, False], 2906, 'West', (13, 3))
Element 45: (1, (13, 3), ['.', '%', '', ''], [(6, 10), (15, 10), (14, 1)], [False, True, False, False], 10, False, [True, False, False, False], 2935, 'West', (12, 3))
Element 46: (1, (12, 3), ['.', '%', '', ''], [(5, 10), (15, 11), (13, 1)], [False, True, False, False], 8, False, [True, False, False, False], 2954, 'West', (11, 3))
Element 47: (1, (11, 3), ['%', '.', '', ''], [(4, 10), (15, 12), (12, 1)], [True, False, False, False], 6, False, [False, True, False, False], 2983, 'South', (11, 2))
Element 48: (1, (11, 2), ['.', 'G', '', '%'], [(3, 10), (14, 12), (11, 1)], [False, False, False, True], 4, False, [True, False, False, False], 3012, 'West', (10, 2))
Element 49: (1, (10, 2), ['%', 'G', '%', ''], [(4, 10), (14, 13), (10, 1)], [True, False, True, False], 2, False, [False, False, False, False], 4021, 'East', (11, 2))
Element 50: (1, (11, 2), ['', '', '', '%'], [(4, 10), (13, 13), (9, 1)], [False, False, False, True], 0, False, [False, False, False, False], 4030, 'Stop', (11, 2))
Element 51: #0#
