Element 20: (2, (3, 8), ['.', '%', '%', ''], [(15, 12), (17, 6), (14, 9)], [False, True, True, False], 60, False, [True, False, False, False], 2610, 'West', (2, 8))
Element 21: (2, (2, 8), ['%', '%', '.', ''], [(16, 12), (16, 6), (15, 9)], [True, True, False, False], 58, False, [False, False, True, False], 2639, 'North', (2, 9))
Element 22: (2, (2, 9), ['.', '', '%', '%'], [(17, 12), (16, 7), (16, 9)], [False, False, True, True], 56, False, [True, False, False, False], 2668, 'West', (1, 9))
Element 23: (2, (1, 9), ['%', '%', '%', ''], [(18, 12), (15, 7), (17, 9)], [True, True, True, False], 54, False, [False, False, False, False], 2697, 'East', (2, 9))
Element 24: (2, (2, 9), ['', '', '%', '%'], [(18, 13), (15, 6), (18, 9)], [False, False, True, True], 52, False, [False, False, False, False], 2716, 'South', (2, 8))
Element 25: (2, (2, 8), ['%', '%', '', ''], [(17, 13), (15, 5), (18, 10)], [True, True, False, False], 50, False, [False, False, False, False], 2735, 'East', (3, 8))
Element 26: (2, (3, 8), ['', '%', '%', ''], [(16, 13), (14, 5), (18, 11)], [False, True, True, False], 48, False, [False, False, False, False], 2754, 'East', (4, 8))
Element 27: (2, (4, 8), ['', '', '%', ''], [(17, 13), (13, 5), (17, 11)], [False, False, True, False], 46, False, [False, False, False, False], 2773, 'East', (5, 8))
Element 28: (2, (5, 8), ['', '', '%', '%'], [(18, 13), (13, 6), (17, 10)], [False, False, True, True], 44, False, [False, False, False, False], 2792, 'South', (5, 7))
Element 29: (2, (5, 7), ['', '%', '', ''], [(18, 12), (12, 6), (16, 10)], [False, True, False, False], 42, False, [False, False, False, False], 3801, 'West', (4, 7))
Element 30: (2, (4, 7), ['%', '%', '', ''], [(18, 11), (12, 7), (16, 11)], [True, True, False, False], 40, False, [False, False, False, False], 3820, 'East', (5, 7))
Element 31: (2, (5, 7), ['', '%', '', ''], [(18, 10), (12, 8), (15, 11)], [False, True, False, False], 38, False, [False, False, False, False], 3839, 'East', (6, 7))
Element 32: (2, (6, 7), ['', '', '%', ''], [(18, 9), (12, 9), (15, 10)], [False, False, True, False], 36, False, [False, False, False, False], 3858, 'East', (7, 7))
Element 33: (2, (7, 7), ['', '', '%', ''], [(18, 8), (11, 9), (15, 11)], [False, False, True, False], 34, False, [False, False, False, False], 3877, 'East', (8, 7))
Element 34: (2, (8, 7), ['', '', '', '%'], [(17, 8), (12, 9), (15, 12)], [False, False, False, True], 32, False, [False, False, False, False], 3886, 'South', (8, 6))
Element 35: (2, (8, 6), ['', '.', '', '.'], [(17, 9), (13, 9), (16, 12)], [False, False, False, False], 30, False, [False, True, False, True], 3885, 'East', (9, 6))
Element 36: (2, (9, 6), ['', '.', '%', '.'], [(17, 10), (14, 9), (17, 12)], [False, False, True, False], 28, False, [False, True, False, True], 3894, 'East', (10, 6))
Element 37: (2, (10, 6), ['', '.', '%', '.'], [(17, 11), (15, 9), (18, 12)], [False, False, True, False], 26, False, [False, True, False, True], 3903, 'East', (11, 6))
Element 38: (2, (11, 6), ['', '%', '.', ''], [(16, 11), (16, 9), (18, 13)], [False, True, False, False], 24, False, [False, False, True, False], 3912, 'North', (11, 7))
Element 39: (2, (11, 7), ['%', '', '%', ''], [(16, 10), (17, 9), (17, 13)], [True, False, True, False], 22, False, [False, False, False, False], 3921, 'East', (12, 7))
Element 40: (2, (12, 7), ['', '', '', ''], [(16, 9), (18, 9), (16, 13)], [False, False, False, False], 20, False, [False, False, False, False], 3920, 'East', (13, 7))
Element 41: (2, (13, 7), ['', '', '', ''], [(15, 9), (18, 10), (17, 13)], [False, False, False, False], 18, False, [False, False, False, False], 3919, 'East', (14, 7))
Element 42: (2, (14, 7), ['', '', '%', ''], [(15, 10), (18, 11), (18, 13)], [False, False, True, False], 16, False, [False, False, False, False], 3918, 'East', (15, 7))
Element 43: (2, (15, 7), ['', '', '%', ''], [(15, 11), (17, 11), (18, 12)], [False, False, True, False], 14, False, [False, False, False, False], 3917, 'East', (16, 7))
Element 44: (2, (16, 7), ['', '', '%', '%'], [(15, 10), (17, 10), (17, 12)], [False, False, True, True], 12, False, [False, False, False, False], 3916, 'South', (16, 6))
Element 45: (2, (16, 6), ['', '', '', ''], [(15, 9), (16, 10), (17, 13)], [False, False, False, False], 10, False, [False, False, False, False], 3915, 'East', (17, 6))
Element 46: (2, (17, 6), ['', '', '%', ''], [(14, 9), (16, 11), (17, 12)], [False, False, True, False], 8, False, [False, False, False, False], 3914, 'East', (18, 6))
Element 47: (2, (18, 6), ['', '%', '%', '%'], [(13, 9), (15, 11), (16, 12)], [False, True, True, True], 6, False, [False, False, False, False], 3913, 'West', (17, 6))
Element 48: (2, (17, 6), ['', '', '%', ''], [(13, 8), (15, 12), (16, 13)], [False, False, True, False], 4, False, [False, False, False, False], 3912, 'South', (17, 5))
Element 49: (2, (17, 5), ['', '', '', '%'], [(13, 7), (14, 12), (16, 12)], [False, False, False, True], 2, False, [False, False, False, False], 3911, 'South', (17, 4))
Element 50: (2, (17, 4), ['', '', '', ''], [(13, 7), (14, 12), (15, 12)], [False, False, False, False], 0, False, [False, False, False, False], 3910, 'Stop', (17, 4))
Element 51: #0#
