Element 1: (2, (12, 7), ['.', 'F', '.', '.'], [(17, 13), (10, 6), (16, 2)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'South', (12, 6))
Element 2: (2, (12, 6), ['G', '%', '', '.'], [(18, 13), (11, 6), (17, 2)], [False, True, False, False], 96, False, [False, False, False, True], 1048, 'East', (13, 6))
Element 3: (2, (13, 6), ['', '.', '.', '.'], [(18, 12), (11, 7), (17, 3)], [False, False, False, False], 94, False, [False, True, True, True], 1087, 'East', (14, 6))
Element 4: (2, (14, 6), ['', '.', '.', '.'], [(18, 11), (12, 7), (17, 4)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (15, 6))
Element 5: (2, (15, 6), ['', '.', '.', '.'], [(18, 10), (13, 7), (18, 4)], [False, False, False, False], 90, False, [False, True, True, True], 1155, 'East', (16, 6))
Element 6: (2, (16, 6), ['', '.', '.', '.'], [(18, 9), (14, 7), (17, 4)], [False, False, False, False], 88, False, [False, True, True, True], 1184, 'East', (17, 6))
Element 7: (2, (17, 6), ['', 'G', '%', '.'], [(18, 8), (15, 7), (17, 5)], [False, False, True, False], 86, False, [False, False, False, True], 1223, 'East', (18, 6))
Element 8: (2, (18, 6), ['', '%', '%', '%'], [(17, 8), (16, 7), (16, 5)], [False, True, True, True], 84, False, [False, False, False, False], 1262, 'West', (17, 6))
Element 9: (2, (17, 6), ['G', '', '%', ''], [(17, 9), (16, 6), (16, 4)], [False, False, True, False], 82, False, [False, False, False, False], 1281, 'South', (17, 5))
Element 10: (2, (17, 5), ['', '', 'G', '%'], [(17, 10), (17, 6), (16, 3)], [False, False, False, True], 80, False, [False, False, False, False], 1300, 'South', (17, 4))
Element 11: (2, (17, 4), ['', '', '', ''], [(17, 11), (18, 6), (15, 3)], [False, False, False, False], 78, False, [False, False, False, False], 1319, 'East', (18, 4))
Element 12: (2, (18, 4), ['', '%', '%', '%'], [(17, 12), (17, 6), (15, 2)], [False, True, True, True], 76, False, [False, False, False, False], 1338, 'West', (17, 4))
Element 13: (2, (17, 4), ['', '', 'G', ''], [(16, 12), (17, 5), (15, 1)], [False, False, False, False], 74, False, [False, False, False, False], 1357, 'South', (17, 3))
Element 14: (2, (17, 3), ['', '', 'G', '%'], [(16, 11), (17, 4), (16, 1)], [False, False, False, True], 72, False, [False, False, False, False], 1376, 'South', (17, 2))
Element 15: (2, (17, 2), ['', 'G', '', '%'], [(16, 10), (18, 4), (17, 1)], [False, False, False, True], 70, False, [False, False, False, False], 1395, 'West', (16, 2))
Element 16: (2, (16, 2), ['', '', '', ''], [(16, 9), (17, 4), (18, 1)], [False, False, False, False], 68, False, [False, False, False, False], 1414, 'North', (16, 3))
Element 17: (2, (16, 3), ['', '', '', 'G'], [(15, 9), (17, 3), (17, 1)], [False, False, False, False], 66, False, [False, False, False, False], 1423, 'North', (16, 4))
Element 18: (2, (16, 4), ['%', '', '', ''], [(15, 10), (17, 2), (16, 1)], [True, False, False, False], 64, False, [False, False, False, False], 1432, 'North', (16, 5))
Element 19: (2, (16, 5), ['.', '', '', ''], [(15, 11), (17, 1), (15, 1)], [False, False, False, False], 62, False, [True, False, False, False], 1441, 'West', (15, 5))
