Element 1: (2, (8, 3), ['.', '%', '.', '.'], [(4, 2), (5, 12), (18, 13)], [False, True, False, False], 98, False, [True, False, True, True], 19, 'East', (9, 3))
Element 2: (2, (9, 3), ['', '%', '.', '%'], [(4, 1), (6, 12), (18, 12)], [False, True, False, True], 96, False, [False, False, True, False], 58, 'North', (9, 4))
Element 3: (2, (9, 4), ['.', '', '.', '.'], [(3, 1), (6, 13), (18, 11)], [False, False, False, False], 94, False, [True, False, True, True], 97, 'East', (10, 4))
Element 4: (2, (10, 4), ['', '%', '.', '.'], [(3, 2), (7, 13), (18, 10)], [False, True, False, False], 92, False, [False, False, True, True], 136, 'East', (11, 4))
Element 5: (2, (11, 4), ['', '.', '%', '.'], [(2, 2), (6, 13), (18, 9)], [False, False, True, False], 90, False, [False, True, False, True], 165, 'East', (12, 4))
Element 6: (2, (12, 4), ['', '.', '%', '.'], [(2, 1), (5, 13), (18, 8)], [False, False, True, False], 88, False, [False, True, False, True], 204, 'East', (13, 4))
Element 7: (2, (13, 4), ['', '.', '.', '.'], [(1, 1), (6, 13), (17, 8)], [False, False, False, False], 86, False, [False, True, True, True], 233, 'East', (14, 4))
Element 8: (2, (14, 4), ['', '.', '.', '%'], [(1, 2), (6, 12), (17, 9)], [False, False, False, True], 84, False, [False, True, True, False], 262, 'North', (14, 5))
Element 9: (2, (14, 5), ['.', '', '.', '.'], [(1, 1), (6, 11), (17, 10)], [False, False, False, False], 82, False, [True, False, True, True], 291, 'East', (15, 5))
Element 10: (2, (15, 5), ['', '%', '.', '.'], [(2, 1), (7, 11), (17, 11)], [False, True, False, False], 80, False, [False, False, True, True], 320, 'East', (16, 5))
Element 11: (2, (16, 5), ['', '.', '.', '.'], [(2, 2), (7, 10), (17, 12)], [False, False, False, False], 78, False, [False, True, True, True], 349, 'East', (17, 5))
Element 12: (2, (17, 5), ['', '.', '.', '%'], [(1, 2), (8, 10), (17, 13)], [False, False, False, True], 76, False, [False, True, True, False], 378, 'North', (17, 6))
Element 13: (2, (17, 6), ['.', '', '%', '.'], [(2, 2), (9, 10), (16, 13)], [False, False, True, False], 74, False, [True, False, False, True], 407, 'East', (18, 6))
Element 14: (2, (18, 6), ['', '%', '%', '%'], [(3, 2), (9, 11), (16, 12)], [False, True, True, True], 72, False, [False, False, False, False], 436, 'West', (17, 6))
Element 15: (2, (17, 6), ['.', '', '%', ''], [(3, 1), (10, 11), (16, 11)], [False, False, True, False], 70, False, [True, False, False, False], 455, 'West', (16, 6))
Element 16: (2, (16, 6), ['.', '', '.', ''], [(2, 1), (11, 11), (16, 10)], [False, False, False, False], 68, False, [True, False, True, False], 484, 'North', (16, 7))
Element 17: (2, (16, 7), ['.', '', '%', '%'], [(3, 1), (12, 11), (16, 9)], [False, False, True, True], 66, False, [True, False, False, False], 513, 'West', (15, 7))
Element 18: (2, (15, 7), ['.', '.', '%', ''], [(4, 1), (13, 11), (15, 9)], [False, False, True, False], 64, False, [True, True, False, False], 542, 'South', (15, 6))
Element 19: (2, (15, 6), ['.', '', '', ''], [(4, 2), (12, 11), (15, 10)], [False, False, False, False], 62, False, [True, False, False, False], 561, 'West', (14, 6))
Element 20: (2, (14, 6), ['.', '', '.', ''], [(3, 2), (11, 11), (15, 11)], [False, False, False, False], 60, False, [True, False, True, False], 580, 'North', (14, 7))
Element 21: (2, (14, 7), ['.', '', '%', ''], [(4, 2), (11, 12), (15, 12)], [False, False, True, False], 58, False, [True, False, False, False], 609, 'West', (13, 7))
Element 22: (2, (13, 7), ['.', '.', '.', ''], [(5, 2), (11, 13), (14, 12)], [False, False, False, False], 56, False, [True, True, True, False], 638, 'North', (13, 8))
Element 23: (2, (13, 8), ['.', '', '.', '%'], [(5, 2), (12, 13), (14, 13)], [False, False, False, True], 54, False, [True, False, True, False], 667, 'North', (13, 9))
Element 24: (2, (13, 9), ['.', '', '%', '.'], [(4, 2), (11, 13), (13, 13)], [False, False, True, False], 52, False, [True, False, False, True], 686, 'East', (14, 9))
Element 25: (2, (14, 9), ['', '%', '%', ''], [(4, 1), (11, 12), (12, 13)], [False, True, True, False], 50, False, [False, False, False, False], 695, 'East', (15, 9))
Element 26: (2, (15, 9), ['', '%', '', ''], [(3, 1), (10, 12), (11, 13)], [False, True, False, False], 48, False, [False, False, False, False], 704, 'East', (16, 9))
