Element 1: (3, (12, 8), ['%', '', '.', '.'], [(11, 4), (8, 7), (12, 6)], [True, False, False, False], 98, False, [False, False, True, True], 2009, 'East', (13, 8))
Element 2: (3, (13, 8), ['', '.', '.', '%'], [(12, 4), (8, 6), (13, 6)], [False, False, False, True], 96, False, [False, True, True, False], 2048, 'North', (13, 9))
Element 3: (3, (13, 9), ['.', '', '%', '.'], [(13, 4), (9, 6), (14, 6)], [False, False, True, False], 94, False, [True, False, False, True], 2087, 'East', (14, 9))
Element 4: (3, (14, 9), ['', '%', '%', '.'], [(14, 4), (10, 6), (15, 6)], [False, True, True, False], 92, False, [False, False, False, True], 2126, 'East', (15, 9))
Element 5: (3, (15, 9), ['', '%', '.', '.'], [(14, 5), (11, 6), (16, 6)], [False, True, False, False], 90, False, [False, False, True, True], 2165, 'East', (16, 9))
Element 6: (3, (16, 9), ['', '%', '.', '.'], [(15, 5), (11, 7), (17, 6)], [False, True, False, False], 88, False, [False, False, True, True], 2204, 'East', (17, 9))
Element 7: (3, (17, 9), ['', '.', '.', '.'], [(16, 5), (12, 7), (18, 6)], [False, False, False, False], 86, False, [False, True, True, True], 2233, 'East', (18, 9))
Element 8: (3, (18, 9), ['', '.', '.', '%'], [(17, 5), (13, 7), (17, 6)], [False, False, False, True], 84, False, [False, True, True, False], 2262, 'North', (18, 10))
Element 9: (3, (18, 10), ['.', '', '.', '%'], [(17, 4), (14, 7), (17, 5)], [False, False, False, True], 82, False, [True, False, True, False], 2291, 'North', (18, 11))
Element 10: (3, (18, 11), ['.', '', '.', '%'], [(18, 4), (15, 7), (17, 4)], [False, False, False, True], 80, False, [True, False, True, False], 2320, 'North', (18, 12))
Element 11: (3, (18, 12), ['.', '', '.', '%'], [(18, 4), (16, 7), (17, 3)], [False, False, False, True], 78, False, [True, False, True, False], 2349, 'North', (18, 13))
Element 12: (3, (18, 13), ['.', '', '%', '%'], [(17, 4), (16, 6), (17, 2)], [False, False, True, True], 76, False, [True, False, False, False], 2368, 'West', (17, 13))
Element 13: (3, (17, 13), ['.', '.', '%', ''], [(17, 4), (17, 6), (17, 1)], [False, False, True, False], 74, False, [True, True, False, False], 2387, 'South', (17, 12))
Element 14: (3, (17, 12), ['.', '.', '', ''], [(16, 4), (18, 6), (18, 1)], [False, False, False, False], 72, False, [True, True, False, False], 2416, 'South', (17, 11))
Element 15: (3, (17, 11), ['.', '.', '', ''], [(16, 3), (17, 6), (17, 1)], [False, False, False, False], 70, False, [True, True, False, False], 2435, 'South', (17, 10))
Element 16: (3, (17, 10), ['.', '', '', ''], [(16, 2), (17, 5), (16, 1)], [False, False, False, False], 68, False, [True, False, False, False], 2464, 'West', (16, 10))
Element 17: (3, (16, 10), ['.', '', '.', ''], [(15, 2), (17, 4), (15, 1)], [False, False, False, False], 66, False, [True, False, True, False], 2493, 'North', (16, 11))
Element 18: (3, (16, 11), ['.', '', '.', ''], [(15, 3), (18, 4), (14, 1)], [False, False, False, False], 64, False, [True, False, True, False], 2522, 'North', (16, 12))
Element 19: (3, (16, 12), ['.', '', '.', ''], [(14, 3), (17, 4), (13, 1)], [False, False, False, False], 62, False, [True, False, True, False], 2551, 'North', (16, 13))
Element 20: (3, (16, 13), ['%', '', '%', ''], [(13, 3), (17, 3), (12, 1)], [True, False, True, False], 60, False, [False, False, False, False], 2580, 'South', (16, 12))
Element 21: (3, (16, 12), ['.', '', '', ''], [(12, 3), (17, 2), (11, 1)], [False, False, False, False], 58, False, [True, False, False, False], 2599, 'West', (15, 12))
Element 22: (3, (15, 12), ['.', '.', '%', ''], [(11, 3), (17, 1), (10, 1)], [False, False, True, False], 56, False, [True, True, False, False], 3618, 'South', (15, 11))
Element 23: (3, (15, 11), ['%', '.', '', ''], [(11, 2), (18, 1), (10, 2)], [True, False, False, False], 54, False, [False, True, False, False], 3647, 'South', (15, 10))
Element 24: (3, (15, 10), ['%', '', '', ''], [(11, 1), (17, 1), (11, 2)], [True, False, False, False], 52, False, [False, False, False, False], 3656, 'North', (15, 11))
Element 25: (3, (15, 11), ['%', '', '', ''], [(12, 1), (16, 1), (11, 3)], [True, False, False, False], 50, False, [False, False, False, False], 3655, 'North', (15, 12))
Element 26: (3, (15, 12), ['.', '', '%', ''], [(13, 1), (16, 2), (12, 3)], [False, False, True, False], 48, False, [True, False, False, False], 3654, 'West', (14, 12))
Element 27: (3, (14, 12), ['%', '%', '.', ''], [(14, 1), (16, 3), (13, 3)], [True, True, False, False], 46, False, [False, False, True, False], 3663, 'North', (14, 13))
Element 28: (3, (14, 13), ['.', '', '%', '%'], [(15, 1), (16, 4), (14, 3)], [False, False, True, True], 44, False, [True, False, False, False], 3672, 'West', (13, 13))
Element 29: (3, (13, 13), ['.', '%', '%', ''], [(16, 1), (16, 5), (15, 3)], [False, True, True, False], 42, False, [True, False, False, False], 3681, 'West', (12, 13))
Element 30: (3, (12, 13), ['.', '%', '%', ''], [(17, 1), (15, 5), (16, 3)], [False, True, True, False], 40, False, [True, False, False, False], 3690, 'West', (11, 13))
Element 31: (3, (11, 13), ['%', '.', '%', ''], [(18, 1), (15, 6), (16, 4)], [True, False, True, False], 38, False, [False, True, False, False], 3699, 'South', (11, 12))
Element 32: (3, (11, 12), ['.', '.', '', '%'], [(17, 1), (14, 6), (16, 5)], [False, False, False, True], 36, False, [True, True, False, False], 3708, 'South', (11, 11))
Element 33: (3, (11, 11), ['.', '%', '', '.'], [(17, 2), (14, 5), (15, 5)], [False, True, False, False], 34, False, [True, False, False, True], 3717, 'East', (12, 11))
Element 34: (3, (12, 11), ['', '%', '%', '.'], [(17, 3), (13, 5), (14, 5)], [False, True, True, False], 32, False, [False, False, False, True], 3736, 'East', (13, 11))
Element 35: (3, (13, 11), ['', '%', '%', '%'], [(17, 2), (13, 6), (14, 4)], [False, True, True, True], 30, False, [False, False, False, False], 3745, 'West', (12, 11))
Element 36: (3, (12, 11), ['', '%', '%', ''], [(17, 1), (12, 6), (13, 4)], [False, True, True, False], 28, False, [False, False, False, False], 3744, 'West', (11, 11))
Element 37: (3, (11, 11), ['.', '%', '', ''], [(16, 1), (13, 6), (13, 5)], [False, True, False, False], 26, False, [True, False, False, False], 3743, 'West', (10, 11))
Element 38: (3, (10, 11), ['.', '%', '.', ''], [(15, 1), (12, 6), (13, 4)], [False, True, False, False], 24, False, [True, False, True, False], 3752, 'North', (10, 12))
Element 39: (3, (10, 12), ['.', '', '%', ''], [(14, 1), (11, 6), (12, 4)], [False, False, True, False], 22, False, [True, False, False, False], 3761, 'West', (9, 12))
Element 40: (3, (9, 12), ['.', '.', '.', ''], [(13, 1), (11, 6), (11, 4)], [False, False, False, False], 20, False, [True, True, True, False], 3770, 'North', (9, 13))
Element 41: (3, (9, 13), ['%', '', '%', '%'], [(12, 1), (11, 6), (10, 4)], [True, False, True, True], 18, False, [False, False, False, False], 3779, 'South', (9, 12))
Element 42: (3, (9, 12), ['.', '.', '', ''], [(11, 1), (11, 6), (10, 5)], [False, False, False, False], 16, False, [True, True, False, False], 3788, 'South', (9, 11))
Element 43: (3, (9, 11), ['%', '.', '', ''], [(10, 1), (11, 6), (9, 5)], [True, False, False, False], 14, False, [False, True, False, False], 3807, 'South', (9, 10))
Element 44: (3, (9, 10), ['.', '%', '', '%'], [(9, 1), (12, 6), (9, 4)], [False, True, False, True], 12, False, [True, False, False, False], 3836, 'West', (8, 10))
Element 45: (3, (8, 10), ['.', '%', '%', ''], [(8, 1), (13, 6), (9, 3)], [False, True, True, False], 10, False, [True, False, False, False], 3865, 'West', (7, 10))
Element 46: (3, (7, 10), ['.', '%', '.', ''], [(7, 1), (14, 6), (8, 3)], [False, True, False, False], 8, False, [True, False, True, False], 3894, 'North', (7, 11))
Element 47: (3, (7, 11), ['.', '', '%', '%'], [(6, 1), (15, 6), (8, 4)], [False, False, True, True], 6, False, [True, False, False, False], 3923, 'West', (6, 11))
Element 48: (3, (6, 11), ['.', '.', '.', ''], [(7, 1), (15, 5), (8, 5)], [False, False, False, False], 4, False, [True, True, True, False], 3942, 'North', (6, 12))
Element 49: (3, (6, 12), ['.', '', '.', '%'], [(8, 1), (14, 5), (7, 5)], [False, False, False, True], 2, False, [True, False, True, False], 3961, 'North', (6, 13))
Element 50: (3, (6, 13), ['.', '', '%', '.'], [(8, 1), (14, 5), (7, 5)], [False, False, True, False], 0, False, [True, False, False, True], 3970, 'Stop', (6, 13))
Element 51: #0#
