Element 1: (1, (1, 5), ['%', '%', '%', '.'], [(10, 1), (4, 12), (16, 9)], [True, True, True, False], 98, False, [False, False, False, True], 999, 'East', (2, 5))
Element 2: (1, (2, 5), ['', '%', '%', '.'], [(11, 1), (5, 12), (17, 9)], [False, True, True, False], 96, False, [False, False, False, True], 1038, 'East', (3, 5))
Element 3: (1, (3, 5), ['', '%', '%', '.'], [(12, 1), (6, 12), (18, 9)], [False, True, True, False], 94, False, [False, False, False, True], 1077, 'East', (4, 5))
Element 4: (1, (4, 5), ['', '%', '%', '%'], [(13, 1), (6, 13), (18, 10)], [False, True, True, True], 92, False, [False, False, False, False], 1116, 'West', (3, 5))
Element 5: (1, (3, 5), ['', '%', '%', ''], [(14, 1), (7, 13), (18, 11)], [False, True, True, False], 90, False, [False, False, False, False], 1145, 'West', (2, 5))
Element 6: (1, (2, 5), ['', '%', '%', ''], [(15, 1), (6, 13), (18, 12)], [False, True, True, False], 88, False, [False, False, False, False], 1164, 'West', (1, 5))
Element 7: (1, (1, 5), ['%', '%', '%', ''], [(16, 1), (5, 13), (18, 13)], [True, True, True, False], 86, False, [False, False, False, False], 1193, 'Stop', (1, 5))
Element 8: (1, (1, 5), ['%', '%', '%', ''], [(17, 1), (6, 13), (17, 13)], [True, True, True, False], 84, False, [False, False, False, False], 1212, 'East', (2, 5))
Element 9: (1, (2, 5), ['', '%', '%', ''], [(18, 1), (6, 12), (17, 12)], [False, True, True, False], 82, False, [False, False, False, False], 1231, 'East', (3, 5))
Element 10: (1, (3, 5), ['', '%', '%', ''], [(17, 1), (6, 11), (17, 11)], [False, True, True, False], 80, False, [False, False, False, False], 1250, 'East', (4, 5))
Element 11: (1, (4, 5), ['', '%', '%', '%'], [(17, 2), (7, 11), (17, 10)], [False, True, True, True], 78, False, [False, False, False, False], 1279, 'West', (3, 5))
Element 12: (1, (3, 5), ['', '%', '%', ''], [(17, 3), (7, 10), (16, 10)], [False, True, True, False], 76, False, [False, False, False, False], 1308, 'West', (2, 5))
Element 13: (1, (2, 5), ['', '%', '%', ''], [(17, 4), (8, 10), (16, 11)], [False, True, True, False], 74, False, [False, False, False, False], 1337, 'West', (1, 5))
Element 14: (1, (1, 5), ['%', '%', '%', ''], [(18, 4), (9, 10), (16, 12)], [True, True, True, False], 72, False, [False, False, False, False], 1366, 'Stop', (1, 5))
Element 15: (1, (1, 5), ['%', '%', '%', ''], [(17, 4), (9, 11), (16, 13)], [True, True, True, False], 70, False, [False, False, False, False], 1385, 'East', (2, 5))
Element 16: (1, (2, 5), ['', '%', '%', ''], [(17, 5), (10, 11), (16, 12)], [False, True, True, False], 68, False, [False, False, False, False], 1404, 'East', (3, 5))
Element 17: (1, (3, 5), ['', '%', '%', ''], [(17, 6), (11, 11), (15, 12)], [False, True, True, False], 66, False, [False, False, False, False], 1433, 'East', (4, 5))
Element 18: (1, (4, 5), ['', '%', '%', '%'], [(18, 6), (12, 11), (15, 11)], [False, True, True, True], 64, False, [False, False, False, False], 1462, 'West', (3, 5))
Element 19: (1, (3, 5), ['', '%', '%', ''], [(17, 6), (13, 11), (15, 10)], [False, True, True, False], 62, False, [False, False, False, False], 1481, 'West', (2, 5))
Element 20: (1, (2, 5), ['', '%', '%', ''], [(16, 6), (12, 11), (15, 9)], [False, True, True, False], 60, False, [False, False, False, False], 1500, 'West', (1, 5))
Element 21: (1, (1, 5), ['%', '%', '%', ''], [(16, 7), (11, 11), (14, 9)], [True, True, True, False], 58, False, [False, False, False, False], 1519, 'Stop', (1, 5))
Element 22: (1, (1, 5), ['%', '%', '%', ''], [(15, 7), (11, 12), (13, 9)], [True, True, True, False], 56, False, [False, False, False, False], 1548, 'East', (2, 5))
Element 23: (1, (2, 5), ['', '%', '%', ''], [(15, 6), (11, 13), (13, 8)], [False, True, True, False], 54, False, [False, False, False, False], 1577, 'East', (3, 5))
Element 24: (1, (3, 5), ['', '%', '%', ''], [(15, 5), (12, 13), (13, 7)], [False, True, True, False], 52, False, [False, False, False, False], 1606, 'East', (4, 5))
Element 25: (1, (4, 5), ['', '%', '%', '%'], [(16, 5), (13, 13), (14, 7)], [False, True, True, True], 50, False, [False, False, False, False], 1635, 'West', (3, 5))
Element 26: (1, (3, 5), ['', '%', '%', ''], [(16, 4), (14, 13), (14, 6)], [False, True, True, False], 48, False, [False, False, False, False], 1664, 'West', (2, 5))
Element 27: (1, (2, 5), ['', '%', '%', ''], [(16, 3), (14, 12), (14, 5)], [False, True, True, False], 46, False, [False, False, False, False], 1693, 'West', (1, 5))
Element 28: (1, (1, 5), ['%', '%', '%', ''], [(16, 2), (15, 12), (14, 4)], [True, True, True, False], 44, False, [False, False, False, False], 1712, 'Stop', (1, 5))
Element 29: (1, (1, 5), ['%', '%', '%', ''], [(15, 2), (16, 12), (14, 3)], [True, True, True, False], 42, False, [False, False, False, False], 1731, 'East', (2, 5))
Element 30: (1, (2, 5), ['', '%', '%', ''], [(16, 2), (17, 12), (15, 3)], [False, True, True, False], 40, False, [False, False, False, False], 1740, 'East', (3, 5))
Element 31: (1, (3, 5), ['', '%', '%', ''], [(15, 2), (18, 12), (16, 3)], [False, True, True, False], 38, False, [False, False, False, False], 1739, 'East', (4, 5))
Element 32: (1, (4, 5), ['', '%', '%', '%'], [(15, 3), (18, 13), (17, 3)], [False, True, True, True], 36, False, [False, False, False, False], 1738, 'West', (3, 5))
Element 33: (1, (3, 5), ['', '%', '%', ''], [(14, 3), (17, 13), (17, 4)], [False, True, True, False], 34, False, [False, False, False, False], 1737, 'West', (2, 5))
Element 34: (1, (2, 5), ['', '%', '%', ''], [(13, 3), (16, 13), (18, 4)], [False, True, True, False], 32, False, [False, False, False, False], 1746, 'West', (1, 5))
Element 35: (1, (1, 5), ['%', '%', '%', ''], [(13, 4), (17, 13), (17, 4)], [True, True, True, False], 30, False, [False, False, False, False], 1755, 'Stop', (1, 5))
Element 36: (1, (1, 5), ['%', '%', '%', ''], [(13, 5), (18, 13), (17, 5)], [True, True, True, False], 28, False, [False, False, False, False], 1764, 'East', (2, 5))
Element 37: (1, (2, 5), ['', '%', '%', ''], [(13, 6), (18, 12), (17, 6)], [False, True, True, False], 26, False, [False, False, False, False], 1773, 'East', (3, 5))
Element 38: (1, (3, 5), ['', '%', '%', ''], [(12, 6), (18, 11), (18, 6)], [False, True, True, False], 24, False, [False, False, False, False], 2772, 'East', (4, 5))
Element 39: (1, (4, 5), ['', '%', '%', '%'], [(12, 7), (18, 10), (17, 6)], [False, True, True, True], 22, False, [False, False, False, False], 2781, 'West', (3, 5))
Element 40: (1, (3, 5), ['', '%', '%', ''], [(12, 8), (18, 9), (16, 6)], [False, True, True, False], 20, False, [False, False, False, False], 2790, 'West', (2, 5))
Element 41: (1, (2, 5), ['', '%', '%', ''], [(12, 9), (18, 8), (16, 7)], [False, True, True, False], 18, False, [False, False, False, False], 2809, 'West', (1, 5))
Element 42: (1, (1, 5), ['%', '%', '%', ''], [(11, 9), (17, 8), (15, 7)], [True, True, True, False], 16, False, [False, False, False, False], 2828, 'Stop', (1, 5))
Element 43: (1, (1, 5), ['%', '%', '%', ''], [(12, 9), (17, 9), (15, 6)], [True, True, True, False], 14, False, [False, False, False, False], 2827, 'East', (2, 5))
Element 44: (1, (2, 5), ['', '%', '%', ''], [(13, 9), (17, 10), (15, 5)], [False, True, True, False], 12, False, [False, False, False, False], 2826, 'East', (3, 5))
Element 45: (1, (3, 5), ['', '%', '%', ''], [(14, 9), (17, 11), (16, 5)], [False, True, True, False], 10, False, [False, False, False, False], 2825, 'East', (4, 5))
Element 46: (1, (4, 5), ['', '%', '%', '%'], [(15, 9), (16, 11), (16, 4)], [False, True, True, True], 8, False, [False, False, False, False], 2824, 'West', (3, 5))
Element 47: (1, (3, 5), ['', '%', '%', ''], [(16, 9), (16, 10), (16, 5)], [False, True, True, False], 6, False, [False, False, False, False], 2823, 'West', (2, 5))
Element 48: (1, (2, 5), ['', '%', '%', ''], [(17, 9), (15, 10), (15, 5)], [False, True, True, False], 4, False, [False, False, False, False], 2822, 'West', (1, 5))
Element 49: (1, (1, 5), ['%', '%', '%', ''], [(18, 9), (15, 11), (15, 6)], [True, True, True, False], 2, False, [False, False, False, False], 2821, 'Stop', (1, 5))
Element 50: (1, (1, 5), ['%', '%', '%', ''], [(18, 9), (15, 10), (15, 7)], [True, True, True, False], 0, False, [False, False, False, False], 2820, 'Stop', (1, 5))
Element 51: #0#
