Element 1: (3, (17, 10), ['G', '.', '.', '.'], [(16, 10), (4, 2), (13, 9)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (18, 10))
Element 2: (3, (18, 10), ['', '.', '.', '%'], [(16, 11), (5, 2), (14, 9)], [False, False, False, True], 96, False, [False, True, True, False], 68, 'North', (18, 11))
Element 3: (3, (18, 11), ['G', '', '.', '%'], [(17, 11), (4, 2), (15, 9)], [False, False, False, True], 94, False, [False, False, True, False], 97, 'North', (18, 12))
Element 4: (3, (18, 12), ['G', '', '.', '%'], [(17, 12), (3, 2), (16, 9)], [False, False, False, True], 92, False, [False, False, True, False], 136, 'North', (18, 13))
Element 5: (3, (18, 13), ['G', '', '%', '%'], [(17, 13), (3, 1), (17, 9)], [False, False, True, True], 90, False, [False, False, False, False], 175, 'South', (18, 12))
Element 6: (3, (18, 12), ['', '', '', '%'], [(16, 13), (2, 1), (18, 9)], [False, False, False, True], 88, False, [False, False, False, False], 204, 'South', (18, 11))
Element 7: (3, (18, 11), ['', '', '', '%'], [(16, 12), (2, 2), (18, 8)], [False, False, False, True], 86, False, [False, False, False, False], 233, 'South', (18, 10))
Element 8: (3, (18, 10), ['', '', '', '%'], [(15, 12), (1, 2), (17, 8)], [False, False, False, True], 84, False, [False, False, False, False], 262, 'South', (18, 9))
Element 9: (3, (18, 9), ['', 'G', '', '%'], [(15, 11), (1, 1), (18, 8)], [False, False, False, True], 82, False, [False, False, False, False], 281, 'West', (17, 9))
Element 10: (3, (17, 9), ['', '', '', 'G'], [(15, 12), (1, 2), (18, 9)], [False, False, False, False], 80, False, [False, False, False, False], 280, 'South', (17, 8))
Element 11: (3, (17, 8), ['%', '%', '', ''], [(14, 12), (2, 2), (18, 10)], [True, True, False, False], 78, False, [False, False, False, False], 289, 'East', (18, 8))
Element 12: (3, (18, 8), ['', '%', '', '%'], [(14, 13), (2, 1), (18, 11)], [False, True, False, True], 76, False, [False, False, False, False], 298, 'West', (17, 8))
Element 13: (3, (17, 8), ['%', '%', '', ''], [(13, 13), (1, 1), (18, 12)], [True, True, False, False], 74, False, [False, False, False, False], 307, 'North', (17, 9))
Element 14: (3, (17, 9), ['', '', '', ''], [(12, 13), (2, 1), (18, 13)], [False, False, False, False], 72, False, [False, False, False, False], 316, 'West', (16, 9))
Element 15: (3, (16, 9), ['', '%', '', ''], [(11, 13), (3, 1), (17, 13)], [False, True, False, False], 70, False, [False, False, False, False], 325, 'North', (16, 10))
Element 16: (3, (16, 10), ['', '', '', ''], [(11, 12), (3, 2), (17, 12)], [False, False, False, False], 68, False, [False, False, False, False], 334, 'North', (16, 11))
