Element 1: (0, (9, 13), ['%', '.', '%', '%'], [(3, 8), (12, 4), (13, 6)], [True, False, True, True], 98, False, [False, True, False, False], 0, 'South', (9, 12))
Element 2: (0, (9, 12), ['.', '.', '', '.'], [(4, 8), (13, 4), (12, 6)], [False, False, False, False], 96, False, [True, True, False, True], 1029, 'East', (10, 12))
Element 3: (0, (10, 12), ['', '.', '%', '.'], [(5, 8), (14, 4), (12, 7)], [False, False, True, False], 94, False, [False, True, False, True], 1068, 'East', (11, 12))
Element 4: (0, (11, 12), ['', '.', '.', '%'], [(5, 7), (14, 5), (13, 7)], [False, False, False, True], 92, False, [False, True, True, False], 1107, 'North', (11, 13))
Element 5: (0, (11, 13), ['%', '', '%', '.'], [(6, 7), (15, 5), (14, 7)], [True, False, True, False], 90, False, [False, False, False, True], 1146, 'East', (12, 13))
Element 6: (0, (12, 13), ['', '%', '%', '.'], [(7, 7), (16, 5), (15, 7)], [False, True, True, False], 88, False, [False, False, False, True], 1185, 'East', (13, 13))
Element 7: (0, (13, 13), ['', '%', '%', '.'], [(8, 7), (17, 5), (16, 7)], [False, True, True, False], 86, False, [False, False, False, True], 2214, 'East', (14, 13))
Element 8: (0, (14, 13), ['', '.', '%', '%'], [(8, 8), (17, 6), (16, 6)], [False, False, True, True], 84, False, [False, True, False, False], 2253, 'South', (14, 12))
Element 9: (0, (14, 12), ['%', '%', '', '.'], [(9, 8), (18, 6), (15, 6)], [True, True, False, False], 82, False, [False, False, False, True], 2292, 'East', (15, 12))
Element 10: (0, (15, 12), ['', '.', '%', '.'], [(10, 8), (17, 6), (14, 6)], [False, False, True, False], 80, False, [False, True, False, True], 2321, 'East', (16, 12))
Element 11: (0, (16, 12), ['', '.', '.', '.'], [(9, 8), (17, 5), (14, 5)], [False, False, False, False], 78, False, [False, True, True, True], 2330, 'East', (17, 12))
Element 12: (0, (17, 12), ['', '.', '.', '.'], [(8, 8), (17, 4), (13, 5)], [False, False, False, False], 76, False, [False, True, True, True], 2359, 'East', (18, 12))
Element 13: (0, (18, 12), ['', '.', '.', '%'], [(8, 7), (18, 4), (13, 4)], [False, False, False, True], 74, False, [False, True, True, False], 2378, 'North', (18, 13))
Element 14: (0, (18, 13), ['.', '', '%', '%'], [(8, 6), (17, 4), (13, 3)], [False, False, True, True], 72, False, [True, False, False, False], 2407, 'West', (17, 13))
Element 15: (0, (17, 13), ['.', '', '%', ''], [(9, 6), (17, 3), (14, 3)], [False, False, True, False], 70, False, [True, False, False, False], 2446, 'West', (16, 13))
Element 16: (0, (16, 13), ['%', '', '%', ''], [(10, 6), (17, 2), (15, 3)], [True, False, True, False], 68, False, [False, False, False, False], 2485, 'East', (17, 13))
Element 17: (0, (17, 13), ['', '', '%', ''], [(11, 6), (17, 1), (16, 3)], [False, False, True, False], 66, False, [False, False, False, False], 2514, 'East', (18, 13))
Element 18: (0, (18, 13), ['', '', '%', '%'], [(11, 7), (18, 1), (16, 4)], [False, False, True, True], 64, False, [False, False, False, False], 2543, 'South', (18, 12))
Element 19: (0, (18, 12), ['', '.', '', '%'], [(12, 7), (17, 1), (17, 4)], [False, False, False, True], 62, False, [False, True, False, False], 2542, 'South', (18, 11))
Element 20: (0, (18, 11), ['.', '.', '', '%'], [(12, 8), (16, 1), (18, 4)], [False, False, False, True], 60, False, [True, True, False, False], 2571, 'South', (18, 10))
Element 21: (0, (18, 10), ['.', '.', '', '%'], [(13, 8), (16, 2), (17, 4)], [False, False, False, True], 58, False, [True, True, False, False], 2600, 'South', (18, 9))
Element 22: (0, (18, 9), ['.', '.', '', '%'], [(13, 9), (15, 2), (17, 5)], [False, False, False, True], 56, False, [True, True, False, False], 2629, 'South', (18, 8))
Element 23: (0, (18, 8), ['.', '%', '', '%'], [(14, 9), (15, 1), (17, 6)], [False, True, False, True], 54, False, [True, False, False, False], 2658, 'West', (17, 8))
Element 24: (0, (17, 8), ['%', '%', '.', ''], [(15, 9), (14, 1), (18, 6)], [True, True, False, False], 52, False, [False, False, True, False], 2687, 'North', (17, 9))
Element 25: (0, (17, 9), ['G', '', '.', ''], [(16, 9), (13, 1), (17, 6)], [False, False, False, False], 50, False, [False, False, True, False], 2716, 'North', (17, 10))
Element 26: (0, (17, 10), ['G', '', '.', ''], [(16, 10), (12, 1), (17, 5)], [False, False, False, False], 48, False, [False, False, True, False], 2745, 'North', (17, 11))
Element 27: (0, (17, 11), ['G', '', '', ''], [(16, 11), (11, 1), (16, 5)], [False, False, False, False], 46, False, [False, False, False, False], 2774, 'South', (17, 10))
Element 28: (0, (17, 10), ['', '', '', ''], [(15, 11), (10, 1), (15, 5)], [False, False, False, False], 44, False, [False, False, False, False], 3783, 'South', (17, 9))
Element 29: (0, (17, 9), ['', '', '', ''], [(15, 10), (10, 2), (16, 5)], [False, False, False, False], 42, False, [False, False, False, False], 3802, 'South', (17, 8))
Element 30: (0, (17, 8), ['%', '%', '', ''], [(15, 11), (11, 2), (17, 5)], [True, True, False, False], 40, False, [False, False, False, False], 3811, 'East', (18, 8))
Element 31: (0, (18, 8), ['', '%', '', '%'], [(15, 12), (11, 3), (17, 4)], [False, True, False, True], 38, False, [False, False, False, False], 3820, 'North', (18, 9))
Element 32: (0, (18, 9), ['', '', '', '%'], [(16, 12), (12, 3), (17, 3)], [False, False, False, True], 36, False, [False, False, False, False], 3829, 'West', (17, 9))
Element 33: (0, (17, 9), ['', '', '', ''], [(17, 12), (13, 3), (17, 2)], [False, False, False, False], 34, False, [False, False, False, False], 3828, 'East', (18, 9))
