Element 39: (3, (16, 12), ['', '', '', 'G'], [(8, 8), (15, 9), (17, 12)], [False, False, False, False], 22, False, [False, False, False, False], 3861, 'North', (16, 13))
Element 40: (3, (16, 13), ['%', '', '%', 'G'], [(9, 8), (16, 9), (17, 13)], [True, False, True, False], 20, False, [False, False, False, False], 3870, 'South', (16, 12))
Element 41: (3, (16, 12), ['', '', '', 'G'], [(10, 8), (15, 9), (17, 12)], [False, False, False, False], 18, False, [False, False, False, False], 3879, 'South', (16, 11))
Element 42: (3, (16, 11), ['', '', 'G', ''], [(9, 8), (14, 9), (16, 12)], [False, False, False, False], 16, False, [False, False, False, False], 3878, 'West', (15, 11))
Element 43: (3, (15, 11), ['%', '', '', ''], [(8, 8), (13, 9), (16, 13)], [True, False, False, False], 14, False, [False, False, False, False], 3877, 'North', (15, 12))
Element 44: (3, (15, 12), ['', '', '%', 'G'], [(8, 7), (13, 8), (16, 12)], [False, False, True, False], 12, False, [False, False, False, False], 3876, 'West', (14, 12))
Element 45: (3, (14, 12), ['%', '%', '', 'G'], [(7, 7), (13, 7), (15, 12)], [True, True, False, False], 10, False, [False, False, False, False], 3885, 'North', (14, 13))
Element 46: (3, (14, 13), ['', 'G', '%', '%'], [(7, 6), (14, 7), (14, 12)], [False, False, True, True], 8, False, [False, False, False, False], 3894, 'West', (13, 13))
Element 47: (3, (13, 13), ['', '%', '%', 'G'], [(7, 5), (15, 7), (14, 13)], [False, True, True, False], 6, False, [False, False, False, False], 3903, 'West', (12, 13))
Element 48: #1#
