Element 1: (2, (18, 9), ['.', '.', 'G', '%'], [(18, 12), (7, 10), (18, 10)], [False, False, False, True], 98, False, [True, True, False, False], 19, 'South', (18, 8))
Element 2: (2, (18, 8), ['.', '%', '', '%'], [(18, 13), (8, 10), (17, 10)], [False, True, False, True], 96, False, [True, False, False, False], 58, 'West', (17, 8))
Element 3: (2, (17, 8), ['%', '%', '.', ''], [(17, 13), (9, 10), (17, 11)], [True, True, False, False], 94, False, [False, False, True, False], 97, 'North', (17, 9))
Element 4: (2, (17, 9), ['.', '', '', ''], [(16, 13), (9, 11), (17, 12)], [False, False, False, False], 92, False, [True, False, False, False], 136, 'West', (16, 9))
Element 5: (2, (16, 9), ['.', '%', '.', ''], [(17, 13), (10, 11), (16, 12)], [False, True, False, False], 90, False, [True, False, True, False], 165, 'North', (16, 10))
Element 6: (2, (16, 10), ['.', '', 'G', ''], [(18, 13), (11, 11), (16, 11)], [False, False, False, False], 88, False, [True, False, False, False], 194, 'West', (15, 10))
Element 7: (2, (15, 10), ['%', '.', 'G', ''], [(18, 12), (12, 11), (15, 11)], [True, False, False, False], 86, False, [False, True, False, False], 223, 'South', (15, 9))
Element 8: (2, (15, 9), ['.', '%', '', ''], [(17, 12), (13, 11), (15, 12)], [False, True, False, False], 84, False, [True, False, False, False], 252, 'West', (14, 9))
Element 9: (2, (14, 9), ['.', '%', '%', ''], [(17, 11), (12, 11), (14, 12)], [False, True, True, False], 82, False, [True, False, False, False], 271, 'West', (13, 9))
Element 10: (2, (13, 9), ['.', '.', '%', ''], [(17, 10), (11, 11), (14, 13)], [False, False, True, False], 80, False, [True, True, False, False], 290, 'South', (13, 8))
Element 11: (2, (13, 8), ['.', '.', '', '%'], [(18, 10), (11, 12), (13, 13)], [False, False, False, True], 78, False, [True, True, False, False], 319, 'South', (13, 7))
Element 12: (2, (13, 7), ['.', '.', '', '.'], [(18, 9), (11, 13), (12, 13)], [False, False, False, False], 76, False, [True, True, False, True], 348, 'East', (14, 7))
Element 13: (2, (14, 7), ['', '.', '%', '.'], [(18, 8), (12, 13), (13, 13)], [False, False, True, False], 74, False, [False, True, False, True], 357, 'East', (15, 7))
Element 14: (2, (15, 7), ['', '.', '%', '.'], [(17, 8), (13, 13), (14, 13)], [False, False, True, False], 72, False, [False, True, False, True], 366, 'East', (16, 7))
Element 15: (2, (16, 7), ['', '.', '%', '%'], [(17, 9), (14, 13), (14, 12)], [False, False, True, True], 70, False, [False, True, False, False], 375, 'South', (16, 6))
Element 16: (2, (16, 6), ['.', '.', '', '.'], [(16, 9), (14, 12), (15, 12)], [False, False, False, False], 68, False, [True, True, False, True], 384, 'East', (17, 6))
Element 17: (2, (17, 6), ['', '.', '%', '.'], [(16, 10), (15, 12), (15, 11)], [False, False, True, False], 66, False, [False, True, False, True], 393, 'East', (18, 6))
Element 18: (2, (18, 6), ['', '%', '%', '%'], [(16, 11), (16, 12), (15, 10)], [False, True, True, True], 64, False, [False, False, False, False], 402, 'West', (17, 6))
Element 19: (2, (17, 6), ['', '.', '%', ''], [(15, 11), (17, 12), (16, 10)], [False, False, True, False], 62, False, [False, True, False, False], 401, 'South', (17, 5))
Element 20: (2, (17, 5), ['.', '.', '', '%'], [(15, 12), (18, 12), (16, 9)], [False, False, False, True], 60, False, [True, True, False, False], 410, 'South', (17, 4))
Element 21: (2, (17, 4), ['.', '.', '', '.'], [(16, 12), (18, 13), (17, 9)], [False, False, False, False], 58, False, [True, True, False, True], 419, 'East', (18, 4))
Element 22: (2, (18, 4), ['', '%', '%', '%'], [(15, 12), (17, 13), (18, 9)], [False, True, True, True], 56, False, [False, False, False, False], 428, 'West', (17, 4))
Element 23: (2, (17, 4), ['.', '.', '', ''], [(14, 12), (16, 13), (18, 8)], [False, False, False, False], 54, False, [True, True, False, False], 427, 'South', (17, 3))
Element 24: (2, (17, 3), ['.', '.', '', '%'], [(14, 13), (17, 13), (17, 8)], [False, False, False, True], 52, False, [True, True, False, False], 436, 'South', (17, 2))
Element 25: (2, (17, 2), ['.', '.', '', '%'], [(13, 13), (18, 13), (18, 8)], [False, False, False, True], 50, False, [True, True, False, False], 445, 'South', (17, 1))
Element 26: (2, (17, 1), ['.', '%', '', '.'], [(12, 13), (18, 12), (18, 9)], [False, True, False, False], 48, False, [True, False, False, True], 454, 'East', (18, 1))
