Element 1: (3, (16, 12), ['.', '', '.', '.'], [(4, 10), (3, 1), (17, 11)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (17, 12))
Element 2: (3, (17, 12), ['', '', '.', '.'], [(5, 10), (4, 1), (18, 11)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (18, 12))
Element 3: (3, (18, 12), ['', '', '.', '%'], [(6, 10), (4, 2), (18, 10)], [False, False, False, True], 94, False, [False, False, True, False], 107, 'North', (18, 13))
Element 4: (3, (18, 13), ['.', '', '%', '%'], [(7, 10), (5, 2), (18, 9)], [False, False, True, True], 92, False, [True, False, False, False], 146, 'West', (17, 13))
Element 5: (3, (17, 13), ['.', '', '%', ''], [(8, 10), (4, 2), (18, 8)], [False, False, True, False], 90, False, [True, False, False, False], 175, 'West', (16, 13))
Element 6: (3, (16, 13), ['%', '', '%', ''], [(9, 10), (3, 2), (17, 8)], [True, False, True, False], 88, False, [False, False, False, False], 214, 'East', (17, 13))
Element 7: (3, (17, 13), ['', '', '%', ''], [(9, 11), (2, 2), (17, 9)], [False, False, True, False], 86, False, [False, False, False, False], 243, 'East', (18, 13))
Element 8: (3, (18, 13), ['', '', '%', '%'], [(10, 11), (1, 2), (17, 10)], [False, False, True, True], 84, False, [False, False, False, False], 272, 'South', (18, 12))
Element 9: (3, (18, 12), ['', '', '', '%'], [(11, 11), (1, 1), (16, 10)], [False, False, False, True], 82, False, [False, False, False, False], 301, 'South', (18, 11))
Element 10: (3, (18, 11), ['', '', '', '%'], [(12, 11), (1, 2), (16, 9)], [False, False, False, True], 80, False, [False, False, False, False], 320, 'South', (18, 10))
Element 11: (3, (18, 10), ['', '', '', '%'], [(13, 11), (2, 2), (15, 9)], [False, False, False, True], 78, False, [False, False, False, False], 339, 'South', (18, 9))
Element 12: (3, (18, 9), ['', '', '', '%'], [(12, 11), (3, 2), (15, 10)], [False, False, False, True], 76, False, [False, False, False, False], 348, 'South', (18, 8))
Element 13: (3, (18, 8), ['', '%', '', '%'], [(11, 11), (4, 2), (15, 11)], [False, True, False, True], 74, False, [False, False, False, False], 357, 'West', (17, 8))
Element 14: (3, (17, 8), ['%', '%', '', ''], [(11, 12), (4, 1), (15, 12)], [True, True, False, False], 72, False, [False, False, False, False], 376, 'North', (17, 9))
Element 15: (3, (17, 9), ['', '', '', ''], [(11, 13), (3, 1), (14, 12)], [False, False, False, False], 70, False, [False, False, False, False], 395, 'North', (17, 10))
Element 16: (3, (17, 10), ['', '', '', ''], [(12, 13), (3, 2), (14, 13)], [False, False, False, False], 68, False, [False, False, False, False], 414, 'North', (17, 11))
Element 17: (3, (17, 11), ['', '', '', ''], [(13, 13), (3, 1), (14, 12)], [False, False, False, False], 66, False, [False, False, False, False], 423, 'West', (16, 11))
Element 18: (3, (16, 11), ['', '', '', ''], [(14, 13), (2, 1), (15, 12)], [False, False, False, False], 64, False, [False, False, False, False], 422, 'South', (16, 10))
Element 19: (3, (16, 10), ['', '', '', ''], [(14, 12), (2, 2), (16, 12)], [False, False, False, False], 62, False, [False, False, False, False], 421, 'South', (16, 9))
Element 20: (3, (16, 9), ['', '%', '', ''], [(15, 12), (2, 1), (17, 12)], [False, True, False, False], 60, False, [False, False, False, False], 420, 'West', (15, 9))
Element 21: (3, (15, 9), ['.', '%', '', ''], [(16, 12), (1, 1), (18, 12)], [False, True, False, False], 58, False, [True, False, False, False], 419, 'West', (14, 9))
Element 22: (3, (14, 9), ['.', '%', '%', ''], [(17, 12), (2, 1), (18, 13)], [False, True, True, False], 56, False, [True, False, False, False], 428, 'West', (13, 9))
Element 23: (3, (13, 9), ['.', '.', '%', ''], [(18, 12), (2, 1), (17, 13)], [False, False, True, False], 54, False, [True, True, False, False], 437, 'South', (13, 8))
Element 24: (3, (13, 8), ['.', '.', '', '%'], [(18, 13), (3, 1), (16, 13)], [False, False, False, True], 52, False, [True, True, False, False], 446, 'South', (13, 7))
Element 25: (3, (13, 7), ['.', '.', '', '.'], [(17, 13), (4, 1), (16, 12)], [False, False, False, False], 50, False, [True, True, False, True], 455, 'East', (14, 7))
Element 26: (3, (14, 7), ['', '.', '%', '.'], [(16, 13), (4, 2), (16, 13)], [False, False, True, False], 48, False, [False, True, False, True], 464, 'East', (15, 7))
Element 27: (3, (15, 7), ['', '.', '%', '.'], [(17, 13), (5, 2), (16, 12)], [False, False, True, False], 46, False, [False, True, False, True], 473, 'East', (16, 7))
Element 28: (3, (16, 7), ['', '.', '%', '%'], [(18, 13), (4, 2), (17, 12)], [False, False, True, True], 44, False, [False, True, False, False], 482, 'South', (16, 6))
Element 29: (3, (16, 6), ['.', '.', '', '.'], [(18, 12), (3, 2), (17, 13)], [False, False, False, False], 42, False, [True, True, False, True], 491, 'East', (17, 6))
Element 30: (3, (17, 6), ['', '.', '%', '.'], [(18, 11), (2, 2), (17, 12)], [False, False, True, False], 40, False, [False, True, False, True], 500, 'East', (18, 6))
Element 31: (3, (18, 6), ['', '%', '%', '%'], [(18, 10), (1, 2), (16, 12)], [False, True, True, True], 38, False, [False, False, False, False], 509, 'West', (17, 6))
