Element 39: (2, (12, 7), ['.', 'F', '', ''], [(6, 12), (2, 13), (17, 1)], [False, False, False, False], 22, False, [True, False, False, False], 681, 'South', (12, 6))
Element 40: (2, (12, 6), ['.', '%', '', '.'], [(6, 11), (1, 13), (16, 1)], [False, True, False, False], 20, False, [True, False, False, True], 1690, 'East', (13, 6))
Element 41: (2, (13, 6), ['', '.', '', '.'], [(6, 10), (2, 13), (16, 2)], [False, False, False, False], 18, False, [False, True, False, True], 1709, 'East', (14, 6))
Element 42: (2, (14, 6), ['', '.', '', '.'], [(6, 11), (3, 13), (16, 3)], [False, False, False, False], 16, False, [False, True, False, True], 1728, 'East', (15, 6))
Element 43: (2, (15, 6), ['', '.', '', ''], [(5, 11), (3, 12), (16, 4)], [False, False, False, False], 14, False, [False, True, False, False], 1747, 'South', (15, 5))
Element 44: (2, (15, 5), ['.', '%', '', 'G'], [(6, 11), (4, 12), (16, 5)], [False, True, False, False], 12, False, [True, False, False, False], 1766, 'West', (14, 5))
Element 45: (2, (14, 5), ['.', '.', '', 'G'], [(7, 11), (5, 12), (15, 5)], [False, False, False, False], 10, False, [True, True, False, False], 1775, 'South', (14, 4))
Element 46: (2, (14, 4), ['.', '.', '', '%'], [(7, 10), (5, 13), (15, 6)], [False, False, False, True], 8, False, [True, True, False, False], 1784, 'South', (14, 3))
Element 47: (2, (14, 3), ['.', '%', '', '.'], [(6, 10), (6, 13), (14, 6)], [False, True, False, False], 6, False, [True, False, False, True], 1793, 'East', (15, 3))
Element 48: (2, (15, 3), ['', '.', '%', ''], [(7, 10), (6, 12), (14, 5)], [False, False, True, False], 4, False, [False, True, False, False], 1802, 'South', (15, 2))
Element 49: (2, (15, 2), ['%', '.', '', ''], [(8, 10), (5, 12), (13, 5)], [True, False, False, False], 2, False, [False, True, False, False], 1821, 'South', (15, 1))
Element 50: (2, (15, 1), ['.', '%', '', ''], [(8, 10), (5, 12), (13, 4)], [False, True, False, False], 0, False, [True, False, False, False], 1840, 'Stop', (15, 1))
Element 51: #0#
