Element 1: (3, (13, 4), ['', '.', '.', '.'], [(12, 3), (5, 12), (9, 3)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (14, 4))
Element 2: (3, (14, 4), ['', '.', '.', '%'], [(13, 3), (6, 12), (9, 4)], [False, False, False, True], 96, False, [False, True, True, False], 68, 'North', (14, 5))
Element 3: (3, (14, 5), ['.', '', '.', '.'], [(14, 3), (6, 13), (10, 4)], [False, False, False, False], 94, False, [True, False, True, True], 107, 'East', (15, 5))
Element 4: (3, (15, 5), ['', '%', '.', '.'], [(15, 3), (7, 13), (11, 4)], [False, True, False, False], 92, False, [False, False, True, True], 146, 'East', (16, 5))
Element 5: (3, (16, 5), ['', '.', '.', '.'], [(16, 3), (6, 13), (11, 3)], [False, False, False, False], 90, False, [False, True, True, True], 175, 'East', (17, 5))
Element 6: (3, (17, 5), ['', '.', '.', '%'], [(17, 3), (5, 13), (11, 2)], [False, False, False, True], 88, False, [False, True, True, False], 214, 'North', (17, 6))
Element 7: (3, (17, 6), ['.', '', '%', '.'], [(17, 4), (6, 13), (11, 1)], [False, False, True, False], 86, False, [True, False, False, True], 243, 'East', (18, 6))
Element 8: (3, (18, 6), ['', '%', '%', '%'], [(18, 4), (6, 12), (10, 1)], [False, True, True, True], 84, False, [False, False, False, False], 1262, 'West', (17, 6))
Element 9: (3, (17, 6), ['.', '', '%', ''], [(17, 4), (6, 11), (10, 2)], [False, False, True, False], 82, False, [True, False, False, False], 1281, 'West', (16, 6))
Element 10: (3, (16, 6), ['.', '', '.', ''], [(16, 4), (7, 11), (10, 1)], [False, False, False, False], 80, False, [True, False, True, False], 1310, 'North', (16, 7))
Element 11: (3, (16, 7), ['.', '', '%', '%'], [(16, 5), (7, 10), (9, 1)], [False, False, True, True], 78, False, [True, False, False, False], 1339, 'West', (15, 7))
Element 12: (3, (15, 7), ['.', '.', '%', ''], [(17, 5), (8, 10), (8, 1)], [False, False, True, False], 76, False, [True, True, False, False], 1368, 'South', (15, 6))
Element 13: (3, (15, 6), ['.', '', '', ''], [(17, 6), (9, 10), (7, 1)], [False, False, False, False], 74, False, [True, False, False, False], 1397, 'West', (14, 6))
Element 14: (3, (14, 6), ['.', '', '.', ''], [(18, 6), (9, 11), (6, 1)], [False, False, False, False], 72, False, [True, False, True, False], 1426, 'North', (14, 7))
