Element 1: (0, (7, 10), ['.', '%', '.', 'G'], [(2, 2), (8, 10), (9, 4)], [False, True, False, False], 98, False, [True, False, True, False], 0, 'North', (7, 11))
Element 2: (0, (7, 11), ['.', '', '%', '%'], [(3, 2), (9, 10), (10, 4)], [False, False, True, True], 96, False, [True, False, False, False], 39, 'West', (6, 11))
Element 3: (0, (6, 11), ['.', '.', '.', ''], [(4, 2), (9, 11), (11, 4)], [False, False, False, False], 94, False, [True, True, True, False], 78, 'North', (6, 12))
Element 4: (0, (6, 12), ['.', '', '.', '%'], [(5, 2), (10, 11), (12, 4)], [False, False, False, True], 92, False, [True, False, True, False], 117, 'North', (6, 13))
Element 5: (0, (6, 13), ['.', '', '%', '.'], [(4, 2), (11, 11), (13, 4)], [False, False, True, False], 90, False, [True, False, False, True], 146, 'East', (7, 13))
Element 6: (0, (7, 13), ['', '%', '%', '%'], [(4, 1), (12, 11), (14, 4)], [False, True, True, True], 88, False, [False, False, False, False], 185, 'West', (6, 13))
Element 7: (0, (6, 13), ['.', '', '%', ''], [(3, 1), (13, 11), (14, 5)], [False, False, True, False], 86, False, [True, False, False, False], 214, 'West', (5, 13))
Element 8: (0, (5, 13), ['%', '.', '%', ''], [(2, 1), (12, 11), (15, 5)], [True, False, True, False], 84, False, [False, True, False, False], 243, 'South', (5, 12))
Element 9: (0, (5, 12), ['.', '.', '', ''], [(1, 1), (11, 11), (16, 5)], [False, False, False, False], 82, False, [True, True, False, False], 272, 'South', (5, 11))
Element 10: (0, (5, 11), ['%', '.', '', ''], [(1, 2), (11, 12), (17, 5)], [True, False, False, False], 80, False, [False, True, False, False], 311, 'South', (5, 10))
Element 11: (0, (5, 10), ['.', '%', '', '.'], [(1, 1), (11, 13), (17, 6)], [False, True, False, False], 78, False, [True, False, False, True], 340, 'East', (6, 10))
Element 12: (0, (6, 10), ['', '%', '', ''], [(2, 1), (12, 13), (18, 6)], [False, True, False, False], 76, False, [False, False, False, False], 369, 'West', (5, 10))
Element 13: (0, (5, 10), ['.', '%', '', ''], [(3, 1), (13, 13), (17, 6)], [False, True, False, False], 74, False, [True, False, False, False], 378, 'West', (4, 10))
Element 14: (0, (4, 10), ['.', '%', '%', ''], [(4, 1), (14, 13), (16, 6)], [False, True, True, False], 72, False, [True, False, False, False], 407, 'West', (3, 10))
Element 15: (0, (3, 10), ['%', '%', '%', ''], [(4, 2), (14, 12), (16, 7)], [True, True, True, False], 70, False, [False, False, False, False], 436, 'East', (4, 10))
Element 16: (0, (4, 10), ['', '%', '%', ''], [(3, 2), (15, 12), (15, 7)], [False, True, True, False], 68, False, [False, False, False, False], 455, 'East', (5, 10))
Element 17: (0, (5, 10), ['', '%', '', ''], [(3, 1), (16, 12), (15, 6)], [False, True, False, False], 66, False, [False, False, False, False], 474, 'North', (5, 11))
Element 18: (0, (5, 11), ['%', '', '', ''], [(3, 2), (17, 12), (14, 6)], [True, False, False, False], 64, False, [False, False, False, False], 493, 'North', (5, 12))
Element 19: (0, (5, 12), ['.', '', '', ''], [(2, 2), (18, 12), (14, 7)], [False, False, False, False], 62, False, [True, False, False, False], 512, 'West', (4, 12))
Element 20: (0, (4, 12), ['.', '%', '%', ''], [(2, 1), (18, 13), (13, 7)], [False, True, True, False], 60, False, [True, False, False, False], 541, 'West', (3, 12))
Element 21: (0, (3, 12), ['%', '%', '.', ''], [(2, 2), (17, 13), (13, 8)], [True, True, False, False], 58, False, [False, False, True, False], 570, 'North', (3, 13))
Element 22: (0, (3, 13), ['.', '', '%', '%'], [(1, 2), (16, 13), (13, 9)], [False, False, True, True], 56, False, [True, False, False, False], 599, 'West', (2, 13))
Element 23: (0, (2, 13), ['.', '%', '%', ''], [(2, 2), (17, 13), (14, 9)], [False, True, True, False], 54, False, [True, False, False, False], 618, 'West', (1, 13))
Element 24: (0, (1, 13), ['%', '%', '%', ''], [(2, 2), (18, 13), (15, 9)], [True, True, True, False], 52, False, [False, False, False, False], 637, 'East', (2, 13))
Element 25: (0, (2, 13), ['', '%', '%', ''], [(3, 2), (18, 12), (16, 9)], [False, True, True, False], 50, False, [False, False, False, False], 646, 'East', (3, 13))
Element 26: (0, (3, 13), ['', '', '%', '%'], [(4, 2), (18, 11), (17, 9)], [False, False, True, True], 48, False, [False, False, False, False], 665, 'South', (3, 12))
Element 27: (0, (3, 12), ['%', '%', '', ''], [(5, 2), (18, 10), (18, 9)], [True, True, False, False], 46, False, [False, False, False, False], 684, 'East', (4, 12))
