Element 1: (3, (15, 11), ['%', '', '.', '.'], [(16, 10), (4, 10), (8, 7)], [True, False, False, False], 98, False, [False, False, True, True], 1019, 'East', (16, 11))
Element 2: (3, (16, 11), ['', '', '.', '.'], [(17, 10), (5, 10), (8, 6)], [False, False, False, False], 96, False, [False, False, True, True], 1058, 'East', (17, 11))
Element 3: (3, (17, 11), ['', '', '.', '.'], [(18, 10), (6, 10), (9, 6)], [False, False, False, False], 94, False, [False, False, True, True], 1097, 'East', (18, 11))
Element 4: (3, (18, 11), ['', '', '.', '%'], [(18, 9), (7, 10), (10, 6)], [False, False, False, True], 92, False, [False, False, True, False], 1136, 'North', (18, 12))
Element 5: (3, (18, 12), ['.', '', '.', '%'], [(18, 8), (8, 10), (11, 6)], [False, False, False, True], 90, False, [True, False, True, False], 1175, 'North', (18, 13))
Element 6: (3, (18, 13), ['.', '', '%', '%'], [(17, 8), (9, 10), (12, 6)], [False, False, True, True], 88, False, [True, False, False, False], 2204, 'West', (17, 13))
Element 7: (3, (17, 13), ['.', '.', '%', ''], [(17, 9), (9, 11), (13, 6)], [False, False, True, False], 86, False, [True, True, False, False], 2243, 'South', (17, 12))
Element 8: (3, (17, 12), ['.', '', '', ''], [(16, 9), (10, 11), (14, 6)], [False, False, False, False], 84, False, [True, False, False, False], 2282, 'West', (16, 12))
Element 9: (3, (16, 12), ['.', '', '.', ''], [(15, 9), (11, 11), (15, 6)], [False, False, False, False], 82, False, [True, False, True, False], 2321, 'North', (16, 13))
Element 10: (3, (16, 13), ['%', '', '%', ''], [(14, 9), (12, 11), (16, 6)], [True, False, True, False], 80, False, [False, False, False, False], 2360, 'South', (16, 12))
Element 11: (3, (16, 12), ['.', '', '', ''], [(13, 9), (13, 11), (17, 6)], [False, False, False, False], 78, False, [True, False, False, False], 2389, 'West', (15, 12))
Element 12: (3, (15, 12), ['.', '', '%', ''], [(13, 8), (12, 11), (18, 6)], [False, False, True, False], 76, False, [True, False, False, False], 2418, 'West', (14, 12))
