Element 1: (1, (5, 2), ['.', '%', '%', '%'], [(16, 3), (5, 12), (18, 13)], [False, True, True, True], 98, False, [True, False, False, False], 9, 'West', (4, 2))
Element 2: (1, (4, 2), ['.', '.', '%', ''], [(17, 3), (6, 12), (18, 12)], [False, False, True, False], 96, False, [True, True, False, False], 48, 'South', (4, 1))
Element 3: (1, (4, 1), ['.', '%', '', '%'], [(17, 4), (6, 13), (18, 11)], [False, True, False, True], 94, False, [True, False, False, False], 87, 'West', (3, 1))
Element 4: (1, (3, 1), ['.', '%', '.', ''], [(18, 4), (7, 13), (18, 10)], [False, True, False, False], 92, False, [True, False, True, False], 126, 'North', (3, 2))
Element 5: (1, (3, 2), ['.', '', '%', ''], [(17, 4), (6, 13), (18, 9)], [False, False, True, False], 90, False, [True, False, False, False], 145, 'West', (2, 2))
Element 6: (1, (2, 2), ['.', '.', '%', ''], [(17, 5), (5, 13), (18, 8)], [False, False, True, False], 88, False, [True, True, False, False], 184, 'South', (2, 1))
Element 7: (1, (2, 1), ['.', '%', '', ''], [(17, 6), (6, 13), (17, 8)], [False, True, False, False], 86, False, [True, False, False, False], 213, 'West', (1, 1))
Element 8: (1, (1, 1), ['%', '%', '.', ''], [(18, 6), (6, 12), (17, 9)], [True, True, False, False], 84, False, [False, False, True, False], 242, 'North', (1, 2))
Element 9: (1, (1, 2), ['%', '', '%', ''], [(17, 6), (6, 11), (17, 10)], [True, False, True, False], 82, False, [False, False, False, False], 271, 'South', (1, 1))
Element 10: (1, (1, 1), ['%', '%', '', ''], [(16, 6), (7, 11), (17, 11)], [True, True, False, False], 80, False, [False, False, False, False], 300, 'East', (2, 1))
Element 11: (1, (2, 1), ['', '%', '', ''], [(16, 7), (7, 10), (17, 12)], [False, True, False, False], 78, False, [False, False, False, False], 329, 'North', (2, 2))
Element 12: (1, (2, 2), ['', '', '%', ''], [(15, 7), (8, 10), (17, 13)], [False, False, True, False], 76, False, [False, False, False, False], 358, 'West', (1, 2))
Element 13: (1, (1, 2), ['%', '', '%', ''], [(15, 6), (9, 10), (16, 13)], [True, False, True, False], 74, False, [False, False, False, False], 387, 'East', (2, 2))
Element 14: (1, (2, 2), ['', '', '%', ''], [(15, 5), (9, 11), (16, 12)], [False, False, True, False], 72, False, [False, False, False, False], 416, 'East', (3, 2))
Element 15: (1, (3, 2), ['', '', '%', ''], [(16, 5), (10, 11), (16, 11)], [False, False, True, False], 70, False, [False, False, False, False], 445, 'South', (3, 1))
Element 16: (1, (3, 1), ['', '%', '', ''], [(16, 4), (11, 11), (16, 10)], [False, True, False, False], 68, False, [False, False, False, False], 474, 'West', (2, 1))
Element 17: (1, (2, 1), ['', '%', '', ''], [(16, 5), (12, 11), (16, 9)], [False, True, False, False], 66, False, [False, False, False, False], 493, 'East', (3, 1))
Element 18: (1, (3, 1), ['', '%', '', ''], [(15, 5), (13, 11), (15, 9)], [False, True, False, False], 64, False, [False, False, False, False], 512, 'East', (4, 1))
Element 19: (1, (4, 1), ['', '%', '', '%'], [(14, 5), (12, 11), (15, 10)], [False, True, False, True], 62, False, [False, False, False, False], 531, 'North', (4, 2))
Element 20: (1, (4, 2), ['', '', '%', ''], [(14, 6), (11, 11), (15, 11)], [False, False, True, False], 60, False, [False, False, False, False], 550, 'West', (3, 2))
Element 21: (1, (3, 2), ['', '', '%', ''], [(14, 7), (11, 12), (15, 12)], [False, False, True, False], 58, False, [False, False, False, False], 579, 'East', (4, 2))
Element 22: (1, (4, 2), ['', '', '%', ''], [(13, 7), (11, 13), (14, 12)], [False, False, True, False], 56, False, [False, False, False, False], 608, 'East', (5, 2))
Element 23: (1, (5, 2), ['', '%', '%', '%'], [(13, 8), (12, 13), (14, 13)], [False, True, True, True], 54, False, [False, False, False, False], 637, 'Stop', (5, 2))
Element 24: (1, (5, 2), ['', '%', '%', '%'], [(13, 9), (13, 13), (14, 12)], [False, True, True, True], 52, False, [False, False, False, False], 656, 'West', (4, 2))
Element 25: (1, (4, 2), ['', '', '%', ''], [(14, 9), (14, 13), (15, 12)], [False, False, True, False], 50, False, [False, False, False, False], 665, 'South', (4, 1))
Element 26: (1, (4, 1), ['', '%', '', '%'], [(15, 9), (14, 12), (15, 11)], [False, True, False, True], 48, False, [False, False, False, False], 664, 'West', (3, 1))
Element 27: (1, (3, 1), ['', '%', '', ''], [(16, 9), (15, 12), (15, 10)], [False, True, False, False], 46, False, [False, False, False, False], 663, 'North', (3, 2))
Element 28: (1, (3, 2), ['', '', '%', ''], [(17, 9), (16, 12), (15, 9)], [False, False, True, False], 44, False, [False, False, False, False], 662, 'West', (2, 2))
Element 29: (1, (2, 2), ['', '', '%', ''], [(18, 9), (17, 12), (14, 9)], [False, False, True, False], 42, False, [False, False, False, False], 661, 'South', (2, 1))
Element 30: (1, (2, 1), ['', '%', '', ''], [(18, 10), (18, 12), (13, 9)], [False, True, False, False], 40, False, [False, False, False, False], 660, 'West', (1, 1))
