Element 1: (0, (11, 6), ['.', '%', '.', 'F'], [(3, 8), (8, 6), (12, 4)], [False, True, False, False], 98, False, [True, False, True, False], 0, 'East', (12, 6))
Element 2: (0, (12, 6), ['', '%', '.', '.'], [(4, 8), (8, 7), (13, 4)], [False, True, False, False], 96, False, [False, False, True, True], 2019, 'East', (13, 6))
Element 3: (0, (13, 6), ['', '.', '.', '.'], [(5, 8), (8, 8), (14, 4)], [False, False, False, False], 94, False, [False, True, True, True], 2058, 'East', (14, 6))
Element 4: (0, (14, 6), ['', 'G', '.', '.'], [(5, 7), (9, 8), (14, 5)], [False, False, False, False], 92, False, [False, False, True, True], 2097, 'East', (15, 6))
Element 5: (0, (15, 6), ['', 'G', '.', '.'], [(6, 7), (10, 8), (15, 5)], [False, False, False, False], 90, False, [False, False, True, True], 2136, 'East', (16, 6))
Element 6: (0, (16, 6), ['', 'G', '.', '.'], [(7, 7), (9, 8), (16, 5)], [False, False, False, False], 88, False, [False, False, True, True], 2165, 'East', (17, 6))
Element 7: (0, (17, 6), ['', 'G', '%', '.'], [(7, 6), (8, 8), (17, 5)], [False, False, True, False], 86, False, [False, False, False, True], 2194, 'East', (18, 6))
Element 8: (0, (18, 6), ['', '%', '%', '%'], [(7, 5), (8, 7), (17, 4)], [False, True, True, True], 84, False, [False, False, False, False], 2223, 'West', (17, 6))
Element 9: (0, (17, 6), ['', '', '%', ''], [(6, 5), (7, 7), (18, 4)], [False, False, True, False], 82, False, [False, False, False, False], 3232, 'West', (16, 6))
Element 10: (0, (16, 6), ['', '', '.', ''], [(6, 6), (7, 6), (17, 4)], [False, False, False, False], 80, False, [False, False, True, False], 3241, 'North', (16, 7))
Element 11: (0, (16, 7), ['.', '', '%', '%'], [(6, 5), (7, 5), (17, 3)], [False, False, True, True], 78, False, [True, False, False, False], 3260, 'West', (15, 7))
Element 12: (0, (15, 7), ['.', '', '%', ''], [(6, 4), (8, 5), (17, 2)], [False, False, True, False], 76, False, [True, False, False, False], 3299, 'West', (14, 7))
Element 13: (0, (14, 7), ['.', '', '%', ''], [(7, 4), (9, 5), (17, 1)], [False, False, True, False], 74, False, [True, False, False, False], 3338, 'West', (13, 7))
Element 14: (0, (13, 7), ['.', '', '.', ''], [(8, 4), (10, 5), (18, 1)], [False, False, False, False], 72, False, [True, False, True, False], 3377, 'North', (13, 8))
Element 15: (0, (13, 8), ['.', '', '.', '%'], [(9, 4), (10, 6), (17, 1)], [False, False, False, True], 70, False, [True, False, True, False], 3406, 'North', (13, 9))
Element 16: (0, (13, 9), ['.', '', '%', '.'], [(10, 4), (9, 6), (16, 1)], [False, False, True, False], 68, False, [True, False, False, True], 3445, 'East', (14, 9))
Element 17: (0, (14, 9), ['', '%', '%', '.'], [(11, 4), (10, 6), (16, 2)], [False, True, True, False], 66, False, [False, False, False, True], 3474, 'East', (15, 9))
Element 18: (0, (15, 9), ['', '%', '.', '.'], [(11, 3), (11, 6), (16, 3)], [False, True, False, False], 64, False, [False, False, True, True], 3503, 'East', (16, 9))
Element 19: (0, (16, 9), ['', '%', '.', '.'], [(12, 3), (11, 7), (16, 4)], [False, True, False, False], 62, False, [False, False, True, True], 3542, 'East', (17, 9))
Element 20: (0, (17, 9), ['', '.', '.', '.'], [(13, 3), (12, 7), (16, 3)], [False, False, False, False], 60, False, [False, True, True, True], 3571, 'East', (18, 9))
Element 21: (0, (18, 9), ['', '.', '.', '%'], [(14, 3), (12, 8), (15, 3)], [False, False, False, True], 58, False, [False, True, True, False], 3610, 'North', (18, 10))
Element 22: (0, (18, 10), ['.', '', '.', '%'], [(14, 4), (12, 9), (15, 2)], [False, False, False, True], 56, False, [True, False, True, False], 3639, 'North', (18, 11))
Element 23: (0, (18, 11), ['.', '', '.', '%'], [(14, 5), (11, 9), (15, 1)], [False, False, False, True], 54, False, [True, False, True, False], 3668, 'North', (18, 12))
Element 24: (0, (18, 12), ['.', '', '.', '%'], [(13, 5), (12, 9), (14, 1)], [False, False, False, True], 52, False, [True, False, True, False], 3697, 'North', (18, 13))
Element 25: (0, (18, 13), ['.', '', '%', '%'], [(13, 6), (13, 9), (13, 1)], [False, False, True, True], 50, False, [True, False, False, False], 3716, 'West', (17, 13))
Element 26: (0, (17, 13), ['.', '.', '%', ''], [(14, 6), (14, 9), (12, 1)], [False, False, True, False], 48, False, [True, True, False, False], 3735, 'South', (17, 12))
Element 27: (0, (17, 12), ['.', '.', '', ''], [(15, 6), (15, 9), (11, 1)], [False, False, False, False], 46, False, [True, True, False, False], 3754, 'South', (17, 11))
Element 28: #1#
