Element 1: (1, (13, 8), ['.', '.', '.', '%'], [(17, 9), (17, 4), (17, 11)], [False, False, False, True], 98, False, [True, True, True, False], 9, 'North', (13, 9))
Element 2: (1, (13, 9), ['.', '', '%', '.'], [(18, 9), (18, 4), (18, 11)], [False, False, True, False], 96, False, [True, False, False, True], 48, 'East', (14, 9))
Element 3: (1, (14, 9), ['', '%', '%', '.'], [(18, 10), (17, 4), (18, 12)], [False, True, True, False], 94, False, [False, False, False, True], 77, 'East', (15, 9))
Element 4: (1, (15, 9), ['', '%', '.', ''], [(17, 10), (17, 5), (18, 13)], [False, True, False, False], 92, False, [False, False, True, False], 116, 'North', (15, 10))
Element 5: (1, (15, 10), ['%', '', '.', 'G'], [(16, 10), (17, 6), (17, 13)], [True, False, False, False], 90, False, [False, False, True, False], 155, 'North', (15, 11))
Element 6: (1, (15, 11), ['%', '', '.', 'G'], [(16, 11), (18, 6), (17, 12)], [True, False, False, False], 88, False, [False, False, True, False], 194, 'North', (15, 12))
Element 7: (1, (15, 12), ['.', '', '%', 'G'], [(17, 11), (17, 6), (16, 12)], [False, False, True, False], 86, False, [True, False, False, False], 213, 'West', (14, 12))
Element 8: (1, (14, 12), ['%', '%', '.', ''], [(18, 11), (16, 6), (16, 13)], [True, True, False, False], 84, False, [False, False, True, False], 242, 'North', (14, 13))
Element 9: (1, (14, 13), ['.', '', '%', '%'], [(18, 12), (16, 7), (16, 12)], [False, False, True, True], 82, False, [True, False, False, False], 261, 'West', (13, 13))
Element 10: (1, (13, 13), ['.', '%', '%', ''], [(18, 13), (15, 7), (16, 11)], [False, True, True, False], 80, False, [True, False, False, False], 280, 'West', (12, 13))
Element 11: (1, (12, 13), ['.', '%', '%', ''], [(17, 13), (15, 6), (16, 10)], [False, True, True, False], 78, False, [True, False, False, False], 299, 'West', (11, 13))
Element 12: (1, (11, 13), ['%', '.', '%', ''], [(17, 12), (15, 5), (17, 10)], [True, False, True, False], 76, False, [False, True, False, False], 318, 'South', (11, 12))
