Element 1: (3, (11, 6), ['.', '%', '.', 'F'], [(4, 8), (6, 5), (8, 4)], [False, True, False, False], 98, False, [True, False, True, False], 1019, 'East', (12, 6))
Element 2: (3, (12, 6), ['', '%', '.', '.'], [(5, 8), (7, 5), (9, 4)], [False, True, False, False], 96, False, [False, False, True, True], 2048, 'East', (13, 6))
Element 3: (3, (13, 6), ['', '.', '.', '.'], [(5, 7), (8, 5), (10, 4)], [False, False, False, False], 94, False, [False, True, True, True], 2087, 'East', (14, 6))
Element 4: (3, (14, 6), ['', '.', '.', '.'], [(6, 7), (9, 5), (11, 4)], [False, False, False, False], 92, False, [False, True, True, True], 2126, 'East', (15, 6))
Element 5: (3, (15, 6), ['', '.', '.', '.'], [(7, 7), (10, 5), (12, 4)], [False, False, False, False], 90, False, [False, True, True, True], 2165, 'East', (16, 6))
Element 6: (3, (16, 6), ['', '.', '.', '.'], [(8, 7), (10, 6), (13, 4)], [False, False, False, False], 88, False, [False, True, True, True], 3194, 'East', (17, 6))
Element 7: (3, (17, 6), ['', '.', '%', '.'], [(8, 8), (9, 6), (14, 4)], [False, False, True, False], 86, False, [False, True, False, True], 3233, 'East', (18, 6))
Element 8: (3, (18, 6), ['', '%', '%', '%'], [(9, 8), (8, 6), (14, 5)], [False, True, True, True], 84, False, [False, False, False, False], 3272, 'West', (17, 6))
Element 9: (3, (17, 6), ['', '.', '%', ''], [(10, 8), (7, 6), (15, 5)], [False, False, True, False], 82, False, [False, True, False, False], 3301, 'South', (17, 5))
Element 10: (3, (17, 5), ['G', '.', '', '%'], [(9, 8), (6, 6), (16, 5)], [False, False, False, True], 80, False, [False, True, False, False], 3330, 'South', (17, 4))
Element 11: (3, (17, 4), ['G', '.', '', '.'], [(8, 8), (6, 7), (16, 4)], [False, False, False, False], 78, False, [False, True, False, True], 3349, 'East', (18, 4))
Element 12: (3, (18, 4), ['', '%', '%', '%'], [(8, 7), (7, 7), (16, 3)], [False, True, True, True], 76, False, [False, False, False, False], 3368, 'West', (17, 4))
Element 13: (3, (17, 4), ['', 'G', '', ''], [(8, 6), (8, 7), (17, 3)], [False, False, False, False], 74, False, [False, False, False, False], 3377, 'West', (16, 4))
Element 14: (3, (16, 4), ['%', '', '', ''], [(9, 6), (8, 8), (17, 2)], [True, False, False, False], 72, False, [False, False, False, False], 3386, 'North', (16, 5))
Element 15: (3, (16, 5), ['', '', '', ''], [(10, 6), (9, 8), (17, 1)], [False, False, False, False], 70, False, [False, False, False, False], 3395, 'West', (15, 5))
Element 16: (3, (15, 5), ['', '%', '', ''], [(11, 6), (10, 8), (18, 1)], [False, True, False, False], 68, False, [False, False, False, False], 3404, 'West', (14, 5))
Element 17: (3, (14, 5), ['.', '', '', ''], [(11, 7), (9, 8), (17, 1)], [False, False, False, False], 66, False, [True, False, False, False], 3413, 'West', (13, 5))
Element 18: (3, (13, 5), ['%', '', '', ''], [(12, 7), (8, 8), (16, 1)], [True, False, False, False], 64, False, [False, False, False, False], 3442, 'South', (13, 4))
Element 19: (3, (13, 4), ['', '.', '', ''], [(13, 7), (8, 7), (16, 2)], [False, False, False, False], 62, False, [False, True, False, False], 3461, 'South', (13, 3))
Element 20: (3, (13, 3), ['.', '%', '', '.'], [(14, 7), (7, 7), (15, 2)], [False, True, False, False], 60, False, [True, False, False, True], 3490, 'East', (14, 3))
Element 21: (3, (14, 3), ['', '%', '', 'G'], [(15, 7), (6, 7), (15, 3)], [False, True, False, False], 58, False, [False, False, False, False], 3519, 'North', (14, 4))
Element 22: (3, (14, 4), ['', 'G', '', '%'], [(16, 7), (5, 7), (14, 3)], [False, False, False, True], 56, False, [False, False, False, False], 3528, 'West', (13, 4))
Element 23: (3, (13, 4), ['', 'G', '', ''], [(16, 6), (4, 7), (13, 3)], [False, False, False, False], 54, False, [False, False, False, False], 3537, 'West', (12, 4))
Element 24: (3, (12, 4), ['', 'G', '%', ''], [(17, 6), (4, 8), (12, 3)], [False, False, True, False], 52, False, [False, False, False, False], 3546, 'West', (11, 4))
Element 25: (3, (11, 4), ['', 'G', '%', ''], [(18, 6), (5, 8), (11, 3)], [False, False, True, False], 50, False, [False, False, False, False], 3555, 'West', (10, 4))
Element 26: (3, (10, 4), ['', '%', '', ''], [(17, 6), (4, 8), (11, 2)], [False, True, False, False], 48, False, [False, False, False, False], 3564, 'North', (10, 5))
Element 27: (3, (10, 5), ['', '', '', '%'], [(17, 5), (3, 8), (11, 1)], [False, False, False, True], 46, False, [False, False, False, False], 3573, 'North', (10, 6))
Element 28: #1#
