Element 1: (0, (9, 1), ['.', '%', '%', 'F'], [(1, 5), (4, 12), (16, 9)], [False, True, True, False], 98, False, [True, False, False, False], 0, 'East', (10, 1))
Element 2: (0, (10, 1), ['', '%', '.', '.'], [(2, 5), (5, 12), (17, 9)], [False, True, False, False], 96, False, [False, False, True, True], 1029, 'East', (11, 1))
Element 3: (0, (11, 1), ['', '%', '.', '.'], [(3, 5), (6, 12), (18, 9)], [False, True, False, False], 94, False, [False, False, True, True], 1068, 'East', (12, 1))
Element 4: (0, (12, 1), ['', '%', '%', '.'], [(4, 5), (6, 13), (18, 10)], [False, True, True, False], 92, False, [False, False, False, True], 1107, 'East', (13, 1))
Element 5: (0, (13, 1), ['', '%', '%', '.'], [(3, 5), (7, 13), (18, 11)], [False, True, True, False], 90, False, [False, False, False, True], 1136, 'East', (14, 1))
Element 6: (0, (14, 1), ['', '%', '%', '.'], [(2, 5), (6, 13), (18, 12)], [False, True, True, False], 88, False, [False, False, False, True], 1155, 'East', (15, 1))
Element 7: (0, (15, 1), ['', '%', '.', '.'], [(1, 5), (5, 13), (18, 13)], [False, True, False, False], 86, False, [False, False, True, True], 1184, 'East', (16, 1))
Element 8: (0, (16, 1), ['', '%', '.', '.'], [(1, 5), (6, 13), (17, 13)], [False, True, False, False], 84, False, [False, False, True, True], 1203, 'East', (17, 1))
Element 9: (0, (17, 1), ['', '%', '.', '.'], [(2, 5), (6, 12), (17, 12)], [False, True, False, False], 82, False, [False, False, True, True], 1222, 'East', (18, 1))
Element 10: (0, (18, 1), ['', '%', '%', '%'], [(3, 5), (6, 11), (17, 11)], [False, True, True, True], 80, False, [False, False, False, False], 1251, 'West', (17, 1))
Element 11: (0, (17, 1), ['', '%', '.', ''], [(4, 5), (7, 11), (17, 10)], [False, True, False, False], 78, False, [False, False, True, False], 1270, 'North', (17, 2))
Element 12: (0, (17, 2), ['.', '', '.', '%'], [(3, 5), (7, 10), (16, 10)], [False, False, False, True], 76, False, [True, False, True, False], 1299, 'North', (17, 3))
Element 13: (0, (17, 3), ['.', '', '.', '%'], [(2, 5), (8, 10), (16, 11)], [False, False, False, True], 74, False, [True, False, True, False], 1328, 'North', (17, 4))
Element 14: (0, (17, 4), ['.', '', '.', '.'], [(1, 5), (9, 10), (16, 12)], [False, False, False, False], 72, False, [True, False, True, True], 1357, 'East', (18, 4))
