Element 1: (0, (10, 4), ['G', '%', '.', '.'], [(9, 3), (9, 4), (15, 6)], [False, True, False, False], 98, False, [False, False, True, True], 0, 'East', (11, 4))
Element 2: (0, (11, 4), ['', '.', '%', '.'], [(8, 3), (9, 5), (16, 6)], [False, False, True, False], 96, False, [False, True, False, True], 39, 'East', (12, 4))
Element 3: (0, (12, 4), ['', '.', '%', '.'], [(8, 4), (10, 5), (17, 6)], [False, False, True, False], 94, False, [False, True, False, True], 78, 'East', (13, 4))
Element 4: (0, (13, 4), ['', '.', '.', '.'], [(8, 5), (10, 6), (18, 6)], [False, False, False, False], 92, False, [False, True, True, True], 117, 'East', (14, 4))
Element 5: (0, (14, 4), ['', '.', '.', '%'], [(8, 6), (11, 6), (17, 6)], [False, False, False, True], 90, False, [False, True, True, False], 146, 'North', (14, 5))
Element 6: (0, (14, 5), ['.', '', '.', '.'], [(8, 7), (12, 6), (17, 5)], [False, False, False, False], 88, False, [True, False, True, True], 2165, 'East', (15, 5))
Element 7: (0, (15, 5), ['', '%', '', '.'], [(8, 8), (13, 6), (17, 4)], [False, True, False, False], 86, False, [False, False, False, True], 2204, 'East', (16, 5))
Element 8: (0, (16, 5), ['', '.', '', ''], [(9, 8), (14, 6), (18, 4)], [False, False, False, False], 84, False, [False, True, False, False], 2243, 'South', (16, 4))
Element 9: (0, (16, 4), ['%', '.', '', 'G'], [(10, 8), (14, 7), (17, 4)], [True, False, False, False], 82, False, [False, True, False, False], 2272, 'South', (16, 3))
Element 10: (0, (16, 3), ['.', '.', '', 'G'], [(9, 8), (15, 7), (17, 3)], [False, False, False, False], 80, False, [True, True, False, False], 2301, 'South', (16, 2))
Element 11: (0, (16, 2), ['.', '.', '', 'G'], [(8, 8), (16, 7), (17, 2)], [False, False, False, False], 78, False, [True, True, False, False], 2330, 'South', (16, 1))
Element 12: (0, (16, 1), ['.', '%', '', 'G'], [(8, 7), (16, 6), (17, 1)], [False, True, False, False], 76, False, [True, False, False, False], 2349, 'West', (15, 1))
Element 13: (0, (15, 1), ['.', '%', '.', ''], [(7, 7), (17, 6), (18, 1)], [False, True, False, False], 74, False, [True, False, True, False], 2378, 'North', (15, 2))
Element 14: (0, (15, 2), ['%', '', '.', ''], [(7, 6), (18, 6), (17, 1)], [True, False, False, False], 72, False, [False, False, True, False], 2397, 'North', (15, 3))
Element 15: (0, (15, 3), ['.', '', '%', ''], [(7, 5), (17, 6), (16, 1)], [False, False, True, False], 70, False, [True, False, False, False], 2416, 'West', (14, 3))
Element 16: (0, (14, 3), ['.', '%', '', ''], [(6, 5), (17, 5), (16, 2)], [False, True, False, False], 68, False, [True, False, False, False], 3425, 'West', (13, 3))
Element 17: (0, (13, 3), ['.', '%', '', ''], [(6, 6), (17, 4), (16, 3)], [False, True, False, False], 66, False, [True, False, False, False], 3444, 'West', (12, 3))
Element 18: (0, (12, 3), ['.', '%', '', ''], [(6, 7), (18, 4), (16, 4)], [False, True, False, False], 64, False, [True, False, False, False], 3463, 'West', (11, 3))
Element 19: (0, (11, 3), ['%', '.', '', ''], [(5, 7), (17, 4), (16, 5)], [True, False, False, False], 62, False, [False, True, False, False], 3482, 'South', (11, 2))
Element 20: (0, (11, 2), ['.', '.', '', '%'], [(5, 8), (17, 3), (15, 5)], [False, False, False, True], 60, False, [True, True, False, False], 3501, 'South', (11, 1))
Element 21: (0, (11, 1), ['F', '%', '', '.'], [(4, 8), (17, 2), (14, 5)], [False, True, False, False], 58, False, [False, False, False, True], 3520, 'West', (10, 1))
Element 22: #1#
