Element 1: (0, (9, 13), ['%', '.', '%', '%'], [(6, 10), (8, 6), (12, 13)], [True, False, True, True], 98, False, [False, True, False, False], 0, 'South', (9, 12))
Element 2: (0, (9, 12), ['.', '.', '', '.'], [(7, 10), (8, 7), (13, 13)], [False, False, False, False], 96, False, [True, True, False, True], 1029, 'East', (10, 12))
Element 3: (0, (10, 12), ['', '.', '%', '.'], [(8, 10), (8, 8), (14, 13)], [False, False, True, False], 94, False, [False, True, False, True], 1068, 'East', (11, 12))
Element 4: (0, (11, 12), ['', '.', '.', '%'], [(9, 10), (9, 8), (14, 12)], [False, False, False, True], 92, False, [False, True, True, False], 1107, 'North', (11, 13))
Element 5: (0, (11, 13), ['%', '', '%', ''], [(9, 11), (10, 8), (15, 12)], [True, False, True, False], 90, False, [False, False, False, False], 1146, 'East', (12, 13))
Element 6: (0, (12, 13), ['', '%', '%', ''], [(10, 11), (9, 8), (16, 12)], [False, True, True, False], 88, False, [False, False, False, False], 1165, 'East', (13, 13))
Element 7: (0, (13, 13), ['', '%', '%', ''], [(11, 11), (8, 8), (17, 12)], [False, True, True, False], 86, False, [False, False, False, False], 1184, 'East', (14, 13))
Element 8: (0, (14, 13), ['', '', '%', '%'], [(12, 11), (8, 7), (18, 12)], [False, False, True, True], 84, False, [False, False, False, False], 1203, 'South', (14, 12))
Element 9: (0, (14, 12), ['%', '%', '', ''], [(13, 11), (7, 7), (18, 13)], [True, True, False, False], 82, False, [False, False, False, False], 1232, 'East', (15, 12))
Element 10: (0, (15, 12), ['', '.', '%', ''], [(12, 11), (7, 6), (17, 13)], [False, False, True, False], 80, False, [False, True, False, False], 1251, 'South', (15, 11))
Element 11: (0, (15, 11), ['%', '.', '', '.'], [(11, 11), (7, 5), (16, 13)], [True, False, False, False], 78, False, [False, True, False, True], 1280, 'East', (16, 11))
Element 12: (0, (16, 11), ['', '.', '', '.'], [(11, 12), (6, 5), (17, 13)], [False, False, False, False], 76, False, [False, True, False, True], 2289, 'East', (17, 11))
Element 13: (0, (17, 11), ['', '.', '', '.'], [(11, 13), (6, 6), (18, 13)], [False, False, False, False], 74, False, [False, True, False, True], 2308, 'East', (18, 11))
Element 14: (0, (18, 11), ['', '.', 'G', '%'], [(12, 13), (6, 7), (18, 12)], [False, False, False, True], 72, False, [False, True, False, False], 2327, 'South', (18, 10))
Element 15: (0, (18, 10), ['.', '.', 'G', '%'], [(13, 13), (5, 7), (18, 11)], [False, False, False, True], 70, False, [True, True, False, False], 2346, 'South', (18, 9))
Element 16: (0, (18, 9), ['.', '.', 'G', '%'], [(14, 13), (5, 8), (18, 10)], [False, False, False, True], 68, False, [True, True, False, False], 2365, 'South', (18, 8))
Element 17: (0, (18, 8), ['.', '%', '', '%'], [(14, 12), (4, 8), (17, 10)], [False, True, False, True], 66, False, [True, False, False, False], 2394, 'West', (17, 8))
Element 18: (0, (17, 8), ['%', '%', 'G', ''], [(15, 12), (4, 7), (17, 9)], [True, True, False, False], 64, False, [False, False, False, False], 2423, 'East', (18, 8))
Element 19: (0, (18, 8), ['', '%', '', '%'], [(16, 12), (4, 8), (16, 9)], [False, True, False, True], 62, False, [False, False, False, False], 2432, 'North', (18, 9))
Element 20: (0, (18, 9), ['', '', '', '%'], [(17, 12), (3, 8), (16, 10)], [False, False, False, True], 60, False, [False, False, False, False], 2451, 'West', (17, 9))
Element 21: (0, (17, 9), ['', '', '', ''], [(18, 12), (2, 8), (15, 10)], [False, False, False, False], 58, False, [False, False, False, False], 2470, 'North', (17, 10))
Element 22: (0, (17, 10), ['', '', '', ''], [(18, 13), (2, 9), (15, 9)], [False, False, False, False], 56, False, [False, False, False, False], 2489, 'West', (16, 10))
Element 23: (0, (16, 10), ['', '', '', ''], [(17, 13), (1, 9), (14, 9)], [False, False, False, False], 54, False, [False, False, False, False], 2508, 'South', (16, 9))
Element 24: (0, (16, 9), ['', '%', '', ''], [(16, 13), (2, 9), (13, 9)], [False, True, False, False], 52, False, [False, False, False, False], 2517, 'West', (15, 9))
Element 25: (0, (15, 9), ['', '%', '', ''], [(17, 13), (2, 8), (13, 8)], [False, True, False, False], 50, False, [False, False, False, False], 2526, 'North', (15, 10))
Element 26: (0, (15, 10), ['%', '', '', ''], [(18, 13), (3, 8), (13, 7)], [True, False, False, False], 48, False, [False, False, False, False], 2535, 'South', (15, 9))
Element 27: (0, (15, 9), ['', '%', '', ''], [(18, 12), (4, 8), (14, 7)], [False, True, False, False], 46, False, [False, False, False, False], 2544, 'West', (14, 9))
Element 28: (0, (14, 9), ['', '%', '%', ''], [(18, 11), (5, 8), (15, 7)], [False, True, True, False], 44, False, [False, False, False, False], 2553, 'West', (13, 9))
Element 29: (0, (13, 9), ['.', '', '%', ''], [(18, 10), (5, 7), (16, 7)], [False, False, True, False], 42, False, [True, False, False, False], 2562, 'West', (12, 9))
Element 30: (0, (12, 9), ['.', '.', '%', ''], [(18, 9), (4, 7), (16, 6)], [False, False, True, False], 40, False, [True, True, False, False], 2581, 'South', (12, 8))
Element 31: (0, (12, 8), ['%', '.', '', ''], [(18, 8), (5, 7), (17, 6)], [True, False, False, False], 38, False, [False, True, False, False], 2600, 'South', (12, 7))
Element 32: (0, (12, 7), ['.', 'F', '', ''], [(17, 8), (6, 7), (18, 6)], [False, False, False, False], 36, False, [True, False, False, False], 2619, 'South', (12, 6))
Element 33: (0, (12, 6), ['.', '%', '', '.'], [(17, 9), (6, 6), (17, 6)], [False, True, False, False], 34, False, [True, False, False, True], 3618, 'East', (13, 6))
Element 34: (0, (13, 6), ['', '.', '', '.'], [(17, 10), (6, 5), (17, 5)], [False, False, False, False], 32, False, [False, True, False, True], 3637, 'East', (14, 6))
Element 35: (0, (14, 6), ['', '.', '', '.'], [(17, 11), (6, 4), (17, 4)], [False, False, False, False], 30, False, [False, True, False, True], 3666, 'East', (15, 6))
Element 36: (0, (15, 6), ['', '.', '', ''], [(16, 11), (7, 4), (18, 4)], [False, False, False, False], 28, False, [False, True, False, False], 3695, 'South', (15, 5))
Element 37: (0, (15, 5), ['.', '%', '', '.'], [(16, 10), (8, 4), (17, 4)], [False, True, False, False], 26, False, [True, False, False, True], 3714, 'East', (16, 5))
Element 38: (0, (16, 5), ['', '.', '', ''], [(16, 9), (9, 4), (17, 3)], [False, False, False, False], 24, False, [False, True, False, False], 3743, 'South', (16, 4))
Element 39: (0, (16, 4), ['%', '.', '', ''], [(15, 9), (10, 4), (17, 2)], [True, False, False, False], 22, False, [False, True, False, False], 3772, 'South', (16, 3))
Element 40: (0, (16, 3), ['.', '.', '', ''], [(15, 10), (11, 4), (17, 1)], [False, False, False, False], 20, False, [True, True, False, False], 3801, 'South', (16, 2))
Element 41: (0, (16, 2), ['.', '.', '', ''], [(15, 11), (12, 4), (18, 1)], [False, False, False, False], 18, False, [True, True, False, False], 3830, 'South', (16, 1))
Element 42: (0, (16, 1), ['.', '%', '', 'G'], [(15, 10), (13, 4), (17, 1)], [False, True, False, False], 16, False, [True, False, False, False], 3849, 'West', (15, 1))
Element 43: (0, (15, 1), ['.', '%', '.', 'G'], [(15, 9), (14, 4), (16, 1)], [False, True, False, False], 14, False, [True, False, True, False], 3868, 'North', (15, 2))
Element 44: (0, (15, 2), ['%', '', '.', 'G'], [(14, 9), (14, 5), (16, 2)], [True, False, False, False], 12, False, [False, False, True, False], 3887, 'North', (15, 3))
Element 45: (0, (15, 3), ['.', '', '%', 'G'], [(13, 9), (13, 5), (16, 3)], [False, False, True, False], 10, False, [True, False, False, False], 3906, 'West', (14, 3))
Element 46: (0, (14, 3), ['.', '%', '', ''], [(13, 8), (13, 6), (16, 4)], [False, True, False, False], 8, False, [True, False, False, False], 3915, 'West', (13, 3))
Element 47: (0, (13, 3), ['.', '%', '', ''], [(13, 7), (14, 6), (16, 5)], [False, True, False, False], 6, False, [True, False, False, False], 3924, 'West', (12, 3))
Element 48: (0, (12, 3), ['.', '%', '', ''], [(14, 7), (15, 6), (15, 5)], [False, True, False, False], 4, False, [True, False, False, False], 3933, 'West', (11, 3))
Element 49: (0, (11, 3), ['%', '.', '', ''], [(15, 7), (16, 6), (15, 6)], [True, False, False, False], 2, False, [False, True, False, False], 3942, 'South', (11, 2))
Element 50: (0, (11, 2), ['.', '.', '', '%'], [(16, 7), (17, 6), (14, 6)], [False, False, False, True], 0, False, [True, True, False, False], 3951, 'Stop', (11, 2))
Element 51: #0#
