Element 1: (2, (11, 6), ['.', '%', '.', 'F'], [(7, 10), (10, 12), (12, 8)], [False, True, False, False], 98, False, [True, False, True, False], 19, 'East', (12, 6))
Element 2: (2, (12, 6), ['', '%', '.', '.'], [(8, 10), (11, 12), (13, 8)], [False, True, False, False], 96, False, [False, False, True, True], 1048, 'East', (13, 6))
Element 3: (2, (13, 6), ['', '.', '.', '.'], [(9, 10), (11, 13), (13, 9)], [False, False, False, False], 94, False, [False, True, True, True], 1087, 'East', (14, 6))
Element 4: (2, (14, 6), ['', '.', '.', '.'], [(9, 11), (12, 13), (14, 9)], [False, False, False, False], 92, False, [False, True, True, True], 1126, 'East', (15, 6))
Element 5: (2, (15, 6), ['', '.', '.', '.'], [(10, 11), (13, 13), (15, 9)], [False, False, False, False], 90, False, [False, True, True, True], 1165, 'East', (16, 6))
Element 6: (2, (16, 6), ['', '.', '.', '.'], [(11, 11), (14, 13), (16, 9)], [False, False, False, False], 88, False, [False, True, True, True], 1204, 'East', (17, 6))
Element 7: (2, (17, 6), ['', '.', '%', '.'], [(12, 11), (14, 12), (17, 9)], [False, False, True, False], 86, False, [False, True, False, True], 1243, 'East', (18, 6))
Element 8: (2, (18, 6), ['', '%', '%', '%'], [(13, 11), (15, 12), (18, 9)], [False, True, True, True], 84, False, [False, False, False, False], 1282, 'West', (17, 6))
Element 9: (2, (17, 6), ['', '.', '%', ''], [(12, 11), (16, 12), (18, 10)], [False, False, True, False], 82, False, [False, True, False, False], 1301, 'South', (17, 5))
Element 10: (2, (17, 5), ['.', '.', '', '%'], [(11, 11), (17, 12), (18, 11)], [False, False, False, True], 80, False, [True, True, False, False], 1330, 'South', (17, 4))
Element 11: (2, (17, 4), ['.', '.', '', '.'], [(11, 12), (17, 13), (18, 12)], [False, False, False, False], 78, False, [True, True, False, True], 1359, 'East', (18, 4))
Element 12: (2, (18, 4), ['', '%', '%', '%'], [(11, 13), (16, 13), (18, 13)], [False, True, True, True], 76, False, [False, False, False, False], 1388, 'West', (17, 4))
Element 13: (2, (17, 4), ['.', '.', '', ''], [(12, 13), (16, 12), (17, 13)], [False, False, False, False], 74, False, [True, True, False, False], 1387, 'South', (17, 3))
Element 14: (2, (17, 3), ['.', '.', '', '%'], [(13, 13), (15, 12), (17, 12)], [False, False, False, True], 72, False, [True, True, False, False], 1396, 'South', (17, 2))
Element 15: (2, (17, 2), ['.', '.', '', '%'], [(14, 13), (14, 12), (17, 11)], [False, False, False, True], 70, False, [True, True, False, False], 1415, 'South', (17, 1))
Element 16: (2, (17, 1), ['.', '%', '', '.'], [(13, 13), (15, 12), (17, 10)], [False, True, False, False], 68, False, [True, False, False, True], 1434, 'East', (18, 1))
