Element 1: (2, (6, 6), ['%', 'F', '.', '.'], [(13, 9), (3, 8), (9, 11)], [True, False, False, False], 98, False, [False, False, True, True], 19, 'South', (6, 5))
Element 2: (2, (6, 5), ['%', '.', '', '.'], [(14, 9), (4, 8), (10, 11)], [True, False, False, False], 96, False, [False, True, False, True], 1048, 'East', (7, 5))
Element 3: (2, (7, 5), ['', '.', '.', '.'], [(15, 9), (5, 8), (11, 11)], [False, False, False, False], 94, False, [False, True, True, True], 1087, 'East', (8, 5))
Element 4: (2, (8, 5), ['', '.', '.', '.'], [(16, 9), (5, 7), (12, 11)], [False, False, False, False], 92, False, [False, True, True, True], 1126, 'East', (9, 5))
Element 5: (2, (9, 5), ['', '.', '.', '.'], [(17, 9), (6, 7), (13, 11)], [False, False, False, False], 90, False, [False, True, True, True], 1165, 'East', (10, 5))
Element 6: (2, (10, 5), ['', '.', '.', '%'], [(18, 9), (7, 7), (12, 11)], [False, False, False, True], 88, False, [False, True, True, False], 1194, 'North', (10, 6))
Element 7: (2, (10, 6), ['.', '', '%', '.'], [(18, 10), (8, 7), (11, 11)], [False, False, True, False], 86, False, [True, False, False, True], 2213, 'East', (11, 6))
Element 8: (2, (11, 6), ['', '%', '.', 'F'], [(18, 11), (8, 8), (11, 12)], [False, True, False, False], 84, False, [False, False, True, False], 2252, 'East', (12, 6))
Element 9: (2, (12, 6), ['', '%', '.', '.'], [(18, 12), (9, 8), (11, 13)], [False, True, False, False], 82, False, [False, False, True, True], 3281, 'East', (13, 6))
Element 10: (2, (13, 6), ['', '.', '.', '.'], [(18, 13), (10, 8), (12, 13)], [False, False, False, False], 80, False, [False, True, True, True], 3320, 'East', (14, 6))
Element 11: (2, (14, 6), ['', '.', '.', '.'], [(17, 13), (9, 8), (13, 13)], [False, False, False, False], 78, False, [False, True, True, True], 3349, 'East', (15, 6))
Element 12: (2, (15, 6), ['', '.', '.', '.'], [(17, 12), (8, 8), (14, 13)], [False, False, False, False], 76, False, [False, True, True, True], 3378, 'East', (16, 6))
Element 13: (2, (16, 6), ['', '.', '.', '.'], [(17, 11), (8, 7), (14, 12)], [False, False, False, False], 74, False, [False, True, True, True], 3407, 'East', (17, 6))
Element 14: (2, (17, 6), ['', '.', '%', '.'], [(17, 10), (8, 6), (15, 12)], [False, False, True, False], 72, False, [False, True, False, True], 3446, 'East', (18, 6))
Element 15: (2, (18, 6), ['', '%', '%', '%'], [(16, 10), (9, 6), (16, 12)], [False, True, True, True], 70, False, [False, False, False, False], 3485, 'West', (17, 6))
