Element 39: (2, (3, 2), ['', '', '%', ''], [(10, 6), (1, 2), (15, 9)], [False, False, True, False], 22, False, [False, False, False, False], 2621, 'South', (3, 1))
Element 40: (2, (3, 1), ['', '%', '', ''], [(10, 5), (1, 1), (16, 9)], [False, True, False, False], 20, False, [False, False, False, False], 2630, 'West', (2, 1))
Element 41: (2, (2, 1), ['', '%', '', ''], [(10, 4), (1, 2), (17, 9)], [False, True, False, False], 18, False, [False, False, False, False], 2639, 'East', (3, 1))
Element 42: (2, (3, 1), ['', '%', '', ''], [(11, 4), (1, 2), (18, 9)], [False, True, False, False], 16, False, [False, False, False, False], 2648, 'East', (4, 1))
Element 43: (2, (4, 1), ['', '%', '', '%'], [(12, 4), (2, 2), (18, 10)], [False, True, False, True], 14, False, [False, False, False, False], 2657, 'North', (4, 2))
Element 44: (2, (4, 2), ['G', '', '%', ''], [(13, 4), (3, 2), (18, 11)], [False, False, True, False], 12, False, [False, False, False, False], 2656, 'South', (4, 1))
Element 45: (2, (4, 1), ['', '%', 'G', '%'], [(14, 4), (4, 2), (18, 12)], [False, True, False, True], 10, False, [False, False, False, False], 2655, 'West', (3, 1))
Element 46: (2, (3, 1), ['', '%', '', ''], [(14, 5), (5, 2), (18, 13)], [False, True, False, False], 8, False, [False, False, False, False], 2654, 'West', (2, 1))
Element 47: (2, (2, 1), ['', '%', '', ''], [(15, 5), (4, 2), (17, 13)], [False, True, False, False], 6, False, [False, False, False, False], 2653, 'Stop', (2, 1))
Element 48: (2, (2, 1), ['', '%', '', ''], [(16, 5), (4, 1), (17, 12)], [False, True, False, False], 4, False, [False, False, False, False], 2652, 'East', (3, 1))
Element 49: (2, (3, 1), ['', '%', '', ''], [(17, 5), (4, 2), (17, 11)], [False, True, False, False], 2, False, [False, False, False, False], 2651, 'East', (4, 1))
Element 50: (2, (4, 1), ['', '%', 'G', '%'], [(17, 5), (4, 2), (17, 10)], [False, True, False, True], 0, False, [False, False, False, False], 2650, 'Stop', (4, 1))
Element 51: #0#
