Element 1: (3, (16, 11), ['.', 'G', '.', '.'], [(11, 6), (11, 12), (16, 10)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (17, 11))
Element 2: (3, (17, 11), ['', 'G', '.', '.'], [(12, 6), (11, 13), (17, 10)], [False, False, False, False], 96, False, [False, False, True, True], 1058, 'East', (18, 11))
Element 3: (3, (18, 11), ['', 'G', '.', '%'], [(13, 6), (12, 13), (18, 10)], [False, False, False, True], 94, False, [False, False, True, False], 1097, 'North', (18, 12))
Element 4: (3, (18, 12), ['.', '', '.', '%'], [(14, 6), (13, 13), (18, 9)], [False, False, False, True], 92, False, [True, False, True, False], 1136, 'North', (18, 13))
Element 5: (3, (18, 13), ['.', '', '%', '%'], [(15, 6), (14, 13), (18, 8)], [False, False, True, True], 90, False, [True, False, False, False], 1175, 'West', (17, 13))
Element 6: (3, (17, 13), ['.', '.', '%', ''], [(16, 6), (14, 12), (17, 8)], [False, False, True, False], 88, False, [True, True, False, False], 1214, 'South', (17, 12))
Element 7: (3, (17, 12), ['.', '', '', ''], [(17, 6), (15, 12), (17, 9)], [False, False, False, False], 86, False, [True, False, False, False], 1253, 'West', (16, 12))
Element 8: (3, (16, 12), ['', '', '.', ''], [(18, 6), (15, 11), (16, 9)], [False, False, False, False], 84, False, [False, False, True, False], 1292, 'North', (16, 13))
Element 9: (3, (16, 13), ['%', '', '%', ''], [(17, 6), (16, 11), (15, 9)], [True, False, True, False], 82, False, [False, False, False, False], 1311, 'South', (16, 12))
Element 10: (3, (16, 12), ['', '', '', ''], [(17, 5), (17, 11), (14, 9)], [False, False, False, False], 80, False, [False, False, False, False], 1330, 'West', (15, 12))
Element 11: (3, (15, 12), ['', '', '%', ''], [(17, 4), (18, 11), (13, 9)], [False, False, True, False], 78, False, [False, False, False, False], 1349, 'South', (15, 11))
Element 12: (3, (15, 11), ['%', '', '', ''], [(18, 4), (18, 12), (13, 8)], [True, False, False, False], 76, False, [False, False, False, False], 1368, 'South', (15, 10))
Element 13: (3, (15, 10), ['%', '', '', ''], [(17, 4), (18, 13), (13, 7)], [True, False, False, False], 74, False, [False, False, False, False], 1377, 'East', (16, 10))
Element 14: (3, (16, 10), ['', '', '', ''], [(17, 3), (17, 13), (14, 7)], [False, False, False, False], 72, False, [False, False, False, False], 1396, 'East', (17, 10))
Element 15: (3, (17, 10), ['', '', '', ''], [(17, 2), (17, 12), (15, 7)], [False, False, False, False], 70, False, [False, False, False, False], 1415, 'East', (18, 10))
Element 16: (3, (18, 10), ['', '', '', '%'], [(17, 1), (16, 12), (16, 7)], [False, False, False, True], 68, False, [False, False, False, False], 1434, 'South', (18, 9))
Element 17: (3, (18, 9), ['', '', '', '%'], [(18, 1), (16, 13), (16, 6)], [False, False, False, True], 66, False, [False, False, False, False], 1443, 'South', (18, 8))
Element 18: (3, (18, 8), ['', '%', '', '%'], [(17, 1), (16, 12), (16, 5)], [False, True, False, True], 64, False, [False, False, False, False], 1452, 'West', (17, 8))
Element 19: (3, (17, 8), ['%', '%', '', ''], [(16, 1), (17, 12), (16, 4)], [True, True, False, False], 62, False, [False, False, False, False], 1471, 'North', (17, 9))
Element 20: (3, (17, 9), ['', '', '', ''], [(16, 2), (17, 13), (16, 3)], [False, False, False, False], 60, False, [False, False, False, False], 1490, 'West', (16, 9))
Element 21: (3, (16, 9), ['', '%', '', ''], [(15, 2), (16, 13), (15, 3)], [False, True, False, False], 58, False, [False, False, False, False], 1509, 'West', (15, 9))
Element 22: (3, (15, 9), ['', '%', '', ''], [(15, 1), (17, 13), (14, 3)], [False, True, False, False], 56, False, [False, False, False, False], 1528, 'West', (14, 9))
Element 23: (3, (14, 9), ['', '%', '%', ''], [(14, 1), (18, 13), (14, 4)], [False, True, True, False], 54, False, [False, False, False, False], 1547, 'West', (13, 9))
Element 24: (3, (13, 9), ['.', '', '%', ''], [(13, 1), (18, 12), (14, 5)], [False, False, True, False], 52, False, [True, False, False, False], 1566, 'West', (12, 9))
Element 25: (3, (12, 9), ['.', '.', '%', ''], [(12, 1), (17, 12), (15, 5)], [False, False, True, False], 50, False, [True, True, False, False], 1595, 'South', (12, 8))
Element 26: (3, (12, 8), ['%', '.', '', ''], [(11, 1), (18, 12), (15, 6)], [True, False, False, False], 48, False, [False, True, False, False], 1614, 'South', (12, 7))
Element 27: (3, (12, 7), ['.', '', '', ''], [(10, 1), (18, 11), (14, 6)], [False, False, False, False], 46, False, [True, False, False, False], 2623, 'West', (11, 7))
Element 28: (3, (11, 7), ['%', '', '%', ''], [(10, 2), (18, 10), (13, 6)], [True, False, True, False], 44, False, [False, False, False, False], 2642, 'South', (11, 6))
Element 29: (3, (11, 6), ['', '%', '', ''], [(11, 2), (18, 9), (13, 5)], [False, True, False, False], 42, False, [False, False, False, False], 2661, 'East', (12, 6))
Element 30: (3, (12, 6), ['', '%', '', ''], [(11, 3), (18, 8), (13, 4)], [False, True, False, False], 40, False, [False, False, False, False], 2680, 'East', (13, 6))
Element 31: (3, (13, 6), ['', '', '', ''], [(12, 3), (17, 8), (13, 3)], [False, False, False, False], 38, False, [False, False, False, False], 2699, 'East', (14, 6))
Element 32: (3, (14, 6), ['', '', '', ''], [(12, 4), (17, 9), (12, 3)], [False, False, False, False], 36, False, [False, False, False, False], 2708, 'East', (15, 6))
Element 33: (3, (15, 6), ['', '', '', ''], [(11, 4), (17, 10), (12, 4)], [False, False, False, False], 34, False, [False, False, False, False], 2717, 'East', (16, 6))
Element 34: (3, (16, 6), ['', '', '', ''], [(10, 4), (16, 10), (11, 4)], [False, False, False, False], 32, False, [False, False, False, False], 2726, 'East', (17, 6))
Element 35: (3, (17, 6), ['', '', '%', ''], [(10, 5), (16, 9), (11, 3)], [False, False, True, False], 30, False, [False, False, False, False], 2735, 'East', (18, 6))
Element 36: (3, (18, 6), ['', '%', '%', '%'], [(9, 5), (15, 9), (11, 2)], [False, True, True, True], 28, False, [False, False, False, False], 2744, 'West', (17, 6))
Element 37: (3, (17, 6), ['', '', '%', ''], [(9, 6), (15, 10), (11, 1)], [False, False, True, False], 26, False, [False, False, False, False], 2753, 'South', (17, 5))
Element 38: (3, (17, 5), ['', '', '', '%'], [(8, 6), (15, 9), (12, 1)], [False, False, False, True], 24, False, [False, False, False, False], 2762, 'South', (17, 4))
Element 39: (3, (17, 4), ['', '', '', ''], [(8, 7), (14, 9), (13, 1)], [False, False, False, False], 22, False, [False, False, False, False], 3761, 'East', (18, 4))
Element 40: (3, (18, 4), ['', '%', '%', '%'], [(8, 8), (13, 9), (14, 1)], [False, True, True, True], 20, False, [False, False, False, False], 3770, 'West', (17, 4))
Element 41: (3, (17, 4), ['', '', '', ''], [(9, 8), (13, 8), (15, 1)], [False, False, False, False], 18, False, [False, False, False, False], 3779, 'South', (17, 3))
Element 42: (3, (17, 3), ['', '', '', '%'], [(10, 8), (13, 7), (16, 1)], [False, False, False, True], 16, False, [False, False, False, False], 3788, 'South', (17, 2))
Element 43: (3, (17, 2), ['', 'G', '', '%'], [(9, 8), (14, 7), (17, 1)], [False, False, False, True], 14, False, [False, False, False, False], 3787, 'West', (16, 2))
Element 44: (3, (16, 2), ['', '', '', ''], [(8, 8), (15, 7), (18, 1)], [False, False, False, False], 12, False, [False, False, False, False], 3786, 'North', (16, 3))
Element 45: (3, (16, 3), ['', '', '', ''], [(8, 7), (16, 7), (17, 1)], [False, False, False, False], 10, False, [False, False, False, False], 3785, 'North', (16, 4))
Element 46: (3, (16, 4), ['%', '', '', ''], [(7, 7), (16, 6), (17, 2)], [True, False, False, False], 8, False, [False, False, False, False], 3794, 'North', (16, 5))
Element 47: (3, (16, 5), ['', '', '', ''], [(7, 6), (17, 6), (17, 3)], [False, False, False, False], 6, False, [False, False, False, False], 3803, 'West', (15, 5))
Element 48: (3, (15, 5), ['', '%', '', ''], [(7, 5), (18, 6), (17, 4)], [False, True, False, False], 4, False, [False, False, False, False], 3812, 'West', (14, 5))
Element 49: #1#
