Element 1: (1, (7, 5), ['F', '.', '.', '.'], [(14, 5), (8, 10), (10, 8)], [False, False, False, False], 98, False, [False, True, True, True], 9, 'West', (6, 5))
Element 2: (1, (6, 5), ['%', '.', '.', ''], [(15, 5), (9, 10), (9, 8)], [True, False, False, False], 96, False, [False, True, True, False], 1038, 'North', (6, 6))
Element 3: (1, (6, 6), ['%', '', '.', '.'], [(16, 5), (9, 11), (8, 8)], [True, False, False, False], 94, False, [False, False, True, True], 1077, 'East', (7, 6))
Element 4: (1, (7, 6), ['', '', '.', '.'], [(17, 5), (10, 11), (8, 7)], [False, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (8, 6))
Element 5: (1, (8, 6), ['', '.', '', '.'], [(17, 6), (11, 11), (7, 7)], [False, False, False, False], 90, False, [False, True, False, True], 2145, 'East', (9, 6))
Element 6: (1, (9, 6), ['', '.', '%', '.'], [(18, 6), (12, 11), (6, 7)], [False, False, True, False], 88, False, [False, True, False, True], 2184, 'East', (10, 6))
Element 7: (1, (10, 6), ['', '.', '%', '.'], [(17, 6), (13, 11), (5, 7)], [False, False, True, False], 86, False, [False, True, False, True], 2213, 'East', (11, 6))
Element 8: (1, (11, 6), ['', '%', '.', 'F'], [(16, 6), (12, 11), (5, 8)], [False, True, False, False], 84, False, [False, False, True, False], 2242, 'East', (12, 6))
Element 9: (1, (12, 6), ['', '%', '.', '.'], [(16, 7), (11, 11), (4, 8)], [False, True, False, False], 82, False, [False, False, True, True], 3261, 'East', (13, 6))
Element 10: (1, (13, 6), ['', '.', '.', '.'], [(15, 7), (11, 12), (4, 7)], [False, False, False, False], 80, False, [False, True, True, True], 3300, 'East', (14, 6))
Element 11: (1, (14, 6), ['', '', '.', 'G'], [(15, 6), (11, 13), (4, 8)], [False, False, False, False], 78, False, [False, False, True, False], 3329, 'North', (14, 7))
Element 12: (1, (14, 7), ['.', 'G', '%', ''], [(14, 6), (12, 13), (3, 8)], [False, False, True, False], 76, False, [True, False, False, False], 3358, 'West', (13, 7))
Element 13: (1, (13, 7), ['.', '', '.', 'G'], [(14, 7), (13, 13), (2, 8)], [False, False, False, False], 74, False, [True, False, True, False], 3387, 'North', (13, 8))
Element 14: (1, (13, 8), ['.', 'G', '.', '%'], [(13, 7), (14, 13), (2, 9)], [False, False, False, True], 72, False, [True, False, True, False], 3416, 'North', (13, 9))
Element 15: (1, (13, 9), ['.', '', '%', '.'], [(12, 7), (14, 12), (1, 9)], [False, False, True, False], 70, False, [True, False, False, True], 3455, 'East', (14, 9))
Element 16: (1, (14, 9), ['', '%', '%', '.'], [(12, 8), (15, 12), (2, 9)], [False, True, True, False], 68, False, [False, False, False, True], 3484, 'East', (15, 9))
Element 17: (1, (15, 9), ['', '%', '.', '.'], [(12, 9), (16, 12), (2, 8)], [False, True, False, False], 66, False, [False, False, True, True], 3513, 'East', (16, 9))
Element 18: (1, (16, 9), ['', '%', '.', '.'], [(11, 9), (17, 12), (3, 8)], [False, True, False, False], 64, False, [False, False, True, True], 3542, 'East', (17, 9))
Element 19: (1, (17, 9), ['', '.', '.', '.'], [(12, 9), (18, 12), (4, 8)], [False, False, False, False], 62, False, [False, True, True, True], 3561, 'East', (18, 9))
Element 20: (1, (18, 9), ['', '.', '.', '%'], [(13, 9), (18, 13), (5, 8)], [False, False, False, True], 60, False, [False, True, True, False], 3580, 'North', (18, 10))
Element 21: (1, (18, 10), ['.', '', '.', '%'], [(14, 9), (17, 13), (5, 7)], [False, False, False, True], 58, False, [True, False, True, False], 3599, 'North', (18, 11))
Element 22: (1, (18, 11), ['.', '', '', '%'], [(15, 9), (16, 13), (4, 7)], [False, False, False, True], 56, False, [True, False, False, False], 3618, 'West', (17, 11))
Element 23: (1, (17, 11), ['.', '.', '', ''], [(15, 10), (17, 13), (5, 7)], [False, False, False, False], 54, False, [True, True, False, False], 3637, 'South', (17, 10))
Element 24: (1, (17, 10), ['G', '', '', ''], [(16, 10), (18, 13), (6, 7)], [False, False, False, False], 52, False, [False, False, False, False], 3656, 'North', (17, 11))
Element 25: (1, (17, 11), ['G', '', '', ''], [(16, 11), (18, 12), (6, 6)], [False, False, False, False], 50, False, [False, False, False, False], 3665, 'South', (17, 10))
Element 26: (1, (17, 10), ['', '', '', ''], [(15, 11), (18, 11), (7, 6)], [False, False, False, False], 48, False, [False, False, False, False], 3674, 'North', (17, 11))
Element 27: (1, (17, 11), ['', '', '', ''], [(15, 12), (18, 10), (8, 6)], [False, False, False, False], 46, False, [False, False, False, False], 3673, 'North', (17, 12))
Element 28: (1, (17, 12), ['G', '', '', ''], [(16, 12), (18, 9), (8, 5)], [False, False, False, False], 44, False, [False, False, False, False], 3682, 'East', (18, 12))
Element 29: (1, (18, 12), ['G', '', '', '%'], [(17, 12), (18, 8), (9, 5)], [False, False, False, True], 42, False, [False, False, False, False], 3701, 'North', (18, 13))
Element 30: (1, (18, 13), ['', 'G', '%', '%'], [(18, 12), (17, 8), (10, 5)], [False, False, True, True], 40, False, [False, False, False, False], 3720, 'West', (17, 13))
Element 31: (1, (17, 13), ['', '', '%', 'G'], [(18, 13), (17, 9), (10, 4)], [False, False, True, False], 38, False, [False, False, False, False], 3729, 'West', (16, 13))
Element 32: (1, (16, 13), ['%', '', '%', 'G'], [(17, 13), (17, 10), (11, 4)], [True, False, True, False], 36, False, [False, False, False, False], 3738, 'South', (16, 12))
