Element 1: (2, (13, 6), ['F', '.', '.', '.'], [(7, 1), (9, 8), (18, 1)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'West', (12, 6))
Element 2: (2, (12, 6), ['.', '%', '.', ''], [(8, 1), (8, 8), (17, 1)], [False, True, False, False], 96, False, [True, False, True, False], 1048, 'North', (12, 7))
Element 3: (2, (12, 7), ['.', '', '.', '.'], [(9, 1), (8, 7), (17, 2)], [False, False, False, False], 94, False, [True, False, True, True], 2077, 'East', (13, 7))
Element 4: (2, (13, 7), ['', '', '.', '.'], [(10, 1), (8, 6), (17, 3)], [False, False, False, False], 92, False, [False, False, True, True], 3106, 'East', (14, 7))
Element 5: (2, (14, 7), ['', '.', '%', '.'], [(11, 1), (9, 6), (17, 4)], [False, False, True, False], 90, False, [False, True, False, True], 3145, 'East', (15, 7))
Element 6: (2, (15, 7), ['', '.', '%', '.'], [(12, 1), (10, 6), (18, 4)], [False, False, True, False], 88, False, [False, True, False, True], 3184, 'East', (16, 7))
Element 7: (2, (16, 7), ['', '.', '%', '%'], [(13, 1), (11, 6), (17, 4)], [False, False, True, True], 86, False, [False, True, False, False], 3213, 'South', (16, 6))
Element 8: (2, (16, 6), ['.', '.', '', '.'], [(14, 1), (11, 7), (17, 5)], [False, False, False, False], 84, False, [True, True, False, True], 3252, 'East', (17, 6))
Element 9: (2, (17, 6), ['', '', '%', '.'], [(15, 1), (12, 7), (16, 5)], [False, False, True, False], 82, False, [False, False, False, True], 3281, 'East', (18, 6))
Element 10: (2, (18, 6), ['', '%', '%', '%'], [(16, 1), (12, 8), (16, 4)], [False, True, True, True], 80, False, [False, False, False, False], 3320, 'West', (17, 6))
Element 11: (2, (17, 6), ['', '', '%', ''], [(16, 2), (13, 8), (16, 3)], [False, False, True, False], 78, False, [False, False, False, False], 3349, 'South', (17, 5))
Element 12: (2, (17, 5), ['', '', '', '%'], [(15, 2), (13, 9), (15, 3)], [False, False, False, True], 76, False, [False, False, False, False], 3378, 'South', (17, 4))
