Element 1: (0, (9, 3), ['.', 'F', '.', '.'], [(6, 6), (6, 11), (14, 13)], [False, False, False, False], 98, False, [True, False, True, True], 0, 'South', (9, 2))
Element 2: (0, (9, 2), ['.', '.', '', '.'], [(6, 5), (6, 12), (15, 13)], [False, False, False, False], 96, False, [True, True, False, True], 1029, 'East', (10, 2))
Element 3: (0, (10, 2), ['', '%', '.', '.'], [(6, 4), (7, 12), (16, 13)], [False, True, False, False], 94, False, [False, False, True, True], 1068, 'East', (11, 2))
Element 4: (0, (11, 2), ['', '.', '.', '.'], [(6, 3), (8, 12), (17, 13)], [False, False, False, False], 92, False, [False, True, True, True], 1107, 'East', (12, 2))
Element 5: (0, (12, 2), ['', '.', '%', '.'], [(7, 3), (9, 12), (18, 13)], [False, False, True, False], 90, False, [False, True, False, True], 1146, 'East', (13, 2))
Element 6: (0, (13, 2), ['', '.', '.', '.'], [(8, 3), (10, 12), (18, 12)], [False, False, False, False], 88, False, [False, True, True, True], 1185, 'East', (14, 2))
Element 7: (0, (14, 2), ['', '.', '.', '%'], [(8, 4), (11, 12), (18, 11)], [False, False, False, True], 86, False, [False, True, True, False], 1224, 'North', (14, 3))
Element 8: (0, (14, 3), ['.', '', '.', '%'], [(9, 4), (12, 12), (18, 10)], [False, False, False, True], 84, False, [True, False, True, False], 1263, 'North', (14, 4))
Element 9: (0, (14, 4), ['.', '', '.', '.'], [(10, 4), (13, 12), (17, 10)], [False, False, False, False], 82, False, [True, False, True, True], 1302, 'East', (15, 4))
Element 10: (0, (15, 4), ['', '%', '.', '.'], [(10, 5), (13, 13), (17, 11)], [False, True, False, False], 80, False, [False, False, True, True], 2331, 'East', (16, 4))
Element 11: (0, (16, 4), ['', '.', '.', '.'], [(9, 5), (12, 13), (17, 12)], [False, False, False, False], 78, False, [False, True, True, True], 2370, 'East', (17, 4))
Element 12: (0, (17, 4), ['', '.', '.', '.'], [(9, 6), (13, 13), (16, 12)], [False, False, False, False], 76, False, [False, True, True, True], 2399, 'East', (18, 4))
Element 13: (0, (18, 4), ['', '.', '.', '%'], [(9, 7), (14, 13), (16, 11)], [False, False, False, True], 74, False, [False, True, True, False], 2428, 'North', (18, 5))
Element 14: (0, (18, 5), ['.', '', '%', '%'], [(10, 7), (15, 13), (16, 10)], [False, False, True, True], 72, False, [True, False, False, False], 2457, 'West', (17, 5))
Element 15: (0, (17, 5), ['.', '', '.', ''], [(10, 8), (15, 12), (16, 9)], [False, False, False, False], 70, False, [True, False, True, False], 2496, 'North', (17, 6))
Element 16: (0, (17, 6), ['.', '', '.', '%'], [(9, 8), (16, 12), (17, 9)], [False, False, False, True], 68, False, [True, False, True, False], 2525, 'North', (17, 7))
Element 17: (0, (17, 7), ['%', '', '%', '.'], [(8, 8), (17, 12), (16, 9)], [True, False, True, False], 66, False, [False, False, False, True], 2544, 'East', (18, 7))
Element 18: (0, (18, 7), ['', '%', '%', '%'], [(8, 9), (18, 12), (16, 10)], [False, True, True, True], 64, False, [False, False, False, False], 2563, 'West', (17, 7))
Element 19: (0, (17, 7), ['%', '', '%', ''], [(7, 9), (18, 13), (16, 11)], [True, False, True, False], 62, False, [False, False, False, False], 2572, 'South', (17, 6))
Element 20: (0, (17, 6), ['.', '', '', '%'], [(7, 8), (17, 13), (16, 12)], [False, False, False, True], 60, False, [True, False, False, False], 2581, 'West', (16, 6))
Element 21: (0, (16, 6), ['.', '.', '%', ''], [(6, 8), (16, 13), (15, 12)], [False, False, True, False], 58, False, [True, True, False, False], 2600, 'South', (16, 5))
Element 22: (0, (16, 5), ['.', '', '', ''], [(6, 9), (17, 13), (16, 12)], [False, False, False, False], 56, False, [True, False, False, False], 2619, 'West', (15, 5))
Element 23: (0, (15, 5), ['.', '', '.', ''], [(6, 8), (18, 13), (17, 12)], [False, False, False, False], 54, False, [True, False, True, False], 2628, 'North', (15, 6))
Element 24: (0, (15, 6), ['%', '', '.', ''], [(5, 8), (18, 12), (17, 11)], [True, False, False, False], 52, False, [False, False, True, False], 2647, 'North', (15, 7))
Element 25: (0, (15, 7), ['.', '', '.', '%'], [(4, 8), (18, 11), (16, 11)], [False, False, False, True], 50, False, [True, False, True, False], 2666, 'North', (15, 8))
Element 26: (0, (15, 8), ['.', '', '%', '%'], [(5, 8), (18, 10), (17, 11)], [False, False, True, True], 48, False, [True, False, False, False], 2675, 'West', (14, 8))
Element 27: (0, (14, 8), ['.', '.', '%', ''], [(6, 8), (17, 10), (16, 11)], [False, False, True, False], 46, False, [True, True, False, False], 2684, 'South', (14, 7))
Element 28: (0, (14, 7), ['%', '%', '', ''], [(7, 8), (17, 11), (16, 10)], [True, True, False, False], 44, False, [False, False, False, False], 2693, 'North', (14, 8))
Element 29: (0, (14, 8), ['.', '', '%', ''], [(7, 9), (16, 11), (17, 10)], [False, False, True, False], 42, False, [True, False, False, False], 2692, 'West', (13, 8))
Element 30: (0, (13, 8), ['%', '%', '%', ''], [(6, 9), (16, 10), (17, 9)], [True, True, True, False], 40, False, [False, False, False, False], 2701, 'East', (14, 8))
Element 31: (0, (14, 8), ['', '', '%', ''], [(7, 9), (16, 9), (17, 10)], [False, False, True, False], 38, False, [False, False, False, False], 2700, 'East', (15, 8))
Element 32: (0, (15, 8), ['', '', '%', '%'], [(8, 9), (17, 9), (18, 10)], [False, False, True, True], 36, False, [False, False, False, False], 2699, 'South', (15, 7))
Element 33: (0, (15, 7), ['', '', '', '%'], [(8, 8), (16, 9), (18, 11)], [False, False, False, True], 34, False, [False, False, False, False], 2698, 'West', (14, 7))
Element 34: (0, (14, 7), ['%', '%', '', ''], [(7, 8), (16, 10), (17, 11)], [True, True, False, False], 32, False, [False, False, False, False], 2697, 'East', (15, 7))
Element 35: (0, (15, 7), ['', '', '', '%'], [(8, 8), (16, 11), (18, 11)], [False, False, False, True], 30, False, [False, False, False, False], 2696, 'South', (15, 6))
Element 36: (0, (15, 6), ['%', '', '', ''], [(9, 8), (17, 11), (18, 12)], [True, False, False, False], 28, False, [False, False, False, False], 2695, 'South', (15, 5))
Element 37: (0, (15, 5), ['.', '', '', ''], [(10, 8), (17, 10), (17, 12)], [False, False, False, False], 26, False, [True, False, False, False], 2694, 'West', (14, 5))
Element 38: (0, (14, 5), ['.', '', '%', ''], [(10, 7), (17, 9), (18, 12)], [False, False, True, False], 24, False, [True, False, False, False], 2703, 'West', (13, 5))
Element 39: (0, (13, 5), ['.', '.', '.', ''], [(9, 7), (17, 10), (18, 13)], [False, False, False, False], 22, False, [True, True, True, False], 2712, 'North', (13, 6))
Element 40: (0, (13, 6), ['.', '', '%', '%'], [(9, 8), (16, 10), (17, 13)], [False, False, True, True], 20, False, [True, False, False, False], 2721, 'West', (12, 6))
Element 41: (0, (12, 6), ['.', '.', '%', ''], [(9, 7), (17, 10), (17, 12)], [False, False, True, False], 18, False, [True, True, False, False], 2730, 'South', (12, 5))
Element 42: (0, (12, 5), ['%', '.', '', ''], [(9, 6), (18, 10), (17, 13)], [True, False, False, False], 16, False, [False, True, False, False], 2739, 'South', (12, 4))
Element 43: (0, (12, 4), ['.', '%', '', '.'], [(8, 6), (18, 11), (16, 13)], [False, True, False, False], 14, False, [True, False, False, True], 2758, 'East', (13, 4))
Element 44: (0, (13, 4), ['', '.', '', ''], [(8, 5), (17, 11), (16, 12)], [False, False, False, False], 12, False, [False, True, False, False], 2777, 'South', (13, 3))
Element 45: (0, (13, 3), ['%', '', '', ''], [(8, 6), (18, 11), (16, 13)], [True, False, False, False], 10, False, [False, False, False, False], 2786, 'North', (13, 4))
Element 46: (0, (13, 4), ['', '', '', ''], [(9, 6), (18, 12), (15, 13)], [False, False, False, False], 8, False, [False, False, False, False], 2785, 'West', (12, 4))
Element 47: (0, (12, 4), ['.', '%', '', ''], [(9, 5), (17, 12), (15, 12)], [False, True, False, False], 6, False, [True, False, False, False], 2784, 'West', (11, 4))
Element 48: (0, (11, 4), ['', '.', '%', ''], [(8, 5), (17, 13), (15, 13)], [False, False, True, False], 4, False, [False, True, False, False], 2793, 'South', (11, 3))
Element 49: (0, (11, 3), ['.', '', '', '%'], [(9, 5), (17, 12), (14, 13)], [False, False, False, True], 2, False, [True, False, False, False], 2802, 'West', (10, 3))
