Element 1: (1, (1, 10), ['%', '%', 'F', '.'], [(5, 12), (3, 5), (17, 5)], [True, True, False, False], 98, False, [False, False, False, True], 9, 'North', (1, 11))
Element 2: (1, (1, 11), ['%', '', '.', 'F'], [(6, 12), (4, 5), (18, 5)], [True, False, False, False], 96, False, [False, False, True, False], 1038, 'East', (2, 11))
Element 3: (1, (2, 11), ['', '.', '.', '%'], [(7, 12), (5, 5), (18, 4)], [False, False, False, True], 94, False, [False, True, True, False], 2067, 'North', (2, 12))
Element 4: (1, (2, 12), ['.', '', '%', '.'], [(8, 12), (6, 5), (18, 3)], [False, False, True, False], 92, False, [True, False, False, True], 2106, 'East', (3, 12))
Element 5: (1, (3, 12), ['', '%', '.', ''], [(9, 12), (6, 6), (17, 3)], [False, True, False, False], 90, False, [False, False, True, False], 2145, 'North', (3, 13))
Element 6: (1, (3, 13), ['%', '', '%', '.'], [(10, 12), (5, 6), (17, 4)], [True, False, True, False], 88, False, [False, False, False, True], 2184, 'East', (4, 13))
Element 7: (1, (4, 13), ['', '', '%', '.'], [(11, 12), (4, 6), (16, 4)], [False, False, True, False], 86, False, [False, False, False, True], 2223, 'East', (5, 13))
Element 8: (1, (5, 13), ['', '', '%', '.'], [(12, 12), (3, 6), (16, 5)], [False, False, True, False], 84, False, [False, False, False, True], 2262, 'East', (6, 13))
Element 9: (1, (6, 13), ['', '', '%', '.'], [(13, 12), (3, 7), (16, 6)], [False, False, True, False], 82, False, [False, False, False, True], 2301, 'East', (7, 13))
Element 10: (1, (7, 13), ['', '', '%', '%'], [(13, 13), (2, 7), (17, 6)], [False, False, True, True], 80, False, [False, False, False, False], 2340, 'South', (7, 12))
Element 11: (1, (7, 12), ['', '%', '', ''], [(14, 13), (2, 8), (17, 7)], [False, True, False, False], 78, False, [False, False, False, False], 3359, 'East', (8, 12))
Element 12: (1, (8, 12), ['', '%', '%', ''], [(15, 13), (1, 8), (18, 7)], [False, True, True, False], 76, False, [False, False, False, False], 4378, 'East', (9, 12))
