Element 1: (0, (1, 12), ['%', 'F', '.', '.'], [(2, 1), (2, 4), (18, 12)], [True, False, False, False], 98, False, [False, False, True, True], 0, 'South', (1, 11))
Element 2: (0, (1, 11), ['%', '.', '', 'F'], [(3, 1), (3, 4), (18, 13)], [True, False, False, False], 96, False, [False, True, False, False], 1029, 'East', (2, 11))
Element 3: (0, (2, 11), ['', '.', '.', '%'], [(4, 1), (4, 4), (17, 13)], [False, False, False, True], 94, False, [False, True, True, False], 2058, 'North', (2, 12))
Element 4: (0, (2, 12), ['', '', '%', '.'], [(5, 1), (4, 5), (17, 12)], [False, False, True, False], 92, False, [False, False, False, True], 2097, 'East', (3, 12))
Element 5: (0, (3, 12), ['', '%', '.', '.'], [(6, 1), (5, 5), (17, 11)], [False, True, False, False], 90, False, [False, False, True, True], 2136, 'East', (4, 12))
Element 6: (0, (4, 12), ['', '.', '.', '.'], [(7, 1), (6, 5), (18, 11)], [False, False, False, False], 88, False, [False, True, True, True], 2175, 'East', (5, 12))
Element 7: (0, (5, 12), ['', '.', '.', '.'], [(8, 1), (6, 6), (18, 10)], [False, False, False, False], 86, False, [False, True, True, True], 2214, 'East', (6, 12))
Element 8: (0, (6, 12), ['', '.', '.', '.'], [(9, 1), (5, 6), (17, 10)], [False, False, False, False], 84, False, [False, True, True, True], 2253, 'East', (7, 12))
Element 9: (0, (7, 12), ['', '%', '.', '.'], [(9, 2), (4, 6), (17, 9)], [False, True, False, False], 82, False, [False, False, True, True], 3282, 'East', (8, 12))
Element 10: (0, (8, 12), ['', '%', '%', '.'], [(10, 2), (3, 6), (16, 9)], [False, True, True, False], 80, False, [False, False, False, True], 3321, 'East', (9, 12))
Element 11: (0, (9, 12), ['', '%', '.', '.'], [(11, 2), (3, 7), (16, 10)], [False, True, False, False], 78, False, [False, False, True, True], 3360, 'East', (10, 12))
Element 12: (0, (10, 12), ['', '%', '.', '.'], [(12, 2), (2, 7), (16, 11)], [False, True, False, False], 76, False, [False, False, True, True], 3399, 'East', (11, 12))
Element 13: (0, (11, 12), ['', '%', '%', '.'], [(13, 2), (2, 8), (16, 12)], [False, True, True, False], 74, False, [False, False, False, True], 4428, 'East', (12, 12))
Element 14: (0, (12, 12), ['', '.', '.', '.'], [(14, 2), (1, 8), (16, 13)], [False, False, False, False], 72, False, [False, True, True, True], 5457, 'East', (13, 12))
Element 15: (0, (13, 12), ['', '.', '.', '%'], [(14, 3), (1, 7), (15, 13)], [False, False, False, True], 70, False, [False, True, True, False], 5496, 'North', (13, 13))
Element 16: (0, (13, 13), ['.', '', '%', '.'], [(14, 4), (1, 6), (15, 12)], [False, False, True, False], 68, False, [True, False, False, True], 5535, 'East', (14, 13))
Element 17: (0, (14, 13), ['', '%', '%', 'G'], [(15, 4), (2, 6), (15, 13)], [False, True, True, False], 66, False, [False, False, False, False], 5564, 'West', (13, 13))
Element 18: (0, (13, 13), ['.', '', '%', 'G'], [(16, 4), (2, 5), (14, 13)], [False, False, True, False], 64, False, [True, False, False, False], 5583, 'West', (12, 13))
Element 19: (0, (12, 13), ['%', '', '%', 'G'], [(17, 4), (3, 5), (13, 13)], [True, False, True, False], 62, False, [False, False, False, False], 5612, 'South', (12, 12))
Element 20: (0, (12, 12), ['', '.', '', 'G'], [(18, 4), (2, 5), (13, 12)], [False, False, False, False], 60, False, [False, True, False, False], 5621, 'West', (11, 12))
Element 21: (0, (11, 12), ['', '%', '%', ''], [(18, 5), (1, 5), (13, 11)], [False, True, True, False], 58, False, [False, False, False, False], 5650, 'West', (10, 12))
Element 22: (0, (10, 12), ['', '%', '.', ''], [(17, 5), (1, 4), (12, 11)], [False, True, False, False], 56, False, [False, False, True, False], 5679, 'East', (11, 12))
Element 23: (0, (11, 12), ['', '%', '%', 'G'], [(17, 6), (1, 5), (12, 12)], [False, True, True, False], 54, False, [False, False, False, False], 5688, 'West', (10, 12))
Element 24: (0, (10, 12), ['', '%', '.', ''], [(17, 7), (2, 5), (12, 13)], [False, True, False, False], 52, False, [False, False, True, False], 5697, 'West', (9, 12))
Element 25: (0, (9, 12), ['', '%', '.', ''], [(18, 7), (2, 6), (12, 12)], [False, True, False, False], 50, False, [False, False, True, False], 5706, 'West', (8, 12))
Element 26: (0, (8, 12), ['', '%', '%', ''], [(17, 7), (1, 6), (11, 12)], [False, True, True, False], 48, False, [False, False, False, False], 5705, 'Stop', (8, 12))
